Time;Power
1.8. 00:00:00;0,36
1.8. 01:00:00;0,68
1.8. 02:00:00;0,35
1.8. 03:00:00;0,69
1.8. 04:00:00;0,35
1.8. 05:00:00;0,4
1.8. 06:00:00;0,79
1.8. 07:00:00;0,78
1.8. 08:00:00;0,32
1.8. 09:00:00;0,36
1.8. 10:00:00;0,69
1.8. 11:00:00;0,44
1.8. 12:00:00;0,44
1.8. 13:00:00;0,75
1.8. 14:00:00;0,44
1.8. 15:00:00;0,8
1.8. 16:00:00;0,4
1.8. 17:00:00;0,44
1.8. 18:00:00;1,26
1.8. 19:00:00;0,48
1.8. 20:00:00;1,03
1.8. 21:00:00;1,23
1.8. 22:00:00;1,86
1.8. 23:00:00;0,39
2.8. 00:00:00;0,72
2.8. 01:00:00;0,38
2.8. 02:00:00;0,66
2.8. 03:00:00;0,39
2.8. 04:00:00;0,36
2.8. 05:00:00;0,78
2.8. 06:00:00;0,38
2.8. 07:00:00;0,53
2.8. 08:00:00;0,61
2.8. 09:00:00;0,67
2.8. 10:00:00;1,17
2.8. 11:00:00;0,52
2.8. 12:00:00;1,81
2.8. 13:00:00;0,47
2.8. 14:00:00;1,09
2.8. 15:00:00;1,73
2.8. 16:00:00;0,9
2.8. 17:00:00;0,46
2.8. 18:00:00;1,01
2.8. 19:00:00;0,66
2.8. 20:00:00;2,08
2.8. 21:00:00;1,44
2.8. 22:00:00;1,36
2.8. 23:00:00;0,4
3.8. 00:00:00;0,72
3.8. 01:00:00;0,38
3.8. 02:00:00;0,51
3.8. 03:00:00;0,52
3.8. 04:00:00;0,38
3.8. 05:00:00;0,73
3.8. 06:00:00;0,39
3.8. 07:00:00;0,91
3.8. 08:00:00;0,69
3.8. 09:00:00;0,86
3.8. 10:00:00;1,54
3.8. 11:00:00;0,96
3.8. 12:00:00;1,17
3.8. 13:00:00;1,29
3.8. 14:00:00;0,61
3.8. 15:00:00;2,08
3.8. 16:00:00;0,6
3.8. 17:00:00;0,94
3.8. 18:00:00;0,78
3.8. 19:00:00;2,25
3.8. 20:00:00;1,04
3.8. 21:00:00;2,5
3.8. 22:00:00;1,38
3.8. 23:00:00;0,69
4.8. 00:00:00;0,46
4.8. 01:00:00;0,36
4.8. 02:00:00;0,68
4.8. 03:00:00;0,59
4.8. 04:00:00;1,67
4.8. 05:00:00;0,55
4.8. 06:00:00;1,67
4.8. 07:00:00;1,12
4.8. 08:00:00;0,34
4.8. 09:00:00;1,57
4.8. 10:00:00;1,71
4.8. 11:00:00;0,85
4.8. 12:00:00;0,72
4.8. 13:00:00;0,31
4.8. 14:00:00;0,68
4.8. 15:00:00;0,34
4.8. 16:00:00;0,3
4.8. 17:00:00;0,68
4.8. 18:00:00;0,34
4.8. 19:00:00;0,65
4.8. 20:00:00;0,33
4.8. 21:00:00;0,33
4.8. 22:00:00;0,66
4.8. 23:00:00;0,32
5.8. 00:00:00;0,45
5.8. 01:00:00;0,54
5.8. 02:00:00;1,52
5.8. 03:00:00;0,68
5.8. 04:00:00;0,32
5.8. 05:00:00;0,31
5.8. 06:00:00;2,2
5.8. 07:00:00;0,32
5.8. 08:00:00;0,66
5.8. 09:00:00;0,32
5.8. 10:00:00;0,35
5.8. 11:00:00;0,62
5.8. 12:00:00;0,33
5.8. 13:00:00;0,66
5.8. 14:00:00;0,31
5.8. 15:00:00;0,33
5.8. 16:00:00;0,65
5.8. 17:00:00;0,35
5.8. 18:00:00;0,7
5.8. 19:00:00;0,32
