Time;Power
1.11. 00:00:00;2,04
1.11. 01:00:00;0,99
1.11. 02:00:00;0,64
1.11. 03:00:00;2,16
1.11. 04:00:00;0,95
1.11. 05:00:00;2,04
1.11. 06:00:00;1,16
1.11. 07:00:00;2,7
1.11. 08:00:00;1,55
1.11. 09:00:00;2,97
1.11. 10:00:00;0,8
1.11. 11:00:00;2,33
1.11. 12:00:00;3,2
1.11. 13:00:00;0,83
1.11. 14:00:00;2,41
1.11. 15:00:00;1,46
1.11. 16:00:00;1,35
1.11. 17:00:00;2,28
1.11. 18:00:00;1,36
1.11. 19:00:00;3,78
1.11. 20:00:00;2,13
1.11. 21:00:00;1,86
1.11. 22:00:00;0,96
1.11. 23:00:00;1,64
2.11. 00:00:00;0,82
2.11. 01:00:00;1,01
2.11. 02:00:00;2,03
2.11. 03:00:00;0,95
2.11. 04:00:00;0,58
2.11. 05:00:00;2,02
2.11. 06:00:00;1,17
2.11. 07:00:00;2,47
2.11. 08:00:00;2,22
2.11. 09:00:00;0,9
2.11. 10:00:00;2,51
2.11. 11:00:00;1,73
2.11. 12:00:00;2,24
2.11. 13:00:00;1,19
2.11. 14:00:00;2,19
2.11. 15:00:00;0,83
2.11. 16:00:00;1,36
2.11. 17:00:00;2,44
2.11. 18:00:00;1,46
2.11. 19:00:00;2,36
2.11. 20:00:00;3,2
2.11. 21:00:00;1,72
2.11. 22:00:00;3,08
2.11. 23:00:00;0,92
3.11. 00:00:00;2,74
3.11. 01:00:00;0,91
3.11. 02:00:00;2,45
3.11. 03:00:00;1,16
3.11. 04:00:00;2,27
3.11. 05:00:00;1,31
3.11. 06:00:00;2,58
3.11. 07:00:00;1,4
3.11. 08:00:00;3,51
3.11. 09:00:00;1,63
3.11. 10:00:00;2,42
3.11. 11:00:00;1,9
3.11. 12:00:00;2,21
3.11. 13:00:00;0,8
3.11. 14:00:00;2,34
3.11. 15:00:00;1,91
3.11. 16:00:00;1,72
3.11. 17:00:00;2,83
3.11. 18:00:00;1,05
3.11. 19:00:00;4,43
3.11. 20:00:00;2,47
3.11. 21:00:00;0,96
3.11. 22:00:00;1,99
3.11. 23:00:00;0,9
4.11. 00:00:00;0,57
4.11. 01:00:00;2,38
4.11. 02:00:00;0,59
4.11. 03:00:00;2
4.11. 04:00:00;0,94
4.11. 05:00:00;1,95
4.11. 06:00:00;1,2
4.11. 07:00:00;1,46
4.11. 08:00:00;2,96
4.11. 09:00:00;2,11
4.11. 10:00:00;1,88
4.11. 11:00:00;1,11
4.11. 12:00:00;2,15
4.11. 13:00:00;0,85
4.11. 14:00:00;1,24
4.11. 15:00:00;1,26
4.11. 16:00:00;2,76
4.11. 17:00:00;1,66
4.11. 18:00:00;1,3
4.11. 19:00:00;2,93
4.11. 20:00:00;2,24
4.11. 21:00:00;3,52
4.11. 22:00:00;1,28
4.11. 23:00:00;2,11
5.11. 00:00:00;0,6
5.11. 01:00:00;2,31
5.11. 02:00:00;0,61
5.11. 03:00:00;2,31
5.11. 04:00:00;0,55
5.11. 05:00:00;1,99
5.11. 06:00:00;1,02
5.11. 07:00:00;2,32
5.11. 08:00:00;1,13
5.11. 09:00:00;2,64
5.11. 10:00:00;0,79
5.11. 11:00:00;2,31
5.11. 12:00:00;1,13
5.11. 13:00:00;2,02
5.11. 14:00:00;1,22
5.11. 15:00:00;2,61
5.11. 16:00:00;0,65
5.11. 17:00:00;1,43
5.11. 18:00:00;2
5.11. 19:00:00;3,49
5.11. 20:00:00;1,59
5.11. 21:00:00;3,01
5.11. 22:00:00;1,37
5.11. 23:00:00;2,27
6.11. 00:00:00;0,65
6.11. 01:00:00;1,99
6.11. 02:00:00;1,03
6.11. 03:00:00;2,13
6.11. 04:00:00;1,07
6.11. 05:00:00;1,99
6.11. 06:00:00;1,36
6.11. 07:00:00;2,29
6.11. 08:00:00;1,11
6.11. 09:00:00;2,21
6.11. 10:00:00;0,76
6.11. 11:00:00;2,51
6.11. 12:00:00;0,72
6.11. 13:00:00;1,31
6.11. 14:00:00;1,93
6.11. 15:00:00;0,75
6.11. 16:00:00;2,65
6.11. 17:00:00;1,65
6.11. 18:00:00;1,62
6.11. 19:00:00;3,22
6.11. 20:00:00;4,46
6.11. 21:00:00;1,14
6.11. 22:00:00;2,43
6.11. 23:00:00;1,4
7.11. 00:00:00;1,57
7.11. 01:00:00;2,23
7.11. 02:00:00;0,88
7.11. 03:00:00;2,01
7.11. 04:00:00;1,05
7.11. 05:00:00;2,07
7.11. 06:00:00;1,06
7.11. 07:00:00;2,19
7.11. 08:00:00;2,69
7.11. 09:00:00;4,09
7.11. 10:00:00;1,31
7.11. 11:00:00;3,03
7.11. 12:00:00;1,65
7.11. 13:00:00;3,56
7.11. 14:00:00;1,76
7.11. 15:00:00;1,53
7.11. 16:00:00;3,14
7.11. 17:00:00;1,93
7.11. 18:00:00;3
7.11. 19:00:00;1,48
7.11. 20:00:00;3,35
7.11. 21:00:00;2,56
7.11. 22:00:00;1,81
7.11. 23:00:00;2,41
8.11. 00:00:00;2,75
8.11. 01:00:00;1,79
8.11. 02:00:00;2,06
8.11. 03:00:00;1,39
8.11. 04:00:00;1,85
8.11. 05:00:00;2,13
8.11. 06:00:00;1,34
8.11. 07:00:00;2,68
8.11. 08:00:00;3,18
8.11. 09:00:00;1,99
8.11. 10:00:00;6,42
8.11. 11:00:00;2,81
8.11. 12:00:00;0,95
8.11. 13:00:00;2,17
8.11. 14:00:00;0,4
8.11. 15:00:00;2,73
8.11. 16:00:00;3,4
8.11. 17:00:00;2,55
8.11. 18:00:00;3,29
8.11. 19:00:00;2,13
8.11. 20:00:00;5,13
8.11. 21:00:00;4,89
8.11. 22:00:00;1,32
8.11. 23:00:00;2,36
9.11. 00:00:00;3,02
9.11. 01:00:00;0,94
9.11. 02:00:00;2,13
9.11. 03:00:00;2,16
9.11. 04:00:00;2,51
9.11. 05:00:00;2,15
9.11. 06:00:00;2,74
9.11. 07:00:00;2,4
9.11. 08:00:00;3,21
9.11. 09:00:00;2,19
9.11. 10:00:00;1,69
9.11. 11:00:00;3,68
9.11. 12:00:00;4,59
9.11. 13:00:00;2,6
9.11. 14:00:00;1,36
9.11. 15:00:00;2,26
9.11. 16:00:00;2,91
9.11. 17:00:00;1,29
9.11. 18:00:00;2,17
9.11. 19:00:00;4,56
9.11. 20:00:00;3,58
9.11. 21:00:00;3,17
9.11. 22:00:00;1,52
9.11. 23:00:00;1,88
10.11. 00:00:00;0,57
10.11. 01:00:00;1,69
10.11. 02:00:00;1,99
10.11. 03:00:00;0,34
10.11. 04:00:00;2,94
10.11. 05:00:00;0,79
10.11. 06:00:00;2,55
10.11. 07:00:00;1,72
10.11. 08:00:00;3,15
10.11. 09:00:00;1,39
10.11. 10:00:00;3,1
10.11. 11:00:00;0,83
10.11. 12:00:00;2,72
10.11. 13:00:00;1,16
10.11. 14:00:00;2,54
10.11. 15:00:00;0,86
10.11. 16:00:00;3,52
10.11. 17:00:00;1,04
10.11. 18:00:00;1,63
10.11. 19:00:00;3,21
10.11. 20:00:00;4,33
10.11. 21:00:00;0,98
10.11. 22:00:00;2,52
10.11. 23:00:00;0,38
11.11. 00:00:00;1,58
11.11. 01:00:00;0,82
11.11. 02:00:00;1,61
11.11. 03:00:00;0,8
11.11. 04:00:00;1,82
11.11. 05:00:00;1,01
11.11. 06:00:00;2,18
11.11. 07:00:00;4,07
11.11. 08:00:00;1,38
11.11. 09:00:00;3,32
11.11. 10:00:00;0,79
11.11. 11:00:00;2,88
11.11. 12:00:00;0,73
11.11. 13:00:00;2,21
11.11. 14:00:00;0,76
11.11. 15:00:00;2,54
11.11. 16:00:00;1,85
11.11. 17:00:00;2,69
11.11. 18:00:00;1,67
11.11. 19:00:00;1,25
11.11. 20:00:00;2,66
11.11. 21:00:00;3,16
11.11. 22:00:00;1,63
11.11. 23:00:00;1,63
12.11. 00:00:00;0,4
12.11. 01:00:00;2,04
12.11. 02:00:00;0,37
12.11. 03:00:00;0,69
12.11. 04:00:00;1,73
12.11. 05:00:00;0,69
12.11. 06:00:00;2,56
12.11. 07:00:00;2,28
