Time;Power
1.7. 00:00:00;0,74
1.7. 01:00:00;0,37
1.7. 02:00:00;0,37
1.7. 03:00:00;0,72
1.7. 04:00:00;0,35
1.7. 05:00:00;0,69
1.7. 06:00:00;1,59
1.7. 07:00:00;0,35
1.7. 08:00:00;0,79
1.7. 09:00:00;1,22
1.7. 10:00:00;1,44
1.7. 11:00:00;0,39
1.7. 12:00:00;0,71
1.7. 13:00:00;0,37
1.7. 14:00:00;0,4
1.7. 15:00:00;0,63
1.7. 16:00:00;0,36
1.7. 17:00:00;0,68
1.7. 18:00:00;0,34
1.7. 19:00:00;0,36
1.7. 20:00:00;0,69
1.7. 21:00:00;0,34
1.7. 22:00:00;0,69
1.7. 23:00:00;0,34
2.7. 00:00:00;0,37
2.7. 01:00:00;0,68
2.7. 02:00:00;0,36
2.7. 03:00:00;0,54
2.7. 04:00:00;1,81
2.7. 05:00:00;0,34
2.7. 06:00:00;0,72
2.7. 07:00:00;0,34
2.7. 08:00:00;2,12
2.7. 09:00:00;0,36
2.7. 10:00:00;0,34
2.7. 11:00:00;0,68
2.7. 12:00:00;0,36
2.7. 13:00:00;0,68
2.7. 14:00:00;0,33
2.7. 15:00:00;0,36
2.7. 16:00:00;0,68
2.7. 17:00:00;0,34
2.7. 18:00:00;0,42
2.7. 19:00:00;0,6
2.7. 20:00:00;0,35
2.7. 21:00:00;0,67
2.7. 22:00:00;0,34
2.7. 23:00:00;0,36
3.7. 00:00:00;0,68
3.7. 01:00:00;0,35
3.7. 02:00:00;0,4
3.7. 03:00:00;0,65
3.7. 04:00:00;0,33
3.7. 05:00:00;0,7
3.7. 06:00:00;0,34
3.7. 07:00:00;0,32
3.7. 08:00:00;1,87
3.7. 09:00:00;0,47
3.7. 10:00:00;0,69
3.7. 11:00:00;0,36
3.7. 12:00:00;0,34
3.7. 13:00:00;0,67
3.7. 14:00:00;0,36
3.7. 15:00:00;0,68
3.7. 16:00:00;0,34
3.7. 17:00:00;0,35
3.7. 18:00:00;0,68
3.7. 19:00:00;0,42
3.7. 20:00:00;0,94
3.7. 21:00:00;0,55
3.7. 22:00:00;0,44
3.7. 23:00:00;0,77
4.7. 00:00:00;0,39
4.7. 01:00:00;0,37
4.7. 02:00:00;0,71
4.7. 03:00:00;0,35
4.7. 04:00:00;0,69
4.7. 05:00:00;0,36
4.7. 06:00:00;0,35
4.7. 07:00:00;0,69
4.7. 08:00:00;0,5
4.7. 09:00:00;0,49
4.7. 10:00:00;0,55
4.7. 11:00:00;0,34
4.7. 12:00:00;0,69
4.7. 13:00:00;0,33
4.7. 14:00:00;0,34
4.7. 15:00:00;0,69
4.7. 16:00:00;0,33
4.7. 17:00:00;0,68
4.7. 18:00:00;0,36
4.7. 19:00:00;0,32
4.7. 20:00:00;0,68
4.7. 21:00:00;0,35
4.7. 22:00:00;0,55
4.7. 23:00:00;0,46
5.7. 00:00:00;0,36
5.7. 01:00:00;0,69
5.7. 02:00:00;0,34
5.7. 03:00:00;0,37
5.7. 04:00:00;0,69
5.7. 05:00:00;1,61
5.7. 06:00:00;0,72
5.7. 07:00:00;0,35
5.7. 08:00:00;0,33
5.7. 09:00:00;0,69
5.7. 10:00:00;0,35
5.7. 11:00:00;2,09
5.7. 12:00:00;0,35
5.7. 13:00:00;0,53
5.7. 14:00:00;0,48
5.7. 15:00:00;0,35
5.7. 16:00:00;0,7
5.7. 17:00:00;0,32
5.7. 18:00:00;1,95
5.7. 19:00:00;0,53
5.7. 20:00:00;0,31
5.7. 21:00:00;0,71
5.7. 22:00:00;1,8
5.7. 23:00:00;0,68
6.7. 00:00:00;0,37
6.7. 01:00:00;1,92
6.7. 02:00:00;0,71
6.7. 03:00:00;0,36
6.7. 04:00:00;2,1
6.7. 05:00:00;0,34
6.7. 06:00:00;1,75
6.7. 07:00:00;0,69
6.7. 08:00:00;1,76
6.7. 09:00:00;0,72
6.7. 10:00:00;0,31
6.7. 11:00:00;1,9
6.7. 12:00:00;0,61
6.7. 13:00:00;0,33
6.7. 14:00:00;0,71
6.7. 15:00:00;0,33
6.7. 16:00:00;2,6
6.7. 17:00:00;0,76
6.7. 18:00:00;3,33
6.7. 19:00:00;0,95
6.7. 20:00:00;2,86
6.7. 21:00:00;1,2
6.7. 22:00:00;2,58
6.7. 23:00:00;0,42
7.7. 00:00:00;0,72
7.7. 01:00:00;1,82
7.7. 02:00:00;0,74
7.7. 03:00:00;1,16
7.7. 04:00:00;1,15
7.7. 05:00:00;1,95
7.7. 06:00:00;0,33
7.7. 07:00:00;1,57
7.7. 08:00:00;0,94
7.7. 09:00:00;1,14
7.7. 10:00:00;1,52
7.7. 11:00:00;0,47
7.7. 12:00:00;0,96
7.7. 13:00:00;1,08
7.7. 14:00:00;1,59
7.7. 15:00:00;0,47
7.7. 16:00:00;1,17
7.7. 17:00:00;1,34
7.7. 18:00:00;1,04
7.7. 19:00:00;0,74
7.7. 20:00:00;0,76
7.7. 21:00:00;3,46
7.7. 22:00:00;0,5
7.7. 23:00:00;0,93
8.7. 00:00:00;0,38
8.7. 01:00:00;0,71
8.7. 02:00:00;1,81
8.7. 03:00:00;0,36
8.7. 04:00:00;2,15
8.7. 05:00:00;0,34
8.7. 06:00:00;2,26
8.7. 07:00:00;0,35
8.7. 08:00:00;0,65
8.7. 09:00:00;2,32
8.7. 10:00:00;0,73
8.7. 11:00:00;1,49
8.7. 12:00:00;1,57
8.7. 13:00:00;0,97
8.7. 14:00:00;1,95
8.7. 15:00:00;0,85
8.7. 16:00:00;0,53
8.7. 17:00:00;0,73
8.7. 18:00:00;0,38
8.7. 19:00:00;0,75
8.7. 20:00:00;2,96
8.7. 21:00:00;0,92
8.7. 22:00:00;1,33
8.7. 23:00:00;0,72
9.7. 00:00:00;0,38
9.7. 01:00:00;0,38
9.7. 02:00:00;0,72
9.7. 03:00:00;1,9
9.7. 04:00:00;0,71
9.7. 05:00:00;1,86
9.7. 06:00:00;0,34
9.7. 07:00:00;0,71
9.7. 08:00:00;1,85
9.7. 09:00:00;0,97
9.7. 10:00:00;0,83
9.7. 11:00:00;0,45
9.7. 12:00:00;0,58
9.7. 13:00:00;0,58
9.7. 14:00:00;1,19
9.7. 15:00:00;0,42
9.7. 16:00:00;0,78
9.7. 17:00:00;0,94
9.7. 18:00:00;1,32
9.7. 19:00:00;0,51
9.7. 20:00:00;3,45
9.7. 21:00:00;1,03
9.7. 22:00:00;1,43
9.7. 23:00:00;0,43
10.7. 00:00:00;0,75
10.7. 01:00:00;0,39
10.7. 02:00:00;0,37
10.7. 03:00:00;0,7
10.7. 04:00:00;1,52
10.7. 05:00:00;0,72
10.7. 06:00:00;0,36
10.7. 07:00:00;0,41
10.7. 08:00:00;0,89
10.7. 09:00:00;2,02
10.7. 10:00:00;1,59
10.7. 11:00:00;1,06
10.7. 12:00:00;1,18
10.7. 13:00:00;0,74
10.7. 14:00:00;0,36
10.7. 15:00:00;0,7
10.7. 16:00:00;1,57
10.7. 17:00:00;0,5
10.7. 18:00:00;1,34
10.7. 19:00:00;0,81
10.7. 20:00:00;2,88
10.7. 21:00:00;0,45
10.7. 22:00:00;0,78
10.7. 23:00:00;0,52
11.7. 00:00:00;0,6
11.7. 01:00:00;0,37
11.7. 02:00:00;0,7
11.7. 03:00:00;0,37
11.7. 04:00:00;0,68
11.7. 05:00:00;0,36
11.7. 06:00:00;0,36
11.7. 07:00:00;0,7
11.7. 08:00:00;0,37
11.7. 09:00:00;1,8
11.7. 10:00:00;0,99
11.7. 11:00:00;4,18
11.7. 12:00:00;2,18
11.7. 13:00:00;1,57
11.7. 14:00:00;0,73
11.7. 15:00:00;0,41
11.7. 16:00:00;0,8
11.7. 17:00:00;0,87
11.7. 18:00:00;0,47
11.7. 19:00:00;1,08
11.7. 20:00:00;0,8
11.7. 21:00:00;1,1
11.7. 22:00:00;0,98
11.7. 23:00:00;0,75
12.7. 00:00:00;0,37
12.7. 01:00:00;0,36
12.7. 02:00:00;0,72
12.7. 03:00:00;0,37
12.7. 04:00:00;0,72
12.7. 05:00:00;0,36
12.7. 06:00:00;0,34
12.7. 07:00:00;0,7
12.7. 08:00:00;0,37
12.7. 09:00:00;1,34
12.7. 10:00:00;1,58
12.7. 11:00:00;2,05
12.7. 12:00:00;0,98
12.7. 13:00:00;1,27
12.7. 14:00:00;1,05
12.7. 15:00:00;1,06
12.7. 16:00:00;0,83
12.7. 17:00:00;1,58
12.7. 18:00:00;1,61
12.7. 19:00:00;2
12.7. 20:00:00;1,13
12.7. 21:00:00;4,03
12.7. 22:00:00;0,7
12.7. 23:00:00;2,54
13.7. 00:00:00;0,4
13.7. 01:00:00;0,74
13.7. 02:00:00;0,35
13.7. 03:00:00;0,39
13.7. 04:00:00;0,71
13.7. 05:00:00;0,36
13.7. 06:00:00;0,68
13.7. 07:00:00;0,36
13.7. 08:00:00;0,79
13.7. 09:00:00;1,73
13.7. 10:00:00;0,52
13.7. 11:00:00;0,69
13.7. 12:00:00;0,33
13.7. 13:00:00;0,56
13.7. 14:00:00;0,49
13.7. 15:00:00;0,35
13.7. 16:00:00;0,67
13.7. 17:00:00;0,35
13.7. 18:00:00;0,4
13.7. 19:00:00;0,64
13.7. 20:00:00;0,33
13.7. 21:00:00;0,69
13.7. 22:00:00;0,35
13.7. 23:00:00;0,35
14.7. 00:00:00;0,69
14.7. 01:00:00;0,35
14.7. 02:00:00;0,7
14.7. 03:00:00;0,35
14.7. 04:00:00;0,34
14.7. 05:00:00;0,69
14.7. 06:00:00;1,55
14.7. 07:00:00;0,68
14.7. 08:00:00;0,36
14.7. 09:00:00;0,34
14.7. 10:00:00;0,68
14.7. 11:00:00;0,34
14.7. 12:00:00;0,69
14.7. 13:00:00;0,33
14.7. 14:00:00;0,34
14.7. 15:00:00;0,69
14.7. 16:00:00;0,39
14.7. 17:00:00;0,58
14.7. 18:00:00;0,47
14.7. 19:00:00;0,34
14.7. 20:00:00;0,68
14.7. 21:00:00;0,35
14.7. 22:00:00;0,34
14.7. 23:00:00;1,92
15.7. 00:00:00;0,36
15.7. 01:00:00;0,71
15.7. 02:00:00;1,86
15.7. 03:00:00;0,56
15.7. 04:00:00;0,51
15.7. 05:00:00;1,78
15.7. 06:00:00;0,72
15.7. 07:00:00;1,79
15.7. 08:00:00;0,69
15.7. 09:00:00;0,35
15.7. 10:00:00;0,34
15.7. 11:00:00;0,67
15.7. 12:00:00;0,35
15.7. 13:00:00;0,68
15.7. 14:00:00;0,33
15.7. 15:00:00;0,34
15.7. 16:00:00;0,67
15.7. 17:00:00;0,34
15.7. 18:00:00;0,68
15.7. 19:00:00;0,33
15.7. 20:00:00;0,34
15.7. 21:00:00;0,67
15.7. 22:00:00;0,33
15.7. 23:00:00;0,52
16.7. 00:00:00;0,51
16.7. 01:00:00;1,62
16.7. 02:00:00;0,72
16.7. 03:00:00;1,73
16.7. 04:00:00;0,72
16.7. 05:00:00;0,46
16.7. 06:00:00;1,8
16.7. 07:00:00;0,69
16.7. 08:00:00;0,35
16.7. 09:00:00;2,18
16.7. 10:00:00;0,31
16.7. 11:00:00;0,35
16.7. 12:00:00;0,69
16.7. 13:00:00;0,32
16.7. 14:00:00;0,69
16.7. 15:00:00;0,34
16.7. 16:00:00;0,32
16.7. 17:00:00;0,68
16.7. 18:00:00;0,34
16.7. 19:00:00;0,66
16.7. 20:00:00;0,34
16.7. 21:00:00;0,34
16.7. 22:00:00;0,65
16.7. 23:00:00;0,35
17.7. 00:00:00;0,35
17.7. 01:00:00;0,66
17.7. 02:00:00;0,35
17.7. 03:00:00;0,69
17.7. 04:00:00;1,69
17.7. 05:00:00;0,33
17.7. 06:00:00;0,7
17.7. 07:00:00;0,33
17.7. 08:00:00;0,69
17.7. 09:00:00;0,33
17.7. 10:00:00;1,45
17.7. 11:00:00;0,89
17.7. 12:00:00;0,33
17.7. 13:00:00;0,7
17.7. 14:00:00;0,33
17.7. 15:00:00;0,37
17.7. 16:00:00;0,64
17.7. 17:00:00;0,34
17.7. 18:00:00;0,65
17.7. 19:00:00;0,35
17.7. 20:00:00;0,39
17.7. 21:00:00;0,68
17.7. 22:00:00;0,34
17.7. 23:00:00;0,69
18.7. 00:00:00;0,34
18.7. 01:00:00;0,35
18.7. 02:00:00;0,7
18.7. 03:00:00;1,64
18.7. 04:00:00;0,64
18.7. 05:00:00;0,4
18.7. 06:00:00;0,33
18.7. 07:00:00;2,1
18.7. 08:00:00;0,33
18.7. 09:00:00;0,7
18.7. 10:00:00;0,34
18.7. 11:00:00;0,32
18.7. 12:00:00;0,69
18.7. 13:00:00;0,34
18.7. 14:00:00;0,65
18.7. 15:00:00;0,34
18.7. 16:00:00;0,34
18.7. 17:00:00;0,65
18.7. 18:00:00;0,35
18.7. 19:00:00;0,68
18.7. 20:00:00;0,37
18.7. 21:00:00;1,06
18.7. 22:00:00;2,9
18.7. 23:00:00;0,5
19.7. 00:00:00;0,72
19.7. 01:00:00;0,36
19.7. 02:00:00;2,28
19.7. 03:00:00;0,36
19.7. 04:00:00;0,35
19.7. 05:00:00;2,1
19.7. 06:00:00;0,4
19.7. 07:00:00;0,74
19.7. 08:00:00;0,32
19.7. 09:00:00;2,43
19.7. 10:00:00;0,51
19.7. 11:00:00;1,24
19.7. 12:00:00;1,47
19.7. 13:00:00;1,23
19.7. 14:00:00;2,7
19.7. 15:00:00;1,08
19.7. 16:00:00;1,34
19.7. 17:00:00;0,72
19.7. 18:00:00;1,15
19.7. 19:00:00;1,07
19.7. 20:00:00;1,42
19.7. 21:00:00;1,83
19.7. 22:00:00;3,32
19.7. 23:00:00;0,74
20.7. 00:00:00;0,81
20.7. 01:00:00;0,37
20.7. 02:00:00;0,68
20.7. 03:00:00;0,39
20.7. 04:00:00;1,73
20.7. 05:00:00;0,7
20.7. 06:00:00;0,34
20.7. 07:00:00;0,72
20.7. 08:00:00;1,78
20.7. 09:00:00;0,94
20.7. 10:00:00;0,63
20.7. 11:00:00;1,32
20.7. 12:00:00;1,65
20.7. 13:00:00;1,76
20.7. 14:00:00;1,56
20.7. 15:00:00;0,79
20.7. 16:00:00;1,61
20.7. 17:00:00;2,58
20.7. 18:00:00;1,02
20.7. 19:00:00;0,67
20.7. 20:00:00;1,45
20.7. 21:00:00;1,9
20.7. 22:00:00;0,61
20.7. 23:00:00;2,73
21.7. 00:00:00;0,81
21.7. 01:00:00;0,37
21.7. 02:00:00;0,36
21.7. 03:00:00;0,72
21.7. 04:00:00;0,36
21.7. 05:00:00;0,7
21.7. 06:00:00;0,34
21.7. 07:00:00;0,36
21.7. 08:00:00;2,04
21.7. 09:00:00;0,55
21.7. 10:00:00;1,01
21.7. 11:00:00;0,63
21.7. 12:00:00;0,93
21.7. 13:00:00;1,76
21.7. 14:00:00;1,76
21.7. 15:00:00;2,08
21.7. 16:00:00;2,27
21.7. 17:00:00;2,18
21.7. 18:00:00;0,34
21.7. 19:00:00;0,39
21.7. 20:00:00;0,67
21.7. 21:00:00;1,58
21.7. 22:00:00;2,45
21.7. 23:00:00;3,3
22.7. 00:00:00;0,62
22.7. 01:00:00;0,62
22.7. 02:00:00;1,85
22.7. 03:00:00;0,62
22.7. 04:00:00;0,34
22.7. 05:00:00;0,72
22.7. 06:00:00;0,36
22.7. 07:00:00;0,67
22.7. 08:00:00;1,81
22.7. 09:00:00;0,74
22.7. 10:00:00;0,84
22.7. 11:00:00;2,01
22.7. 12:00:00;2,1
22.7. 13:00:00;1,46
22.7. 14:00:00;0,83
22.7. 15:00:00;1,51
22.7. 16:00:00;2,26
22.7. 17:00:00;2,3
22.7. 18:00:00;1,92
22.7. 19:00:00;1,3
22.7. 20:00:00;1,25
22.7. 21:00:00;3,9
22.7. 22:00:00;3,33
22.7. 23:00:00;1,27
23.7. 00:00:00;0,75
23.7. 01:00:00;1,08
23.7. 02:00:00;1,66
23.7. 03:00:00;0,74
23.7. 04:00:00;0,35
23.7. 05:00:00;0,73
23.7. 06:00:00;0,35
23.7. 07:00:00;0,37
23.7. 08:00:00;2,15
23.7. 09:00:00;1,3
23.7. 10:00:00;0,76
23.7. 11:00:00;0,35
23.7. 12:00:00;0,68
23.7. 13:00:00;0,44
23.7. 14:00:00;3,25
23.7. 15:00:00;1,49
23.7. 16:00:00;1,69
23.7. 17:00:00;1,57
23.7. 18:00:00;5,21
23.7. 19:00:00;3,52
23.7. 20:00:00;1,53
23.7. 21:00:00;1,27
23.7. 22:00:00;0,7
23.7. 23:00:00;0,67
24.7. 00:00:00;1,04
24.7. 01:00:00;0,71
24.7. 02:00:00;0,37
24.7. 03:00:00;0,57
24.7. 04:00:00;0,54
24.7. 05:00:00;0,36
24.7. 06:00:00;0,69
24.7. 07:00:00;0,37
24.7. 08:00:00;0,63
24.7. 09:00:00;2,08
24.7. 10:00:00;1,01
24.7. 11:00:00;0,45
24.7. 12:00:00;0,96
24.7. 13:00:00;4,28
24.7. 14:00:00;2,33
24.7. 15:00:00;1,95
24.7. 16:00:00;1,37
24.7. 17:00:00;2,14
24.7. 18:00:00;0,72
24.7. 19:00:00;1,59
24.7. 20:00:00;1,52
24.7. 21:00:00;2,02
24.7. 22:00:00;0,55
24.7. 23:00:00;0,86
25.7. 00:00:00;0,4
25.7. 01:00:00;0,47
25.7. 02:00:00;0,61
25.7. 03:00:00;0,39
25.7. 04:00:00;0,68
25.7. 05:00:00;0,37
25.7. 06:00:00;0,39
25.7. 07:00:00;0,64
25.7. 08:00:00;0,47
25.7. 09:00:00;1,9
25.7. 10:00:00;0,85
25.7. 11:00:00;1,28
25.7. 12:00:00;0,84
25.7. 13:00:00;1,2
25.7. 14:00:00;1,71
25.7. 15:00:00;1,94
25.7. 16:00:00;1,22
25.7. 17:00:00;2,58
25.7. 18:00:00;1,03
