Time;Power
1.7. 00:00:00;0,4
1.7. 01:00:00;0,73
1.7. 02:00:00;0,39
1.7. 03:00:00;0,39
1.7. 04:00:00;0,73
1.7. 05:00:00;0,38
1.7. 06:00:00;0,46
1.7. 07:00:00;0,73
1.7. 08:00:00;0,54
1.7. 09:00:00;1,4
1.7. 10:00:00;0,86
1.7. 11:00:00;2,33
1.7. 12:00:00;1,17
1.7. 13:00:00;1,69
1.7. 14:00:00;1,1
1.7. 15:00:00;2,37
1.7. 16:00:00;1,58
1.7. 17:00:00;0,78
1.7. 18:00:00;0,86
1.7. 19:00:00;1,4
1.7. 20:00:00;1,46
1.7. 21:00:00;2,8
1.7. 22:00:00;1,46
1.7. 23:00:00;0,41
2.7. 00:00:00;0,53
2.7. 01:00:00;0,64
2.7. 02:00:00;0,39
2.7. 03:00:00;0,72
2.7. 04:00:00;0,38
2.7. 05:00:00;0,43
2.7. 06:00:00;0,67
2.7. 07:00:00;0,39
2.7. 08:00:00;0,7
2.7. 09:00:00;1,1
2.7. 10:00:00;1,6
2.7. 11:00:00;0,87
2.7. 12:00:00;0,82
2.7. 13:00:00;2,3
2.7. 14:00:00;1,42
2.7. 15:00:00;1,87
2.7. 16:00:00;0,89
2.7. 17:00:00;0,45
2.7. 18:00:00;0,85
2.7. 19:00:00;0,37
2.7. 20:00:00;0,84
2.7. 21:00:00;1,03
2.7. 22:00:00;2,52
2.7. 23:00:00;0,7
3.7. 00:00:00;0,35
3.7. 01:00:00;0,55
3.7. 02:00:00;0,45
3.7. 03:00:00;0,33
3.7. 04:00:00;0,68
3.7. 05:00:00;0,34
3.7. 06:00:00;0,32
3.7. 07:00:00;0,65
3.7. 08:00:00;0,49
3.7. 09:00:00;1,78
3.7. 10:00:00;0,81
3.7. 11:00:00;0,63
3.7. 12:00:00;1,22
3.7. 13:00:00;1,38
3.7. 14:00:00;1,11
3.7. 15:00:00;1,84
3.7. 16:00:00;1,02
3.7. 17:00:00;0,36
3.7. 18:00:00;0,69
3.7. 19:00:00;0,34
3.7. 20:00:00;0,33
3.7. 21:00:00;2,53
3.7. 22:00:00;0,94
3.7. 23:00:00;1,06
4.7. 00:00:00;0,36
4.7. 01:00:00;0,69
4.7. 02:00:00;0,34
4.7. 03:00:00;0,48
4.7. 04:00:00;0,53
4.7. 05:00:00;0,33
4.7. 06:00:00;1,84
4.7. 07:00:00;0,4
4.7. 08:00:00;0,88
4.7. 09:00:00;0,82
4.7. 10:00:00;0,57
4.7. 11:00:00;0,88
4.7. 12:00:00;0,68
4.7. 13:00:00;0,85
4.7. 14:00:00;0,51
4.7. 15:00:00;0,97
4.7. 16:00:00;0,32
4.7. 17:00:00;0,71
4.7. 18:00:00;0,75
4.7. 19:00:00;1,23
4.7. 20:00:00;2,8
4.7. 21:00:00;0,69
4.7. 22:00:00;0,9
4.7. 23:00:00;0,41
5.7. 00:00:00;0,67
5.7. 01:00:00;0,34
5.7. 02:00:00;0,68
5.7. 03:00:00;0,31
5.7. 04:00:00;0,32
5.7. 05:00:00;0,68
5.7. 06:00:00;0,68
5.7. 07:00:00;1,82
5.7. 08:00:00;0,84
5.7. 09:00:00;0,47
5.7. 10:00:00;0,69
5.7. 11:00:00;0,33
5.7. 12:00:00;0,69
5.7. 13:00:00;0,43
5.7. 14:00:00;0,31
5.7. 15:00:00;0,65
5.7. 16:00:00;0,66
5.7. 17:00:00;1,24
5.7. 18:00:00;1,24
5.7. 19:00:00;1,25
5.7. 20:00:00;1,2
5.7. 21:00:00;1,04
5.7. 22:00:00;1
