Time;Power
1.2. 00:00:00;1,79
1.2. 01:00:00;2,94
1.2. 02:00:00;1,28
1.2. 03:00:00;2,58
1.2. 04:00:00;2,46
1.2. 05:00:00;2,34
1.2. 06:00:00;2,69
1.2. 07:00:00;2,7
1.2. 08:00:00;2,78
1.2. 09:00:00;2,54
1.2. 10:00:00;3,44
1.2. 11:00:00;2,78
1.2. 12:00:00;2,82
1.2. 13:00:00;2,11
1.2. 14:00:00;2,19
1.2. 15:00:00;3,78
1.2. 16:00:00;2,85
1.2. 17:00:00;3,44
1.2. 18:00:00;4,8
1.2. 19:00:00;4,19
1.2. 20:00:00;7,92
1.2. 21:00:00;3,42
1.2. 22:00:00;2,7
1.2. 23:00:00;3,04
2.2. 00:00:00;2,15
2.2. 01:00:00;3,08
2.2. 02:00:00;3,78
2.2. 03:00:00;2,06
2.2. 04:00:00;4,71
2.2. 05:00:00;3,21
2.2. 06:00:00;4,6
2.2. 07:00:00;6,07
2.2. 08:00:00;4,28
2.2. 09:00:00;5,21
2.2. 10:00:00;3,95
2.2. 11:00:00;4,96
2.2. 12:00:00;3,95
2.2. 13:00:00;4,4
2.2. 14:00:00;3,93
2.2. 15:00:00;3,69
2.2. 16:00:00;6,01
2.2. 17:00:00;5,71
2.2. 18:00:00;4,33
2.2. 19:00:00;5,85
2.2. 20:00:00;2,83
2.2. 21:00:00;5,57
2.2. 22:00:00;2,71
2.2. 23:00:00;2,85
3.2. 00:00:00;2,55
3.2. 01:00:00;2,66
3.2. 02:00:00;2,79
3.2. 03:00:00;2,85
3.2. 04:00:00;2,39
3.2. 05:00:00;2,31
3.2. 06:00:00;3,12
3.2. 07:00:00;3,52
3.2. 08:00:00;4,61
3.2. 09:00:00;4,07
3.2. 10:00:00;5,18
3.2. 11:00:00;3,18
3.2. 12:00:00;3,55
3.2. 13:00:00;4,69
3.2. 14:00:00;3,6
3.2. 15:00:00;3,34
3.2. 16:00:00;4,99
3.2. 17:00:00;3,7
3.2. 18:00:00;3,35
3.2. 19:00:00;4,67
3.2. 20:00:00;7,44
3.2. 21:00:00;4,55
3.2. 22:00:00;3,69
3.2. 23:00:00;3,57
4.2. 00:00:00;2,65
4.2. 01:00:00;2,83
4.2. 02:00:00;3,07
4.2. 03:00:00;3,14
4.2. 04:00:00;2,43
4.2. 05:00:00;3,66
4.2. 06:00:00;2,35
4.2. 07:00:00;4,29
4.2. 08:00:00;3,9
4.2. 09:00:00;3,67
4.2. 10:00:00;3,22
4.2. 11:00:00;4,43
4.2. 12:00:00;3,55
4.2. 13:00:00;2,7
4.2. 14:00:00;4,62
4.2. 15:00:00;2,27
4.2. 16:00:00;3,96
4.2. 17:00:00;4,62
4.2. 18:00:00;3,09
4.2. 19:00:00;5,08
4.2. 20:00:00;4,47
4.2. 21:00:00;3,06
4.2. 22:00:00;3,85
4.2. 23:00:00;4,42
5.2. 00:00:00;1,88
5.2. 01:00:00;3,32
5.2. 02:00:00;2,98
5.2. 03:00:00;2,64
5.2. 04:00:00;3,5
5.2. 05:00:00;2,11
5.2. 06:00:00;3,24
5.2. 07:00:00;4,4
5.2. 08:00:00;3,92
5.2. 09:00:00;3,93
5.2. 10:00:00;2,51
5.2. 11:00:00;3,43
5.2. 12:00:00;3,89
5.2. 13:00:00;3,85
5.2. 14:00:00;3,08
5.2. 15:00:00;3,09
5.2. 16:00:00;3,87
5.2. 17:00:00;4,41
5.2. 18:00:00;4,68
5.2. 19:00:00;6,46
5.2. 20:00:00;6,98
5.2. 21:00:00;3,82
5.2. 22:00:00;2,85
5.2. 23:00:00;2,59
6.2. 00:00:00;3,74
6.2. 01:00:00;2,29
6.2. 02:00:00;3,92
6.2. 03:00:00;2,3
6.2. 04:00:00;4,83
6.2. 05:00:00;2,4
6.2. 06:00:00;4,42
