Time;Power
1.11. 00:00:00;0,63
1.11. 01:00:00;1,67
1.11. 02:00:00;0,67
1.11. 03:00:00;1,65
1.11. 04:00:00;0,27
1.11. 05:00:00;0,68
1.11. 06:00:00;1,61
1.11. 07:00:00;0,65
1.11. 08:00:00;1,82
1.11. 09:00:00;0,83
1.11. 10:00:00;2,38
1.11. 11:00:00;3,92
1.11. 12:00:00;2,32
1.11. 13:00:00;3,49
1.11. 14:00:00;1,25
1.11. 15:00:00;1,86
1.11. 16:00:00;2,32
1.11. 17:00:00;1,22
1.11. 18:00:00;0,9
1.11. 19:00:00;3,92
1.11. 20:00:00;2,88
1.11. 21:00:00;1,83
1.11. 22:00:00;1,87
1.11. 23:00:00;0,67
2.11. 00:00:00;1,04
2.11. 01:00:00;1,27
2.11. 02:00:00;0,3
2.11. 03:00:00;1,65
2.11. 04:00:00;0,66
2.11. 05:00:00;0,3
2.11. 06:00:00;2,25
2.11. 07:00:00;0,81
2.11. 08:00:00;1,34
2.11. 09:00:00;2,37
2.11. 10:00:00;0,85
2.11. 11:00:00;1,9
2.11. 12:00:00;0,83
2.11. 13:00:00;1,65
2.11. 14:00:00;2,13
2.11. 15:00:00;2,07
2.11. 16:00:00;2,41
2.11. 17:00:00;3,3
2.11. 18:00:00;4,05
2.11. 19:00:00;1,76
2.11. 20:00:00;4,91
2.11. 21:00:00;2,98
2.11. 22:00:00;2,23
2.11. 23:00:00;0,31
3.11. 00:00:00;2,22
3.11. 01:00:00;0,3
3.11. 02:00:00;2,72
3.11. 03:00:00;0,43
3.11. 04:00:00;1,97
3.11. 05:00:00;0,52
3.11. 06:00:00;2,15
3.11. 07:00:00;2,25
3.11. 08:00:00;2,73
3.11. 09:00:00;2,36
3.11. 10:00:00;0,97
3.11. 11:00:00;2,16
3.11. 12:00:00;0,97
3.11. 13:00:00;2,02
3.11. 14:00:00;0,92
3.11. 15:00:00;2,4
3.11. 16:00:00;3,25
3.11. 17:00:00;2,5
3.11. 18:00:00;1,39
3.11. 19:00:00;0,98
3.11. 20:00:00;3,43
3.11. 21:00:00;2,24
3.11. 22:00:00;2,85
3.11. 23:00:00;1,35
4.11. 00:00:00;0,88
4.11. 01:00:00;0,35
4.11. 02:00:00;1,75
4.11. 03:00:00;0,69
4.11. 04:00:00;0,32
4.11. 05:00:00;2,74
4.11. 06:00:00;0,51
4.11. 07:00:00;2,47
4.11. 08:00:00;1,64
4.11. 09:00:00;0,94
4.11. 10:00:00;1,87
4.11. 11:00:00;0,72
4.11. 12:00:00;3,77
4.11. 13:00:00;0,85
4.11. 14:00:00;0,63
4.11. 15:00:00;2,45
4.11. 16:00:00;1,79
4.11. 17:00:00;2,72
4.11. 18:00:00;1,54
4.11. 19:00:00;4,9
4.11. 20:00:00;3,75
4.11. 21:00:00;2,45
4.11. 22:00:00;0,94
4.11. 23:00:00;0,29
5.11. 00:00:00;2,26
5.11. 01:00:00;0,75
5.11. 02:00:00;0,67
5.11. 03:00:00;1,62
5.11. 04:00:00;0,5
5.11. 05:00:00;0,48
5.11. 06:00:00;0,45
5.11. 07:00:00;3,31
5.11. 08:00:00;2,01
5.11. 09:00:00;2,15
5.11. 10:00:00;0,79
5.11. 11:00:00;0,77
5.11. 12:00:00;1,94
5.11. 13:00:00;0,74
5.11. 14:00:00;3,14
5.11. 15:00:00;0,9
5.11. 16:00:00;4,17
5.11. 17:00:00;1,41
5.11. 18:00:00;1,59
5.11. 19:00:00;1,72
5.11. 20:00:00;1,95
5.11. 21:00:00;3,79
5.11. 22:00:00;0,68
5.11. 23:00:00;1,31
6.11. 00:00:00;1,22
6.11. 01:00:00;0,68
6.11. 02:00:00;2,27
6.11. 03:00:00;0,75
6.11. 04:00:00;0,31
6.11. 05:00:00;1,63
6.11. 06:00:00;0,89
6.11. 07:00:00;1,21
6.11. 08:00:00;2,94
6.11. 09:00:00;1,57
6.11. 10:00:00;2,75
6.11. 11:00:00;1,14
6.11. 12:00:00;0,5
6.11. 13:00:00;2,04
6.11. 14:00:00;0,65
6.11. 15:00:00;2,78
6.11. 16:00:00;1,51
6.11. 17:00:00;2,31
6.11. 18:00:00;2,25
6.11. 19:00:00;2,14
6.11. 20:00:00;1,86
6.11. 21:00:00;0,53
6.11. 22:00:00;2,42
6.11. 23:00:00;2,22
7.11. 00:00:00;0,96
7.11. 01:00:00;1,85
7.11. 02:00:00;0,67
7.11. 03:00:00;2
7.11. 04:00:00;2,3
7.11. 05:00:00;1,84
7.11. 06:00:00;1,45
7.11. 07:00:00;2,39
7.11. 08:00:00;2,13
7.11. 09:00:00;2,77
7.11. 10:00:00;2,6
