Time;Power
1.2. 00:00:00;2,69
1.2. 01:00:00;0,68
1.2. 02:00:00;2,65
1.2. 03:00:00;1,2
1.2. 04:00:00;2,32
1.2. 05:00:00;2
1.2. 06:00:00;1,74
1.2. 07:00:00;3,64
1.2. 08:00:00;4,91
1.2. 09:00:00;4,11
1.2. 10:00:00;5,08
1.2. 11:00:00;3,32
1.2. 12:00:00;4,38
1.2. 13:00:00;5,12
1.2. 14:00:00;1,09
1.2. 15:00:00;3,84
1.2. 16:00:00;1,59
1.2. 17:00:00;4,19
1.2. 18:00:00;3,16
1.2. 19:00:00;4,54
1.2. 20:00:00;2,05
1.2. 21:00:00;2,08
1.2. 22:00:00;1,62
1.2. 23:00:00;2,16
2.2. 00:00:00;0,31
2.2. 01:00:00;2,52
2.2. 02:00:00;0,56
2.2. 03:00:00;2,37
2.2. 04:00:00;1,22
2.2. 05:00:00;1,83
2.2. 06:00:00;1,91
2.2. 07:00:00;0,48
2.2. 08:00:00;1,76
2.2. 09:00:00;2,57
2.2. 10:00:00;2,05
2.2. 11:00:00;4,84
2.2. 12:00:00;2,24
2.2. 13:00:00;1,57
2.2. 14:00:00;2,79
2.2. 15:00:00;1,44
2.2. 16:00:00;4,81
2.2. 17:00:00;2,42
2.2. 18:00:00;2,79
2.2. 19:00:00;1,84
2.2. 20:00:00;5,67
2.2. 21:00:00;2,35
2.2. 22:00:00;2,98
2.2. 23:00:00;1,28
3.2. 00:00:00;2,14
3.2. 01:00:00;1,8
3.2. 02:00:00;0,47
3.2. 03:00:00;2,15
3.2. 04:00:00;1,13
3.2. 05:00:00;2,94
3.2. 06:00:00;1,07
3.2. 07:00:00;2,74
3.2. 08:00:00;1,66
3.2. 09:00:00;1,83
3.2. 10:00:00;0,59
3.2. 11:00:00;3,48
3.2. 12:00:00;0,51
3.2. 13:00:00;2,34
3.2. 14:00:00;1,15
3.2. 15:00:00;2,25
3.2. 16:00:00;1,97
3.2. 17:00:00;1,8
3.2. 18:00:00;2,78
3.2. 19:00:00;6,76
3.2. 20:00:00;5,73
3.2. 21:00:00;5,34
3.2. 22:00:00;2,74
3.2. 23:00:00;3,55
4.2. 00:00:00;2,67
4.2. 01:00:00;2,14
4.2. 02:00:00;3,25
4.2. 03:00:00;2,94
4.2. 04:00:00;3,28
4.2. 05:00:00;2,05
4.2. 06:00:00;2,88
4.2. 07:00:00;4,17
4.2. 08:00:00;2,6
4.2. 09:00:00;4,24
4.2. 10:00:00;2,03
4.2. 11:00:00;3,71
4.2. 12:00:00;1,87
4.2. 13:00:00;1,86
4.2. 14:00:00;3,43
4.2. 15:00:00;3,96
4.2. 16:00:00;3,96
4.2. 17:00:00;4,62
4.2. 18:00:00;3,4
4.2. 19:00:00;3,22
4.2. 20:00:00;4,28
4.2. 21:00:00;6,08
4.2. 22:00:00;1,23
4.2. 23:00:00;2,88
5.2. 00:00:00;1,84
5.2. 01:00:00;1,97
5.2. 02:00:00;2,12
5.2. 03:00:00;2,55
5.2. 04:00:00;1,23
5.2. 05:00:00;2,09
5.2. 06:00:00;3,09
5.2. 07:00:00;2,79
5.2. 08:00:00;2,09
5.2. 09:00:00;2,58
5.2. 10:00:00;2,12
5.2. 11:00:00;2,43
5.2. 12:00:00;1,72
5.2. 13:00:00;2,86
5.2. 14:00:00;3,69
5.2. 15:00:00;0,74
5.2. 16:00:00;3,52
5.2. 17:00:00;3,14
5.2. 18:00:00;3,12
5.2. 19:00:00;3,63
5.2. 20:00:00;2,23
5.2. 21:00:00;5,67
5.2. 22:00:00;2,44
5.2. 23:00:00;2,37
6.2. 00:00:00;1,92
6.2. 01:00:00;1,12
6.2. 02:00:00;3,14
6.2. 03:00:00;0,85
6.2. 04:00:00;1,87
6.2. 05:00:00;2,86
6.2. 06:00:00;1,01
6.2. 07:00:00;3,98
6.2. 08:00:00;3,26
6.2. 09:00:00;1,97
6.2. 10:00:00;1,75
6.2. 11:00:00;2,6
6.2. 12:00:00;2,88
6.2. 13:00:00;1,39
6.2. 14:00:00;2,32
6.2. 15:00:00;2,64
6.2. 16:00:00;1,78
6.2. 17:00:00;3,2
6.2. 18:00:00;1,72
6.2. 19:00:00;2,48
6.2. 20:00:00;5,43
6.2. 21:00:00;4,16
6.2. 22:00:00;4,26
6.2. 23:00:00;3,63
7.2. 00:00:00;3,05
7.2. 01:00:00;2,06
7.2. 02:00:00;3,92
7.2. 03:00:00;2,08
7.2. 04:00:00;3,16
7.2. 05:00:00;2
7.2. 06:00:00;3,7
7.2. 07:00:00;5,02
7.2. 08:00:00;4,26
7.2. 09:00:00;2,8
7.2. 10:00:00;2,72
7.2. 11:00:00;3,98
7.2. 12:00:00;4,47
7.2. 13:00:00;3,79
7.2. 14:00:00;4,63
7.2. 15:00:00;1,86
7.2. 16:00:00;3,91
7.2. 17:00:00;3,08
7.2. 18:00:00;2,64
7.2. 19:00:00;3,08
7.2. 20:00:00;4,04
7.2. 21:00:00;2,7
7.2. 22:00:00;6,78
7.2. 23:00:00;4,46
8.2. 00:00:00;3,39
8.2. 01:00:00;2,89
8.2. 02:00:00;3,38
8.2. 03:00:00;4,47
8.2. 04:00:00;3,03
8.2. 05:00:00;2,59
8.2. 06:00:00;2,36
8.2. 07:00:00;2,04
8.2. 08:00:00;3
8.2. 09:00:00;2,14
8.2. 10:00:00;2,32
8.2. 11:00:00;3,99
8.2. 12:00:00;2,59
8.2. 13:00:00;1,34
8.2. 14:00:00;1,83
8.2. 15:00:00;6,13
8.2. 16:00:00;3,19
8.2. 17:00:00;4,6
8.2. 18:00:00;5,41
8.2. 19:00:00;3,65
8.2. 20:00:00;4,8
8.2. 21:00:00;2,71
8.2. 22:00:00;0,67
8.2. 23:00:00;2,47
9.2. 00:00:00;0,69
9.2. 01:00:00;2,11
9.2. 02:00:00;0,39
9.2. 03:00:00;2,44
9.2. 04:00:00;1,46
9.2. 05:00:00;1,79
9.2. 06:00:00;2,18
9.2. 07:00:00;1,01
9.2. 08:00:00;2,19
9.2. 09:00:00;1,11
9.2. 10:00:00;3,09
9.2. 11:00:00;0,85
9.2. 12:00:00;3,79
9.2. 13:00:00;2,67
9.2. 14:00:00;1,92
9.2. 15:00:00;0,87
9.2. 16:00:00;3,17
9.2. 17:00:00;2,33
9.2. 18:00:00;5,47
9.2. 19:00:00;2,62
9.2. 20:00:00;4,95
9.2. 21:00:00;2,19
9.2. 22:00:00;2,36
9.2. 23:00:00;1,38
10.2. 00:00:00;1,72
10.2. 01:00:00;1,51
10.2. 02:00:00;2,46
10.2. 03:00:00;0,36
10.2. 04:00:00;2,16
10.2. 05:00:00;1,04
10.2. 06:00:00;3,08
10.2. 07:00:00;0,98
10.2. 08:00:00;2,6
10.2. 09:00:00;1,36
10.2. 10:00:00;1,13
10.2. 11:00:00;0,73
10.2. 12:00:00;2,38
10.2. 13:00:00;0,5
10.2. 14:00:00;2,63
10.2. 15:00:00;1,63
10.2. 16:00:00;4,1
10.2. 17:00:00;1,25
10.2. 18:00:00;3,8
10.2. 19:00:00;4,82
10.2. 20:00:00;1,91
10.2. 21:00:00;5,42
10.2. 22:00:00;1,74
10.2. 23:00:00;0,7
11.2. 00:00:00;2,65
11.2. 01:00:00;0,38
11.2. 02:00:00;2,68
11.2. 03:00:00;1,31
11.2. 04:00:00;2,15
11.2. 05:00:00;0,47
