Time;Power
1.6. 00:00:00;0,33
1.6. 01:00:00;2,01
1.6. 02:00:00;0,53
1.6. 03:00:00;0,31
1.6. 04:00:00;2,28
1.6. 05:00:00;0,32
1.6. 06:00:00;0,69
1.6. 07:00:00;2,6
1.6. 08:00:00;0,95
1.6. 09:00:00;0,32
1.6. 10:00:00;0,61
1.6. 11:00:00;2,51
1.6. 12:00:00;1,32
1.6. 13:00:00;0,89
1.6. 14:00:00;1,63
1.6. 15:00:00;0,33
1.6. 16:00:00;0,87
1.6. 17:00:00;1,39
1.6. 18:00:00;1,56
1.6. 19:00:00;1,32
1.6. 20:00:00;4,21
1.6. 21:00:00;0,92
1.6. 22:00:00;1,16
1.6. 23:00:00;0,65
2.6. 00:00:00;0,62
2.6. 01:00:00;1,4
2.6. 02:00:00;1,02
2.6. 03:00:00;0,32
2.6. 04:00:00;0,67
2.6. 05:00:00;0,3
2.6. 06:00:00;0,33
2.6. 07:00:00;2,23
2.6. 08:00:00;0,73
2.6. 09:00:00;0,88
2.6. 10:00:00;2,39
2.6. 11:00:00;2,75
2.6. 12:00:00;1,63
2.6. 13:00:00;2,31
2.6. 14:00:00;1,27
2.6. 15:00:00;1,1
2.6. 16:00:00;0,79
2.6. 17:00:00;1,38
2.6. 18:00:00;0,73
2.6. 19:00:00;2,93
2.6. 20:00:00;0,47
2.6. 21:00:00;0,98
2.6. 22:00:00;1,12
2.6. 23:00:00;1,78
3.6. 00:00:00;0,51
3.6. 01:00:00;0,54
3.6. 02:00:00;1,7
3.6. 03:00:00;0,88
3.6. 04:00:00;0,35
3.6. 05:00:00;2,29
3.6. 06:00:00;0,42
3.6. 07:00:00;0,86
3.6. 08:00:00;0,73
3.6. 09:00:00;1,71
3.6. 10:00:00;0,69
3.6. 11:00:00;0,32
3.6. 12:00:00;0,36
3.6. 13:00:00;0,63
3.6. 14:00:00;0,36
3.6. 15:00:00;0,83
3.6. 16:00:00;2,22
3.6. 17:00:00;2,07
3.6. 18:00:00;1,04
3.6. 19:00:00;1,68
3.6. 20:00:00;2,73
3.6. 21:00:00;1,13
3.6. 22:00:00;1,18
3.6. 23:00:00;2,19
4.6. 00:00:00;0,35
4.6. 01:00:00;0,69
4.6. 02:00:00;0,34
4.6. 03:00:00;0,42
4.6. 04:00:00;0,56
4.6. 05:00:00;0,33
4.6. 06:00:00;2,21
4.6. 07:00:00;0,61
4.6. 08:00:00;0,96
4.6. 09:00:00;0,55
4.6. 10:00:00;0,89
4.6. 11:00:00;0,55
4.6. 12:00:00;0,73
4.6. 13:00:00;0,46
4.6. 14:00:00;0,35
4.6. 15:00:00;0,68
