Time;Power
1.10. 00:00:00;0,32
1.10. 01:00:00;0,68
1.10. 02:00:00;0,31
1.10. 03:00:00;0,41
1.10. 04:00:00;2,04
1.10. 05:00:00;0,31
1.10. 06:00:00;0,87
1.10. 07:00:00;1,55
1.10. 08:00:00;2,4
1.10. 09:00:00;1,87
1.10. 10:00:00;0,57
1.10. 11:00:00;0,68
1.10. 12:00:00;0,5
1.10. 13:00:00;0,41
1.10. 14:00:00;0,75
1.10. 15:00:00;0,56
1.10. 16:00:00;1,44
1.10. 17:00:00;1,04
1.10. 18:00:00;0,3
1.10. 19:00:00;1,54
1.10. 20:00:00;1,42
1.10. 21:00:00;2,78
1.10. 22:00:00;1,56
1.10. 23:00:00;1,61
2.10. 00:00:00;0,3
2.10. 01:00:00;1,76
2.10. 02:00:00;0,69
2.10. 03:00:00;1,77
2.10. 04:00:00;0,68
2.10. 05:00:00;1,7
2.10. 06:00:00;0,87
2.10. 07:00:00;2,13
2.10. 08:00:00;0,97
2.10. 09:00:00;1,85
2.10. 10:00:00;0,75
2.10. 11:00:00;1,29
2.10. 12:00:00;1,22
2.10. 13:00:00;2,17
2.10. 14:00:00;1,08
2.10. 15:00:00;0,64
2.10. 16:00:00;1,08
2.10. 17:00:00;0,33
2.10. 18:00:00;0,45
2.10. 19:00:00;1,82
2.10. 20:00:00;0,3
2.10. 21:00:00;2,23
2.10. 22:00:00;0,3
2.10. 23:00:00;2,22
3.10. 00:00:00;1,81
3.10. 01:00:00;0,48
3.10. 02:00:00;2,53
3.10. 03:00:00;2,29
3.10. 04:00:00;2,94
3.10. 05:00:00;2,65
3.10. 06:00:00;3,41
3.10. 07:00:00;3,45
3.10. 08:00:00;3,27
3.10. 09:00:00;2,76
3.10. 10:00:00;2,34
3.10. 11:00:00;2,18
3.10. 12:00:00;0,3
3.10. 13:00:00;0,65
3.10. 14:00:00;0,29
3.10. 15:00:00;0,3
3.10. 16:00:00;0,64
3.10. 17:00:00;1,71
3.10. 18:00:00;0,67
3.10. 19:00:00;0,29
3.10. 20:00:00;2,01
3.10. 21:00:00;0,61
3.10. 22:00:00;3,72
3.10. 23:00:00;2,03
4.10. 00:00:00;2,57
4.10. 01:00:00;2,18
4.10. 02:00:00;2,16
4.10. 03:00:00;2,52
4.10. 04:00:00;1,13
4.10. 05:00:00;1,64
4.10. 06:00:00;1,97
4.10. 07:00:00;1,4
4.10. 08:00:00;1,27
4.10. 09:00:00;2,64
4.10. 10:00:00;1,12
4.10. 11:00:00;1,44
4.10. 12:00:00;2,86
4.10. 13:00:00;1,82
4.10. 14:00:00;1,83
4.10. 15:00:00;1,17
4.10. 16:00:00;3,68
4.10. 17:00:00;1,94
4.10. 18:00:00;1,14
4.10. 19:00:00;1,61
4.10. 20:00:00;0,96
4.10. 21:00:00;2,79
4.10. 22:00:00;0,55
4.10. 23:00:00;0,68
5.10. 00:00:00;0,33
5.10. 01:00:00;0,34
5.10. 02:00:00;0,68
5.10. 03:00:00;1,68
5.10. 04:00:00;0,72
5.10. 05:00:00;0,33
5.10. 06:00:00;1,55
5.10. 07:00:00;1,43
5.10. 08:00:00;2,52
5.10. 09:00:00;0,57
5.10. 10:00:00;1,83
5.10. 11:00:00;0,98
5.10. 12:00:00;1,24
5.10. 13:00:00;0,82
5.10. 14:00:00;0,98
5.10. 15:00:00;0,5
5.10. 16:00:00;1,25
5.10. 17:00:00;1,19
5.10. 18:00:00;2,24
5.10. 19:00:00;1,19
5.10. 20:00:00;1,19
5.10. 21:00:00;2,31
5.10. 22:00:00;0,9
5.10. 23:00:00;1,88
6.10. 00:00:00;0,62
6.10. 01:00:00;1,81
6.10. 02:00:00;0,44
6.10. 03:00:00;1,42
6.10. 04:00:00;1,12
6.10. 05:00:00;0,7
6.10. 06:00:00;2
6.10. 07:00:00;1,1
6.10. 08:00:00;1,15
6.10. 09:00:00;2,97
6.10. 10:00:00;0,84
6.10. 11:00:00;1,31
6.10. 12:00:00;0,56
6.10. 13:00:00;0,92
6.10. 14:00:00;0,6
6.10. 15:00:00;0,99
6.10. 16:00:00;1,73
6.10. 17:00:00;0,94
6.10. 18:00:00;0,81
6.10. 19:00:00;0,98
6.10. 20:00:00;3,92
6.10. 21:00:00;1,16
6.10. 22:00:00;0,6
6.10. 23:00:00;0,59
7.10. 00:00:00;0,33
7.10. 01:00:00;0,69
7.10. 02:00:00;0,33
7.10. 03:00:00;0,52
7.10. 04:00:00;0,48
7.10. 05:00:00;1,54
7.10. 06:00:00;0,91
7.10. 07:00:00;0,88
7.10. 08:00:00;0,64
7.10. 09:00:00;1,27
7.10. 10:00:00;2,54
7.10. 11:00:00;1,17
7.10. 12:00:00;1,3
7.10. 13:00:00;0,96
7.10. 14:00:00;1,01
7.10. 15:00:00;1,58
7.10. 16:00:00;1,8
7.10. 17:00:00;0,64
7.10. 18:00:00;2,33
7.10. 19:00:00;0,52
7.10. 20:00:00;1,71
7.10. 21:00:00;2,03
7.10. 22:00:00;1,99
7.10. 23:00:00;0,62
8.10. 00:00:00;0,44
8.10. 01:00:00;0,38
8.10. 02:00:00;0,7
8.10. 03:00:00;0,33
8.10. 04:00:00;0,51
8.10. 05:00:00;0,5
8.10. 06:00:00;0,77
8.10. 07:00:00;1,01
8.10. 08:00:00;2,67
8.10. 09:00:00;1,44
8.10. 10:00:00;1,41
8.10. 11:00:00;0,95
8.10. 12:00:00;0,97
8.10. 13:00:00;0,83
8.10. 14:00:00;0,57
8.10. 15:00:00;1,86
8.10. 16:00:00;1,76
8.10. 17:00:00;0,57
8.10. 18:00:00;0,98
8.10. 19:00:00;0,47
8.10. 20:00:00;3,71
8.10. 21:00:00;1,04
8.10. 22:00:00;0,57
8.10. 23:00:00;0,68
9.10. 00:00:00;0,33
9.10. 01:00:00;0,46
9.10. 02:00:00;1,88
9.10. 03:00:00;0,32
9.10. 04:00:00;0,68
9.10. 05:00:00;0,33
9.10. 06:00:00;2,28
9.10. 07:00:00;0,55
9.10. 08:00:00;0,87
9.10. 09:00:00;0,52
9.10. 10:00:00;1,35
9.10. 11:00:00;1,52
9.10. 12:00:00;0,95
9.10. 13:00:00;0,51
9.10. 14:00:00;1,02
9.10. 15:00:00;0,61
9.10. 16:00:00;0,68
9.10. 17:00:00;0,32
9.10. 18:00:00;2,41
9.10. 19:00:00;3,19
9.10. 20:00:00;0,75
9.10. 21:00:00;0,95
