Time;Power
1.8. 00:00:00;0,66
1.8. 01:00:00;0,37
1.8. 02:00:00;0,47
1.8. 03:00:00;0,56
1.8. 04:00:00;0,35
1.8. 05:00:00;0,68
1.8. 06:00:00;0,33
1.8. 07:00:00;0,34
1.8. 08:00:00;0,69
1.8. 09:00:00;0,31
1.8. 10:00:00;0,54
1.8. 11:00:00;0,5
1.8. 12:00:00;0,32
1.8. 13:00:00;0,69
1.8. 14:00:00;0,34
1.8. 15:00:00;0,34
1.8. 16:00:00;0,68
1.8. 17:00:00;0,35
1.8. 18:00:00;0,56
1.8. 19:00:00;0,44
1.8. 20:00:00;0,36
1.8. 21:00:00;0,65
1.8. 22:00:00;1,22
1.8. 23:00:00;1,41
2.8. 00:00:00;0,34
2.8. 01:00:00;0,73
2.8. 02:00:00;0,36
2.8. 03:00:00;0,69
2.8. 04:00:00;0,37
2.8. 05:00:00;0,35
2.8. 06:00:00;0,68
2.8. 07:00:00;0,35
2.8. 08:00:00;0,76
2.8. 09:00:00;2,6
2.8. 10:00:00;1,37
2.8. 11:00:00;1,79
2.8. 12:00:00;1,61
2.8. 13:00:00;1,57
2.8. 14:00:00;1,97
2.8. 15:00:00;1,61
2.8. 16:00:00;1,11
2.8. 17:00:00;0,75
2.8. 18:00:00;0,71
2.8. 19:00:00;1,04
2.8. 20:00:00;2,3
2.8. 21:00:00;0,5
2.8. 22:00:00;0,85
2.8. 23:00:00;0,4
3.8. 00:00:00;0,6
3.8. 01:00:00;0,49
3.8. 02:00:00;0,37
3.8. 03:00:00;0,7
3.8. 04:00:00;0,37
3.8. 05:00:00;0,44
3.8. 06:00:00;0,6
3.8. 07:00:00;0,35
3.8. 08:00:00;2,36
3.8. 09:00:00;0,66
3.8. 10:00:00;2,03
3.8. 11:00:00;2,95
3.8. 12:00:00;2,05
3.8. 13:00:00;1,34
3.8. 14:00:00;1,37
3.8. 15:00:00;0,88
3.8. 16:00:00;1,23
3.8. 17:00:00;1,28
3.8. 18:00:00;1,42
3.8. 19:00:00;1,14
3.8. 20:00:00;1,19
3.8. 21:00:00;0,97
3.8. 22:00:00;2,07
3.8. 23:00:00;0,98
4.8. 00:00:00;0,39
4.8. 01:00:00;0,74
4.8. 02:00:00;0,37
4.8. 03:00:00;0,42
4.8. 04:00:00;2,1
4.8. 05:00:00;0,37
4.8. 06:00:00;0,78
4.8. 07:00:00;0,39
4.8. 08:00:00;2,18
4.8. 09:00:00;0,43
4.8. 10:00:00;0,99
4.8. 11:00:00;0,47
4.8. 12:00:00;0,73
4.8. 13:00:00;0,35
4.8. 14:00:00;0,7
4.8. 15:00:00;1,16
4.8. 16:00:00;0,97
4.8. 17:00:00;1,41
4.8. 18:00:00;1,66
4.8. 19:00:00;0,81
4.8. 20:00:00;1
4.8. 21:00:00;1,81
4.8. 22:00:00;1,41
4.8. 23:00:00;1,34
5.8. 00:00:00;0,4
5.8. 01:00:00;0,48
5.8. 02:00:00;0,57
5.8. 03:00:00;0,37
5.8. 04:00:00;0,71
5.8. 05:00:00;0,34
5.8. 06:00:00;0,54
5.8. 07:00:00;0,67
5.8. 08:00:00;0,38
5.8. 09:00:00;0,85
5.8. 10:00:00;0,54
5.8. 11:00:00;0,77
5.8. 12:00:00;0,41
5.8. 13:00:00;0,95
5.8. 14:00:00;2,53
5.8. 15:00:00;1,7
5.8. 16:00:00;1,55
5.8. 17:00:00;1,64
5.8. 18:00:00;3,07
5.8. 19:00:00;0,48
5.8. 20:00:00;1,02
5.8. 21:00:00;0,64
5.8. 22:00:00;1,04
5.8. 23:00:00;1,86
6.8. 00:00:00;0,39
6.8. 01:00:00;0,72
6.8. 02:00:00;0,34
6.8. 03:00:00;0,72
6.8. 04:00:00;0,37
6.8. 05:00:00;0,37
6.8. 06:00:00;0,73
6.8. 07:00:00;0,37
6.8. 08:00:00;0,81
6.8. 09:00:00;0,95
6.8. 10:00:00;1,05
6.8. 11:00:00;2,48
6.8. 12:00:00;1,44
6.8. 13:00:00;1,44
6.8. 14:00:00;1,89
6.8. 15:00:00;2,49
6.8. 16:00:00;0,7
6.8. 17:00:00;0,68
6.8. 18:00:00;0,41
6.8. 19:00:00;0,66
6.8. 20:00:00;1,02
6.8. 21:00:00;1,47
6.8. 22:00:00;0,76
6.8. 23:00:00;0,73
7.8. 00:00:00;0,49
7.8. 01:00:00;0,39
7.8. 02:00:00;0,7
7.8. 03:00:00;0,35
7.8. 04:00:00;0,63
7.8. 05:00:00;0,45
7.8. 06:00:00;0,33
7.8. 07:00:00;2,09
7.8. 08:00:00;0,64
7.8. 09:00:00;0,88
7.8. 10:00:00;2,52
7.8. 11:00:00;1,83
7.8. 12:00:00;1,15
7.8. 13:00:00;1,56
7.8. 14:00:00;2,25
7.8. 15:00:00;1,18
7.8. 16:00:00;1,16
7.8. 17:00:00;1,36
7.8. 18:00:00;0,93
7.8. 19:00:00;1,28
7.8. 20:00:00;1,72
7.8. 21:00:00;2,5
7.8. 22:00:00;0,75
7.8. 23:00:00;1,25
8.8. 00:00:00;0,41
8.8. 01:00:00;0,96
8.8. 02:00:00;1,42
8.8. 03:00:00;0,53
8.8. 04:00:00;2,11
8.8. 05:00:00;0,33
8.8. 06:00:00;2,18
8.8. 07:00:00;0,42
8.8. 08:00:00;0,76
8.8. 09:00:00;0,57
8.8. 10:00:00;1,23
8.8. 11:00:00;2,92
8.8. 12:00:00;1,23
8.8. 13:00:00;0,66
8.8. 14:00:00;0,37
8.8. 15:00:00;1,18
8.8. 16:00:00;0,77
8.8. 17:00:00;0,33
8.8. 18:00:00;0,69
8.8. 19:00:00;0,37
8.8. 20:00:00;0,35
8.8. 21:00:00;3,11
8.8. 22:00:00;0,99
8.8. 23:00:00;0,53
9.8. 00:00:00;0,69
9.8. 01:00:00;0,37
9.8. 02:00:00;0,44
9.8. 03:00:00;0,61
9.8. 04:00:00;0,36
9.8. 05:00:00;0,7
9.8. 06:00:00;0,32
9.8. 07:00:00;1,03
9.8. 08:00:00;0,47
9.8. 09:00:00;0,87
9.8. 10:00:00;0,54
9.8. 11:00:00;0,39
9.8. 12:00:00;0,82
9.8. 13:00:00;1,58
9.8. 14:00:00;2,46
9.8. 15:00:00;1,1
9.8. 16:00:00;0,75
9.8. 17:00:00;0,76
9.8. 18:00:00;0,36
9.8. 19:00:00;2,75
9.8. 20:00:00;0,94
9.8. 21:00:00;0,72
9.8. 22:00:00;1,02
9.8. 23:00:00;0,97
10.8. 00:00:00;0,37
10.8. 01:00:00;0,71
10.8. 02:00:00;0,37
