Time;Power
1.12. 00:00:00;0,78
1.12. 01:00:00;1,65
1.12. 02:00:00;1,1
1.12. 03:00:00;2,24
1.12. 04:00:00;0,39
1.12. 05:00:00;2,71
1.12. 06:00:00;3,18
1.12. 07:00:00;2,74
1.12. 08:00:00;1,68
1.12. 09:00:00;2,23
1.12. 10:00:00;2,37
1.12. 11:00:00;3,78
1.12. 12:00:00;2,33
1.12. 13:00:00;2,53
1.12. 14:00:00;1,07
1.12. 15:00:00;2,03
1.12. 16:00:00;3,51
1.12. 17:00:00;2,64
1.12. 18:00:00;5,3
1.12. 19:00:00;3,18
1.12. 20:00:00;4,64
1.12. 21:00:00;3,77
1.12. 22:00:00;2,1
1.12. 23:00:00;3,44
2.12. 00:00:00;2,01
2.12. 01:00:00;0,68
2.12. 02:00:00;1,73
2.12. 03:00:00;0,76
2.12. 04:00:00;1,75
2.12. 05:00:00;0,76
2.12. 06:00:00;2,32
2.12. 07:00:00;0,96
2.12. 08:00:00;2,71
2.12. 09:00:00;1,14
2.12. 10:00:00;2,08
2.12. 11:00:00;3,03
2.12. 12:00:00;1,96
2.12. 13:00:00;0,98
2.12. 14:00:00;2
2.12. 15:00:00;1,11
2.12. 16:00:00;3,2
2.12. 17:00:00;2,73
2.12. 18:00:00;2
2.12. 19:00:00;2,7
2.12. 20:00:00;6,73
2.12. 21:00:00;1,13
2.12. 22:00:00;2,26
2.12. 23:00:00;0,31
3.12. 00:00:00;1,52
3.12. 01:00:00;1,59
3.12. 02:00:00;0,34
3.12. 03:00:00;2,27
3.12. 04:00:00;0,94
3.12. 05:00:00;2,35
3.12. 06:00:00;0,8
3.12. 07:00:00;3,31
3.12. 08:00:00;1,12
3.12. 09:00:00;3,22
3.12. 10:00:00;3,35
3.12. 11:00:00;2,64
3.12. 12:00:00;1,89
3.12. 13:00:00;3,09
3.12. 14:00:00;2,6
3.12. 15:00:00;3,48
3.12. 16:00:00;3,22
3.12. 17:00:00;2,38
3.12. 18:00:00;2,03
3.12. 19:00:00;3,79
3.12. 20:00:00;3,73
3.12. 21:00:00;4,1
3.12. 22:00:00;2,81
3.12. 23:00:00;1,55
4.12. 00:00:00;1,79
4.12. 01:00:00;2,18
4.12. 02:00:00;1,17
4.12. 03:00:00;2,84
4.12. 04:00:00;2,01
4.12. 05:00:00;1,94
4.12. 06:00:00;2,85
4.12. 07:00:00;2,59
4.12. 08:00:00;1,53
4.12. 09:00:00;3,2
4.12. 10:00:00;2,05
4.12. 11:00:00;2,25
4.12. 12:00:00;2,61
4.12. 13:00:00;2,33
4.12. 14:00:00;3,37
4.12. 15:00:00;4,91
4.12. 16:00:00;1,43
4.12. 17:00:00;4,41
4.12. 18:00:00;0,78
4.12. 19:00:00;2,42
4.12. 20:00:00;5,3
4.12. 21:00:00;2,68
4.12. 22:00:00;2,54
4.12. 23:00:00;2,71
5.12. 00:00:00;1,07
5.12. 01:00:00;1,91
5.12. 02:00:00;1,82
5.12. 03:00:00;2,94
5.12. 04:00:00;0,39
5.12. 05:00:00;2,3
5.12. 06:00:00;2,84
5.12. 07:00:00;2,54
5.12. 08:00:00;2,53
