Time;Power
1.4. 00:00:00;0,97
1.4. 01:00:00;2,11
1.4. 02:00:00;1,57
1.4. 03:00:00;1,28
1.4. 04:00:00;2,86
1.4. 05:00:00;2,27
1.4. 06:00:00;1,23
1.4. 07:00:00;2,49
1.4. 08:00:00;2,72
1.4. 09:00:00;3,6
1.4. 10:00:00;1,92
1.4. 11:00:00;3,03
1.4. 12:00:00;3,78
1.4. 13:00:00;0,89
1.4. 14:00:00;1,65
1.4. 15:00:00;2,3
1.4. 16:00:00;1,34
1.4. 17:00:00;3,07
1.4. 18:00:00;3,93
1.4. 19:00:00;4,16
1.4. 20:00:00;3,41
1.4. 21:00:00;4,36
1.4. 22:00:00;3,36
1.4. 23:00:00;0,86
2.4. 00:00:00;2,67
2.4. 01:00:00;1,72
2.4. 02:00:00;1,91
2.4. 03:00:00;1,23
2.4. 04:00:00;2,49
2.4. 05:00:00;2,19
2.4. 06:00:00;2,13
2.4. 07:00:00;2,49
2.4. 08:00:00;1,31
2.4. 09:00:00;3,56
2.4. 10:00:00;2,47
2.4. 11:00:00;3,23
2.4. 12:00:00;3,49
2.4. 13:00:00;1,15
2.4. 14:00:00;3,72
2.4. 15:00:00;2,4
2.4. 16:00:00;2,09
2.4. 17:00:00;3,37
2.4. 18:00:00;2,35
2.4. 19:00:00;3,66
2.4. 20:00:00;1,7
2.4. 21:00:00;2,74
2.4. 22:00:00;4,74
2.4. 23:00:00;0,39
3.4. 00:00:00;2,38
3.4. 01:00:00;0,92
3.4. 02:00:00;2,2
3.4. 03:00:00;0,41
3.4. 04:00:00;2,78
3.4. 05:00:00;2,01
3.4. 06:00:00;0,93
3.4. 07:00:00;3,69
3.4. 08:00:00;4,19
3.4. 09:00:00;0,75
3.4. 10:00:00;3,22
3.4. 11:00:00;1,5
3.4. 12:00:00;2,48
3.4. 13:00:00;3,37
3.4. 14:00:00;1,62
3.4. 15:00:00;2,05
3.4. 16:00:00;1,94
3.4. 17:00:00;2,48
3.4. 18:00:00;1,94
3.4. 19:00:00;3,25
3.4. 20:00:00;3,95
3.4. 21:00:00;3,39
3.4. 22:00:00;0,92
3.4. 23:00:00;2,82
4.4. 00:00:00;2,65
4.4. 01:00:00;0,49
4.4. 02:00:00;0,85
4.4. 03:00:00;2,55
4.4. 04:00:00;1,91
