Time;Power
1.4. 00:00:00;0,72
1.4. 01:00:00;2,37
1.4. 02:00:00;0,36
1.4. 03:00:00;2,03
1.4. 04:00:00;1,29
1.4. 05:00:00;1,82
1.4. 06:00:00;2,33
1.4. 07:00:00;1,41
1.4. 08:00:00;2,27
1.4. 09:00:00;2,63
1.4. 10:00:00;2,6
1.4. 11:00:00;3,08
1.4. 12:00:00;1,55
1.4. 13:00:00;2,4
1.4. 14:00:00;1,2
1.4. 15:00:00;2,93
1.4. 16:00:00;1,93
1.4. 17:00:00;2,5
1.4. 18:00:00;1,02
1.4. 19:00:00;2,87
1.4. 20:00:00;4,68
1.4. 21:00:00;3,59
1.4. 22:00:00;0,78
1.4. 23:00:00;2,43
2.4. 00:00:00;1,89
2.4. 01:00:00;1,43
2.4. 02:00:00;1,77
2.4. 03:00:00;2,32
2.4. 04:00:00;1,95
2.4. 05:00:00;0,53
2.4. 06:00:00;2,36
2.4. 07:00:00;2
2.4. 08:00:00;3,26
2.4. 09:00:00;2,49
2.4. 10:00:00;3,37
2.4. 11:00:00;2,2
2.4. 12:00:00;3,76
2.4. 13:00:00;4,62
2.4. 14:00:00;2,64
2.4. 15:00:00;1,56
2.4. 16:00:00;2,9
2.4. 17:00:00;2,49
2.4. 18:00:00;0,78
2.4. 19:00:00;2,72
2.4. 20:00:00;3,51
2.4. 21:00:00;3,46
2.4. 22:00:00;2,03
2.4. 23:00:00;1,21
3.4. 00:00:00;1,89
3.4. 01:00:00;3,02
3.4. 02:00:00;1,36
3.4. 03:00:00;1,07
3.4. 04:00:00;2,33
3.4. 05:00:00;2,71
3.4. 06:00:00;2,23
3.4. 07:00:00;2,06
3.4. 08:00:00;2,26
3.4. 09:00:00;3,15
3.4. 10:00:00;2,51
3.4. 11:00:00;2,03
3.4. 12:00:00;3,31
3.4. 13:00:00;2,11
3.4. 14:00:00;2
3.4. 15:00:00;2,15
3.4. 16:00:00;3,81
3.4. 17:00:00;4,2
3.4. 18:00:00;2,04
3.4. 19:00:00;1,96
3.4. 20:00:00;2,12
3.4. 21:00:00;6,01
3.4. 22:00:00;2,62
3.4. 23:00:00;2,65
4.4. 00:00:00;1,73
4.4. 01:00:00;2,21
4.4. 02:00:00;1,92
4.4. 03:00:00;2,56
4.4. 04:00:00;2,03
4.4. 05:00:00;3,05
4.4. 06:00:00;2,36
4.4. 07:00:00;1,74
4.4. 08:00:00;3,07
4.4. 09:00:00;3,57
4.4. 10:00:00;1,6
4.4. 11:00:00;1,93
4.4. 12:00:00;2,36
4.4. 13:00:00;2,43
4.4. 14:00:00;1,02
4.4. 15:00:00;2,69
4.4. 16:00:00;5,04
4.4. 17:00:00;3,47
4.4. 18:00:00;2,76
4.4. 19:00:00;5,25
4.4. 20:00:00;4,62
4.4. 21:00:00;4,43
4.4. 22:00:00;1,38
4.4. 23:00:00;1,48
5.4. 00:00:00;2,08
5.4. 01:00:00;2,71
5.4. 02:00:00;1,52
5.4. 03:00:00;1,63
5.4. 04:00:00;2,01
5.4. 05:00:00;2,08
5.4. 06:00:00;2,41
5.4. 07:00:00;2,58
5.4. 08:00:00;1,71
5.4. 09:00:00;3,44
5.4. 10:00:00;2,77
5.4. 11:00:00;3,95
5.4. 12:00:00;4,16
5.4. 13:00:00;1,31
5.4. 14:00:00;3,38
5.4. 15:00:00;2,16
5.4. 16:00:00;2,24
5.4. 17:00:00;2,81
5.4. 18:00:00;1,79
5.4. 19:00:00;2,23
5.4. 20:00:00;3,87
5.4. 21:00:00;3,86
5.4. 22:00:00;2,51
5.4. 23:00:00;2,05
6.4. 00:00:00;1,99
6.4. 01:00:00;2,04
6.4. 02:00:00;1,68
6.4. 03:00:00;1,85
6.4. 04:00:00;1,8
6.4. 05:00:00;2,18
6.4. 06:00:00;0,67
6.4. 07:00:00;5,24
6.4. 08:00:00;3,02
6.4. 09:00:00;2,89
6.4. 10:00:00;2,51
6.4. 11:00:00;2,03
6.4. 12:00:00;2,56
6.4. 13:00:00;0,48
6.4. 14:00:00;2,29
6.4. 15:00:00;2,13
6.4. 16:00:00;3,5
6.4. 17:00:00;1,94
6.4. 18:00:00;0,94
6.4. 19:00:00;3,06
6.4. 20:00:00;7,28
6.4. 21:00:00;4,9
6.4. 22:00:00;1,82
6.4. 23:00:00;2,27
7.4. 00:00:00;1,87
7.4. 01:00:00;0,83
7.4. 02:00:00;1,84
7.4. 03:00:00;1,59
7.4. 04:00:00;1,74
7.4. 05:00:00;1,76
7.4. 06:00:00;1,33
7.4. 07:00:00;3,11
7.4. 08:00:00;3,44
7.4. 09:00:00;3,83
7.4. 10:00:00;3,62
7.4. 11:00:00;3,37
7.4. 12:00:00;3,86
7.4. 13:00:00;2,16
7.4. 14:00:00;1,98
7.4. 15:00:00;1
7.4. 16:00:00;2,01
7.4. 17:00:00;2,83
7.4. 18:00:00;1,26
7.4. 19:00:00;2,89
7.4. 20:00:00;5,23
7.4. 21:00:00;3,23
7.4. 22:00:00;1,58
7.4. 23:00:00;2,89
8.4. 00:00:00;1,76
8.4. 01:00:00;0,88
8.4. 02:00:00;2,6
8.4. 03:00:00;1,37
8.4. 04:00:00;1,72
8.4. 05:00:00;2,51
8.4. 06:00:00;3,1
8.4. 07:00:00;2,16
8.4. 08:00:00;2,13
8.4. 09:00:00;2,57
8.4. 10:00:00;1,7
8.4. 11:00:00;1,56
8.4. 12:00:00;2,44
8.4. 13:00:00;1
8.4. 14:00:00;2,48
8.4. 15:00:00;3,82
8.4. 16:00:00;1,68
8.4. 17:00:00;2,46
8.4. 18:00:00;2,05
8.4. 19:00:00;3,06
8.4. 20:00:00;3,39
8.4. 21:00:00;5,24
8.4. 22:00:00;2,78
8.4. 23:00:00;1,14
9.4. 00:00:00;1,93
9.4. 01:00:00;2,45
9.4. 02:00:00;2,01
9.4. 03:00:00;3,2
9.4. 04:00:00;2,24
9.4. 05:00:00;2,63
9.4. 06:00:00;3,48
9.4. 07:00:00;4,26
9.4. 08:00:00;3,64
9.4. 09:00:00;4,47
9.4. 10:00:00;3,51
9.4. 11:00:00;2,93
9.4. 12:00:00;3,01
9.4. 13:00:00;3,22
9.4. 14:00:00;3,45
9.4. 15:00:00;2,92
9.4. 16:00:00;3,54
9.4. 17:00:00;2,77
9.4. 18:00:00;1,93
9.4. 19:00:00;4,25
9.4. 20:00:00;5,05
9.4. 21:00:00;3,82
9.4. 22:00:00;3,75
9.4. 23:00:00;2,62
10.4. 00:00:00;2,87
10.4. 01:00:00;2,36
10.4. 02:00:00;0,93
10.4. 03:00:00;2,91
10.4. 04:00:00;2,11
10.4. 05:00:00;0,78
10.4. 06:00:00;2,65
10.4. 07:00:00;2,28
10.4. 08:00:00;1,51
10.4. 09:00:00;4,61
10.4. 10:00:00;0,85
10.4. 11:00:00;2,48
10.4. 12:00:00;3,65
10.4. 13:00:00;3,3
10.4. 14:00:00;1,9
10.4. 15:00:00;1,94
10.4. 16:00:00;2,86
10.4. 17:00:00;1,65
10.4. 18:00:00;2,02
10.4. 19:00:00;5,06
10.4. 20:00:00;1,76
10.4. 21:00:00;3,25
10.4. 22:00:00;0,55
10.4. 23:00:00;2,2
11.4. 00:00:00;2,42
11.4. 01:00:00;1,55
11.4. 02:00:00;1,79
11.4. 03:00:00;2,01
