Time;Power
1.9. 00:00:00;0,57
1.9. 01:00:00;0,47
1.9. 02:00:00;1,87
1.9. 03:00:00;0,72
1.9. 04:00:00;0,32
1.9. 05:00:00;2,22
1.9. 06:00:00;0,88
1.9. 07:00:00;0,52
1.9. 08:00:00;2,29
1.9. 09:00:00;0,38
1.9. 10:00:00;0,53
1.9. 11:00:00;0,59
1.9. 12:00:00;0,37
1.9. 13:00:00;0,81
1.9. 14:00:00;1,88
1.9. 15:00:00;0,73
1.9. 16:00:00;1,66
1.9. 17:00:00;0,71
1.9. 18:00:00;0,35
1.9. 19:00:00;0,7
1.9. 20:00:00;0,88
1.9. 21:00:00;1,27
1.9. 22:00:00;1,83
1.9. 23:00:00;0,35
2.9. 00:00:00;0,68
2.9. 01:00:00;1,94
2.9. 02:00:00;0,76
2.9. 03:00:00;0,34
2.9. 04:00:00;1,97
2.9. 05:00:00;0,58
2.9. 06:00:00;0,47
2.9. 07:00:00;2,34
2.9. 08:00:00;2,48
2.9. 09:00:00;0,78
2.9. 10:00:00;1,53
2.9. 11:00:00;1,19
2.9. 12:00:00;0,41
2.9. 13:00:00;0,8
2.9. 14:00:00;0,57
2.9. 15:00:00;0,85
2.9. 16:00:00;1,37
2.9. 17:00:00;0,36
2.9. 18:00:00;0,67
2.9. 19:00:00;0,93
2.9. 20:00:00;2,93
2.9. 21:00:00;2,68
2.9. 22:00:00;0,97
2.9. 23:00:00;0,32
3.9. 00:00:00;0,33
3.9. 01:00:00;1,98
3.9. 02:00:00;0,54
3.9. 03:00:00;0,67
3.9. 04:00:00;0,33
3.9. 05:00:00;0,95
3.9. 06:00:00;1,74
3.9. 07:00:00;0,82
3.9. 08:00:00;2,14
3.9. 09:00:00;3,23
3.9. 10:00:00;0,58
3.9. 11:00:00;0,73
3.9. 12:00:00;0,39
3.9. 13:00:00;0,81
3.9. 14:00:00;0,5
3.9. 15:00:00;0,85
3.9. 16:00:00;0,93
3.9. 17:00:00;2,39
3.9. 18:00:00;0,39
3.9. 19:00:00;0,81
3.9. 20:00:00;1,96
3.9. 21:00:00;1,41
3.9. 22:00:00;1,03
3.9. 23:00:00;2,19
4.9. 00:00:00;0,35
4.9. 01:00:00;0,69
4.9. 02:00:00;0,34
4.9. 03:00:00;0,39
4.9. 04:00:00;0,61
4.9. 05:00:00;0,31
4.9. 06:00:00;0,88
4.9. 07:00:00;1,17
4.9. 08:00:00;1,2
4.9. 09:00:00;1,28
4.9. 10:00:00;0,88
4.9. 11:00:00;0,61
4.9. 12:00:00;0,8
4.9. 13:00:00;0,55
4.9. 14:00:00;3,33
4.9. 15:00:00;1,25
4.9. 16:00:00;0,72
4.9. 17:00:00;0,31
4.9. 18:00:00;0,71
4.9. 19:00:00;1,79
4.9. 20:00:00;2,71
4.9. 21:00:00;3,47
4.9. 22:00:00;1,34
4.9. 23:00:00;0,39
5.9. 00:00:00;0,71
5.9. 01:00:00;0,34
5.9. 02:00:00;0,4
5.9. 03:00:00;0,62
5.9. 04:00:00;0,35
5.9. 05:00:00;0,66
5.9. 06:00:00;0,34
5.9. 07:00:00;0,72
5.9. 08:00:00;0,53
5.9. 09:00:00;2,55
5.9. 10:00:00;2,23
5.9. 11:00:00;1,65
5.9. 12:00:00;1,34
5.9. 13:00:00;0,84
5.9. 14:00:00;2,8
5.9. 15:00:00;1,19
5.9. 16:00:00;1,29
5.9. 17:00:00;1,43
5.9. 18:00:00;1,86
5.9. 19:00:00;2,52
5.9. 20:00:00;1,5
5.9. 21:00:00;0,69
5.9. 22:00:00;0,97
5.9. 23:00:00;0,39
6.9. 00:00:00;0,69
6.9. 01:00:00;0,32
6.9. 02:00:00;0,68
6.9. 03:00:00;0,34
6.9. 04:00:00;0,32
6.9. 05:00:00;1,84
6.9. 06:00:00;0,33
6.9. 07:00:00;0,91
6.9. 08:00:00;0,6
6.9. 09:00:00;1,35
6.9. 10:00:00;1,02
6.9. 11:00:00;1,1
6.9. 12:00:00;0,89
6.9. 13:00:00;1,39
6.9. 14:00:00;0,79
6.9. 15:00:00;0,45
6.9. 16:00:00;0,78
6.9. 17:00:00;0,44
6.9. 18:00:00;0,4
6.9. 19:00:00;1,04
6.9. 20:00:00;3,25
6.9. 21:00:00;0,95
6.9. 22:00:00;0,45
6.9. 23:00:00;0,75
7.9. 00:00:00;0,37
7.9. 01:00:00;0,34
7.9. 02:00:00;1,32
7.9. 03:00:00;1,09
7.9. 04:00:00;0,7
7.9. 05:00:00;0,33
7.9. 06:00:00;1,98
7.9. 07:00:00;1,14
7.9. 08:00:00;2,07
7.9. 09:00:00;2,68
7.9. 10:00:00;0,96
7.9. 11:00:00;0,45
7.9. 12:00:00;0,79
7.9. 13:00:00;0,39
7.9. 14:00:00;0,75
7.9. 15:00:00;0,59
7.9. 16:00:00;1,17
7.9. 17:00:00;0,38
7.9. 18:00:00;0,65
7.9. 19:00:00;0,34
7.9. 20:00:00;2,74
7.9. 21:00:00;1,05
7.9. 22:00:00;0,55
7.9. 23:00:00;0,47
8.9. 00:00:00;0,38
