Time;Power
1.5. 00:00:00;0,96
1.5. 01:00:00;1,99
1.5. 02:00:00;2,03
1.5. 03:00:00;0,94
1.5. 04:00:00;2,19
1.5. 05:00:00;2,14
1.5. 06:00:00;2,41
1.5. 07:00:00;0,48
1.5. 08:00:00;2,77
1.5. 09:00:00;2,08
1.5. 10:00:00;1,01
1.5. 11:00:00;1,76
1.5. 12:00:00;0,32
1.5. 13:00:00;3,94
1.5. 14:00:00;1,48
1.5. 15:00:00;2,16
1.5. 16:00:00;1,59
1.5. 17:00:00;2,87
1.5. 18:00:00;3,72
1.5. 19:00:00;1,71
1.5. 20:00:00;1,8
1.5. 21:00:00;2,68
1.5. 22:00:00;2,74
1.5. 23:00:00;0,81
2.5. 00:00:00;2,19
2.5. 01:00:00;0,3
2.5. 02:00:00;1,83
2.5. 03:00:00;0,59
2.5. 04:00:00;0,73
2.5. 05:00:00;1,78
2.5. 06:00:00;0,35
2.5. 07:00:00;2,26
2.5. 08:00:00;1,97
2.5. 09:00:00;1,2
2.5. 10:00:00;3,78
2.5. 11:00:00;1,62
2.5. 12:00:00;2,02
2.5. 13:00:00;1,38
2.5. 14:00:00;1,28
2.5. 15:00:00;1,15
2.5. 16:00:00;0,95
2.5. 17:00:00;0,85
2.5. 18:00:00;1,63
2.5. 19:00:00;1,18
2.5. 20:00:00;2,97
2.5. 21:00:00;0,59
2.5. 22:00:00;1
2.5. 23:00:00;2,08
3.5. 00:00:00;0,37
3.5. 01:00:00;0,54
3.5. 02:00:00;0,56
3.5. 03:00:00;1,88
3.5. 04:00:00;0,74
3.5. 05:00:00;1,88
3.5. 06:00:00;0,71
3.5. 07:00:00;0,37
3.5. 08:00:00;1,91
3.5. 09:00:00;1,09
3.5. 10:00:00;2,94
3.5. 11:00:00;1,7
3.5. 12:00:00;2,44
3.5. 13:00:00;2,61
3.5. 14:00:00;1,47
3.5. 15:00:00;2,55
3.5. 16:00:00;1,73
3.5. 17:00:00;1,52
3.5. 18:00:00;1,23
3.5. 19:00:00;1,79
3.5. 20:00:00;3,59
3.5. 21:00:00;2,55
3.5. 22:00:00;0,43
3.5. 23:00:00;2,25
4.5. 00:00:00;0,34
4.5. 01:00:00;1,53
4.5. 02:00:00;1,04
4.5. 03:00:00;0,81
4.5. 04:00:00;1,9
4.5. 05:00:00;1,73
4.5. 06:00:00;1,15
4.5. 07:00:00;2,26
4.5. 08:00:00;2,35
4.5. 09:00:00;2,99
4.5. 10:00:00;2,5
4.5. 11:00:00;1,83
4.5. 12:00:00;0,93
4.5. 13:00:00;0,52
4.5. 14:00:00;1,03
4.5. 15:00:00;0,45
4.5. 16:00:00;0,68
4.5. 17:00:00;1,8
4.5. 18:00:00;0,89
4.5. 19:00:00;2,63
4.5. 20:00:00;0,99
4.5. 21:00:00;0,9
4.5. 22:00:00;2,62
4.5. 23:00:00;0,68
5.5. 00:00:00;1,91
5.5. 01:00:00;0,81
5.5. 02:00:00;2,01
5.5. 03:00:00;1,91
5.5. 04:00:00;0,95
5.5. 05:00:00;1,89
5.5. 06:00:00;1,17
5.5. 07:00:00;2,08
5.5. 08:00:00;1,47
5.5. 09:00:00;2,44
5.5. 10:00:00;1,12
5.5. 11:00:00;0,9
5.5. 12:00:00;0,65
5.5. 13:00:00;0,95
5.5. 14:00:00;0,58
5.5. 15:00:00;1,05
5.5. 16:00:00;1,07
5.5. 17:00:00;0,51
5.5. 18:00:00;1,31
5.5. 19:00:00;2,63
5.5. 20:00:00;1,33
5.5. 21:00:00;2,22
5.5. 22:00:00;0,42
5.5. 23:00:00;0,74
6.5. 00:00:00;2,03
6.5. 01:00:00;0,8
6.5. 02:00:00;1,94
6.5. 03:00:00;0,67
6.5. 04:00:00;2,13
6.5. 05:00:00;1,14
6.5. 06:00:00;1,82
6.5. 07:00:00;2,41
6.5. 08:00:00;1,47
6.5. 09:00:00;2,68
6.5. 10:00:00;1,2
6.5. 11:00:00;2,03
6.5. 12:00:00;0,94
6.5. 13:00:00;0,69
6.5. 14:00:00;0,84
6.5. 15:00:00;1,02
6.5. 16:00:00;1,91
6.5. 17:00:00;1,99
6.5. 18:00:00;1,02
6.5. 19:00:00;1,12
6.5. 20:00:00;1,8
