Time;Power
1.10. 00:00:00;0,72
1.10. 01:00:00;1,57
1.10. 02:00:00;0,87
1.10. 03:00:00;0,34
1.10. 04:00:00;0,35
1.10. 05:00:00;0,67
1.10. 06:00:00;1,88
1.10. 07:00:00;1,07
1.10. 08:00:00;0,41
1.10. 09:00:00;0,67
1.10. 10:00:00;0,78
1.10. 11:00:00;1,48
1.10. 12:00:00;0,51
1.10. 13:00:00;0,47
1.10. 14:00:00;0,9
1.10. 15:00:00;2,03
1.10. 16:00:00;0,84
1.10. 17:00:00;1,9
1.10. 18:00:00;3,89
1.10. 19:00:00;3,23
1.10. 20:00:00;3,3
1.10. 21:00:00;1,27
1.10. 22:00:00;3,32
1.10. 23:00:00;0,39
2.10. 00:00:00;2,48
2.10. 01:00:00;0,37
2.10. 02:00:00;2,4
2.10. 03:00:00;0,42
2.10. 04:00:00;2,16
2.10. 05:00:00;0,78
2.10. 06:00:00;2,78
2.10. 07:00:00;2,85
2.10. 08:00:00;3,08
2.10. 09:00:00;2,64
2.10. 10:00:00;2,54
2.10. 11:00:00;2,03
2.10. 12:00:00;2,95
2.10. 13:00:00;2,77
2.10. 14:00:00;2,66
2.10. 15:00:00;3,67
2.10. 16:00:00;2,68
2.10. 17:00:00;2,67
2.10. 18:00:00;3,51
2.10. 19:00:00;4,18
2.10. 20:00:00;2,87
2.10. 21:00:00;4,27
2.10. 22:00:00;1,21
2.10. 23:00:00;1,95
3.10. 00:00:00;1,85
3.10. 01:00:00;0,97
3.10. 02:00:00;0,39
3.10. 03:00:00;2,26
3.10. 04:00:00;0,39
3.10. 05:00:00;1,51
3.10. 06:00:00;1,53
3.10. 07:00:00;2,79
3.10. 08:00:00;1,53
3.10. 09:00:00;1,94
3.10. 10:00:00;2,43
3.10. 11:00:00;0,84
3.10. 12:00:00;2,17
3.10. 13:00:00;0,99
3.10. 14:00:00;1,67
3.10. 15:00:00;1,8
3.10. 16:00:00;2,3
3.10. 17:00:00;0,87
3.10. 18:00:00;2,78
3.10. 19:00:00;3,08
3.10. 20:00:00;5,17
3.10. 21:00:00;1,4
3.10. 22:00:00;3,46
3.10. 23:00:00;0,84
4.10. 00:00:00;2,21
4.10. 01:00:00;0,35
4.10. 02:00:00;2,25
4.10. 03:00:00;0,4
4.10. 04:00:00;2,3
4.10. 05:00:00;0,41
4.10. 06:00:00;2,99
4.10. 07:00:00;3,33
4.10. 08:00:00;2,65
4.10. 09:00:00;1,12
4.10. 10:00:00;2,66
4.10. 11:00:00;3,51
4.10. 12:00:00;1,48
4.10. 13:00:00;2,68
4.10. 14:00:00;3,01
4.10. 15:00:00;1,05
4.10. 16:00:00;2,44
4.10. 17:00:00;0,67
4.10. 18:00:00;2,21
4.10. 19:00:00;4,05
4.10. 20:00:00;1,29
4.10. 21:00:00;2,7
4.10. 22:00:00;0,86
4.10. 23:00:00;2,05
5.10. 00:00:00;0,75
5.10. 01:00:00;2,13
5.10. 02:00:00;0,46
5.10. 03:00:00;2,38
5.10. 04:00:00;0,51
5.10. 05:00:00;2,46
5.10. 06:00:00;0,55
5.10. 07:00:00;2,71
5.10. 08:00:00;1,08
5.10. 09:00:00;3,22
5.10. 10:00:00;2,33
5.10. 11:00:00;4,07
5.10. 12:00:00;1,24
5.10. 13:00:00;1,99
5.10. 14:00:00;0,9
5.10. 15:00:00;2,21
5.10. 16:00:00;1,34
5.10. 17:00:00;0,69
5.10. 18:00:00;2,84
5.10. 19:00:00;1,78
5.10. 20:00:00;4,63
5.10. 21:00:00;1,52
5.10. 22:00:00;1,87
5.10. 23:00:00;1,97
6.10. 00:00:00;0,86
6.10. 01:00:00;2,16
6.10. 02:00:00;0,5
6.10. 03:00:00;2,08
6.10. 04:00:00;0,95
6.10. 05:00:00;1,83
6.10. 06:00:00;2,92
6.10. 07:00:00;3,18
6.10. 08:00:00;4,06
6.10. 09:00:00;3,43
6.10. 10:00:00;3,59
6.10. 11:00:00;2,5
6.10. 12:00:00;1,41
6.10. 13:00:00;3,04
6.10. 14:00:00;3,3
6.10. 15:00:00;2,98
6.10. 16:00:00;3,35
6.10. 17:00:00;2,17
6.10. 18:00:00;2,61
6.10. 19:00:00;4,01
6.10. 20:00:00;2,35
6.10. 21:00:00;3,83
6.10. 22:00:00;0,73
6.10. 23:00:00;2,32
7.10. 00:00:00;0,48
7.10. 01:00:00;2,26
7.10. 02:00:00;0,56
7.10. 03:00:00;1,48
7.10. 04:00:00;1,34
7.10. 05:00:00;1,29
7.10. 06:00:00;1,55
7.10. 07:00:00;2,96
7.10. 08:00:00;1,97
7.10. 09:00:00;2,63
7.10. 10:00:00;0,82
7.10. 11:00:00;3,37
7.10. 12:00:00;0,77
7.10. 13:00:00;2,13
7.10. 14:00:00;2,51
7.10. 15:00:00;1,49
7.10. 16:00:00;2,56
7.10. 17:00:00;0,54
7.10. 18:00:00;0,75
7.10. 19:00:00;4,92
7.10. 20:00:00;1,17
7.10. 21:00:00;2,19
7.10. 22:00:00;2,68
7.10. 23:00:00;0,91
8.10. 00:00:00;0,87
8.10. 01:00:00;1,86
8.10. 02:00:00;0,4
8.10. 03:00:00;2,22
8.10. 04:00:00;0,5
8.10. 05:00:00;0,78
8.10. 06:00:00;2,16
8.10. 07:00:00;2,88
8.10. 08:00:00;0,63
8.10. 09:00:00;2,47
8.10. 10:00:00;0,52
8.10. 11:00:00;2,29
8.10. 12:00:00;2,57
8.10. 13:00:00;0,62
8.10. 14:00:00;2,42
8.10. 15:00:00;2,28
8.10. 16:00:00;3,07
8.10. 17:00:00;1,51
8.10. 18:00:00;3,38
8.10. 19:00:00;2,37
8.10. 20:00:00;2,67
8.10. 21:00:00;2,89
8.10. 22:00:00;3,78
8.10. 23:00:00;4,2
9.10. 00:00:00;1,1
9.10. 01:00:00;1,77
9.10. 02:00:00;0,46
9.10. 03:00:00;2,31
9.10. 04:00:00;0,46
9.10. 05:00:00;0,83
9.10. 06:00:00;2,07
9.10. 07:00:00;1,14
9.10. 08:00:00;2,59
9.10. 09:00:00;0,51
9.10. 10:00:00;2,18
9.10. 11:00:00;0,54
9.10. 12:00:00;0,37
9.10. 13:00:00;2,15
9.10. 14:00:00;0,34
9.10. 15:00:00;0,87
9.10. 16:00:00;1,99
9.10. 17:00:00;0,76
9.10. 18:00:00;0,41
9.10. 19:00:00;2,3
9.10. 20:00:00;1,51
9.10. 21:00:00;3,36
9.10. 22:00:00;3,1
9.10. 23:00:00;2
10.10. 00:00:00;0,94
10.10. 01:00:00;1,99
10.10. 02:00:00;0,71
10.10. 03:00:00;1,57
10.10. 04:00:00;1,3
10.10. 05:00:00;2,84
10.10. 06:00:00;3,75
10.10. 07:00:00;4,59
10.10. 08:00:00;3,13
10.10. 09:00:00;2,16
10.10. 10:00:00;3,35
10.10. 11:00:00;3,16
10.10. 12:00:00;3,03
10.10. 13:00:00;2,7
10.10. 14:00:00;3
10.10. 15:00:00;2,56
10.10. 16:00:00;2,85
10.10. 17:00:00;2,18
10.10. 18:00:00;2,65
10.10. 19:00:00;3
10.10. 20:00:00;6,8
10.10. 21:00:00;1,81
10.10. 22:00:00;3,29
10.10. 23:00:00;0,38
11.10. 00:00:00;0,95
11.10. 01:00:00;1,54
11.10. 02:00:00;0,72
11.10. 03:00:00;0,33
11.10. 04:00:00;2,14
11.10. 05:00:00;0,35
11.10. 06:00:00;1,13
11.10. 07:00:00;2,44
11.10. 08:00:00;0,41
11.10. 09:00:00;0,68
11.10. 10:00:00;1,74
11.10. 11:00:00;0,52
11.10. 12:00:00;0,49
11.10. 13:00:00;1,78
11.10. 14:00:00;0,81
11.10. 15:00:00;0,65
11.10. 16:00:00;0,99
11.10. 17:00:00;1,75
11.10. 18:00:00;0,7
11.10. 19:00:00;2,56
11.10. 20:00:00;1,6
11.10. 21:00:00;1,1
11.10. 22:00:00;3,8
11.10. 23:00:00;1,29
12.10. 00:00:00;1
12.10. 01:00:00;0,7
12.10. 02:00:00;1,77
12.10. 03:00:00;0,71
12.10. 04:00:00;0,35
12.10. 05:00:00;1,96
12.10. 06:00:00;0,53
12.10. 07:00:00;0,34
12.10. 08:00:00;2,53
12.10. 09:00:00;1,14
12.10. 10:00:00;0,33
12.10. 11:00:00;3,95
12.10. 12:00:00;0,33
12.10. 13:00:00;1,67
12.10. 14:00:00;0,81
12.10. 15:00:00;0,33
12.10. 16:00:00;0,69
12.10. 17:00:00;1,76
12.10. 18:00:00;0,71
12.10. 19:00:00;0,32
12.10. 20:00:00;2,16
12.10. 21:00:00;0,34
12.10. 22:00:00;2,11
12.10. 23:00:00;0,5
13.10. 00:00:00;2,25
13.10. 01:00:00;0,72
13.10. 02:00:00;2,38
13.10. 03:00:00;2,84
13.10. 04:00:00;2,71
13.10. 05:00:00;2
13.10. 06:00:00;1,99
13.10. 07:00:00;2,73
13.10. 08:00:00;2,49
13.10. 09:00:00;2,82
13.10. 10:00:00;2,44
13.10. 11:00:00;2,74
13.10. 12:00:00;2,38
13.10. 13:00:00;2,74
13.10. 14:00:00;2,23
13.10. 15:00:00;2,61
13.10. 16:00:00;2,15
13.10. 17:00:00;2,61
13.10. 18:00:00;2,19
13.10. 19:00:00;2,38
13.10. 20:00:00;2,3
13.10. 21:00:00;2,53
13.10. 22:00:00;2,55
13.10. 23:00:00;2,24
14.10. 00:00:00;2,66
14.10. 01:00:00;2,22
14.10. 02:00:00;2,62
14.10. 03:00:00;2,16
14.10. 04:00:00;2,6
