Time;Power
1.6. 00:00:00;1,52
1.6. 01:00:00;0,73
1.6. 02:00:00;0,36
1.6. 03:00:00;0,7
1.6. 04:00:00;0,33
1.6. 05:00:00;2,06
1.6. 06:00:00;0,47
1.6. 07:00:00;0,6
1.6. 08:00:00;1,06
1.6. 09:00:00;0,82
1.6. 10:00:00;1
1.6. 11:00:00;0,62
1.6. 12:00:00;0,98
1.6. 13:00:00;0,79
1.6. 14:00:00;0,92
1.6. 15:00:00;0,31
1.6. 16:00:00;0,52
1.6. 17:00:00;0,49
1.6. 18:00:00;0,33
1.6. 19:00:00;0,65
1.6. 20:00:00;0,33
1.6. 21:00:00;0,53
1.6. 22:00:00;0,45
1.6. 23:00:00;0,33
2.6. 00:00:00;0,72
2.6. 01:00:00;0,37
2.6. 02:00:00;0,43
2.6. 03:00:00;0,57
2.6. 04:00:00;0,34
2.6. 05:00:00;0,65
2.6. 06:00:00;0,33
2.6. 07:00:00;0,34
2.6. 08:00:00;0,66
2.6. 09:00:00;0,32
2.6. 10:00:00;0,67
2.6. 11:00:00;0,33
2.6. 12:00:00;0,32
2.6. 13:00:00;0,66
2.6. 14:00:00;0,34
2.6. 15:00:00;0,65
2.6. 16:00:00;0,32
2.6. 17:00:00;0,33
2.6. 18:00:00;0,67
2.6. 19:00:00;0,31
2.6. 20:00:00;0,52
2.6. 21:00:00;0,48
2.6. 22:00:00;0,32
2.6. 23:00:00;0,65
3.6. 00:00:00;0,34
3.6. 01:00:00;0,35
3.6. 02:00:00;0,65
3.6. 03:00:00;0,33
3.6. 04:00:00;0,68
3.6. 05:00:00;1,42
3.6. 06:00:00;0,47
3.6. 07:00:00;0,7
3.6. 08:00:00;0,33
3.6. 09:00:00;0,66
3.6. 10:00:00;0,33
3.6. 11:00:00;0,34
3.6. 12:00:00;0,64
3.6. 13:00:00;0,33
3.6. 14:00:00;0,76
3.6. 15:00:00;0,46
3.6. 16:00:00;1,04
3.6. 17:00:00;0,47
3.6. 18:00:00;0,7
3.6. 19:00:00;1,18
3.6. 20:00:00;1,04
3.6. 21:00:00;1,52
3.6. 22:00:00;0,82
3.6. 23:00:00;1,59
4.6. 00:00:00;1,41
4.6. 01:00:00;0,37
4.6. 02:00:00;0,72
4.6. 03:00:00;0,36
4.6. 04:00:00;0,64
4.6. 05:00:00;0,37
4.6. 06:00:00;0,53
4.6. 07:00:00;0,57
4.6. 08:00:00;0,37
4.6. 09:00:00;0,72
4.6. 10:00:00;0,33
4.6. 11:00:00;0,44
4.6. 12:00:00;0,57
4.6. 13:00:00;0,42
4.6. 14:00:00;0,75
4.6. 15:00:00;1,87
4.6. 16:00:00;0,75
4.6. 17:00:00;0,31
4.6. 18:00:00;0,34
4.6. 19:00:00;0,72
4.6. 20:00:00;2,73
4.6. 21:00:00;1,32
4.6. 22:00:00;0,95
4.6. 23:00:00;0,35
5.6. 00:00:00;2,16
5.6. 01:00:00;0,33
5.6. 02:00:00;0,7
5.6. 03:00:00;1,78
5.6. 04:00:00;0,32
5.6. 05:00:00;0,7
5.6. 06:00:00;1,94
5.6. 07:00:00;0,69
5.6. 08:00:00;0,33
5.6. 09:00:00;2,19
5.6. 10:00:00;0,41
5.6. 11:00:00;0,79
