Time;Power
1.7. 00:00:00;0,68
1.7. 01:00:00;0,37
1.7. 02:00:00;0,62
1.7. 03:00:00;0,45
1.7. 04:00:00;0,32
1.7. 05:00:00;0,66
1.7. 06:00:00;0,34
1.7. 07:00:00;0,84
1.7. 08:00:00;0,44
1.7. 09:00:00;0,5
1.7. 10:00:00;1,67
1.7. 11:00:00;1,12
1.7. 12:00:00;1,78
1.7. 13:00:00;1,3
1.7. 14:00:00;1,08
1.7. 15:00:00;0,48
1.7. 16:00:00;0,7
1.7. 17:00:00;0,6
1.7. 18:00:00;2,42
1.7. 19:00:00;0,38
1.7. 20:00:00;0,81
1.7. 21:00:00;0,34
1.7. 22:00:00;0,95
1.7. 23:00:00;1,14
2.7. 00:00:00;0,41
2.7. 01:00:00;0,7
2.7. 02:00:00;1,35
2.7. 03:00:00;0,7
2.7. 04:00:00;0,33
2.7. 05:00:00;0,77
2.7. 06:00:00;0,33
2.7. 07:00:00;0,32
2.7. 08:00:00;0,67
2.7. 09:00:00;0,32
2.7. 10:00:00;0,65
2.7. 11:00:00;0,33
2.7. 12:00:00;0,33
2.7. 13:00:00;0,65
2.7. 14:00:00;0,32
2.7. 15:00:00;0,67
2.7. 16:00:00;0,31
2.7. 17:00:00;0,33
2.7. 18:00:00;0,65
2.7. 19:00:00;0,31
2.7. 20:00:00;0,67
2.7. 21:00:00;0,31
2.7. 22:00:00;0,3
2.7. 23:00:00;0,67
3.7. 00:00:00;0,33
3.7. 01:00:00;0,59
3.7. 02:00:00;0,41
3.7. 03:00:00;1,62
3.7. 04:00:00;0,69
3.7. 05:00:00;0,3
3.7. 06:00:00;0,61
3.7. 07:00:00;0,39
3.7. 08:00:00;0,31
3.7. 09:00:00;2,1
3.7. 10:00:00;0,33
3.7. 11:00:00;0,67
3.7. 12:00:00;0,31
3.7. 13:00:00;0,33
3.7. 14:00:00;0,66
3.7. 15:00:00;0,32
3.7. 16:00:00;0,64
3.7. 17:00:00;0,32
3.7. 18:00:00;0,33
3.7. 19:00:00;0,63
3.7. 20:00:00;0,32
3.7. 21:00:00;0,65
3.7. 22:00:00;0,36
3.7. 23:00:00;0,33
4.7. 00:00:00;0,66
4.7. 01:00:00;0,34
4.7. 02:00:00;1,96
4.7. 03:00:00;0,33
4.7. 04:00:00;0,32
4.7. 05:00:00;0,67
4.7. 06:00:00;1,82
4.7. 07:00:00;0,7
4.7. 08:00:00;0,31
4.7. 09:00:00;0,3
4.7. 10:00:00;0,68
4.7. 11:00:00;0,32
4.7. 12:00:00;0,64
4.7. 13:00:00;0,33
4.7. 14:00:00;0,45
4.7. 15:00:00;0,5
4.7. 16:00:00;0,33
4.7. 17:00:00;0,65
4.7. 18:00:00;0,31
4.7. 19:00:00;0,54
4.7. 20:00:00;0,5
4.7. 21:00:00;2,56
4.7. 22:00:00;0,39
4.7. 23:00:00;0,66
5.7. 00:00:00;0,34
5.7. 01:00:00;0,51
5.7. 02:00:00;0,47
5.7. 03:00:00;0,33
5.7. 04:00:00;0,93
5.7. 05:00:00;1,57
5.7. 06:00:00;0,66
5.7. 07:00:00;0,34
5.7. 08:00:00;0,33
5.7. 09:00:00;2,42
5.7. 10:00:00;0,82
5.7. 11:00:00;0,33
5.7. 12:00:00;0,32
5.7. 13:00:00;0,66
5.7. 14:00:00;0,32
5.7. 15:00:00;0,66
5.7. 16:00:00;0,32
5.7. 17:00:00;0,31
5.7. 18:00:00;0,66
5.7. 19:00:00;0,32
5.7. 20:00:00;0,63
5.7. 21:00:00;0,33
