Time;Power
1.2. 00:00:00;2
1.2. 01:00:00;1,81
1.2. 02:00:00;2,14
1.2. 03:00:00;2,01
1.2. 04:00:00;1,3
1.2. 05:00:00;2,62
1.2. 06:00:00;3,66
1.2. 07:00:00;2,68
1.2. 08:00:00;4,59
1.2. 09:00:00;2,78
1.2. 10:00:00;2,87
1.2. 11:00:00;5,62
1.2. 12:00:00;4,58
1.2. 13:00:00;3,97
1.2. 14:00:00;5,39
1.2. 15:00:00;6,62
1.2. 16:00:00;5,73
1.2. 17:00:00;5,15
1.2. 18:00:00;3,44
1.2. 19:00:00;6,3
1.2. 20:00:00;5,8
1.2. 21:00:00;5,95
1.2. 22:00:00;3,92
1.2. 23:00:00;4,65
2.2. 00:00:00;2,13
2.2. 01:00:00;4,05
2.2. 02:00:00;1,94
2.2. 03:00:00;3,04
2.2. 04:00:00;2,47
2.2. 05:00:00;1,95
2.2. 06:00:00;2,91
2.2. 07:00:00;3,66
2.2. 08:00:00;2,3
2.2. 09:00:00;3,77
2.2. 10:00:00;2,62
2.2. 11:00:00;1,27
2.2. 12:00:00;2,32
2.2. 13:00:00;2,25
2.2. 14:00:00;5,29
2.2. 15:00:00;3,6
2.2. 16:00:00;5,79
2.2. 17:00:00;4,13
2.2. 18:00:00;3,05
2.2. 19:00:00;3,49
2.2. 20:00:00;3,6
2.2. 21:00:00;4,73
2.2. 22:00:00;3,33
2.2. 23:00:00;3,21
3.2. 00:00:00;2,74
3.2. 01:00:00;1,89
3.2. 02:00:00;3,95
3.2. 03:00:00;2,57
3.2. 04:00:00;3,91
3.2. 05:00:00;3,47
3.2. 06:00:00;5,72
3.2. 07:00:00;3,59
3.2. 08:00:00;5,25
3.2. 09:00:00;5,35
3.2. 10:00:00;6,25
3.2. 11:00:00;4,87
3.2. 12:00:00;5,37
3.2. 13:00:00;5,02
3.2. 14:00:00;5,39
3.2. 15:00:00;4,58
3.2. 16:00:00;6,27
3.2. 17:00:00;4,5
3.2. 18:00:00;8,44
3.2. 19:00:00;5,07
3.2. 20:00:00;5,09
3.2. 21:00:00;5,48
3.2. 22:00:00;3,75
3.2. 23:00:00;3,68
4.2. 00:00:00;2,87
4.2. 01:00:00;2,93
4.2. 02:00:00;1,73
4.2. 03:00:00;2,62
4.2. 04:00:00;2,81
4.2. 05:00:00;2,89
4.2. 06:00:00;2,61
4.2. 07:00:00;2,19
4.2. 08:00:00;4,43
4.2. 09:00:00;2,96
4.2. 10:00:00;3,61
4.2. 11:00:00;2,3
4.2. 12:00:00;3,42
4.2. 13:00:00;1,69
4.2. 14:00:00;2,79
4.2. 15:00:00;3,94
4.2. 16:00:00;3,36
4.2. 17:00:00;4,04
4.2. 18:00:00;3,34
4.2. 19:00:00;3,9
4.2. 20:00:00;4,92
4.2. 21:00:00;2,46
4.2. 22:00:00;1,92
4.2. 23:00:00;3,13
5.2. 00:00:00;2,58
5.2. 01:00:00;1,72
5.2. 02:00:00;1,61
5.2. 03:00:00;2,55
5.2. 04:00:00;2,85
5.2. 05:00:00;1,72
5.2. 06:00:00;3,2
5.2. 07:00:00;4,77
5.2. 08:00:00;4,38
5.2. 09:00:00;4,13
5.2. 10:00:00;3
5.2. 11:00:00;3,12
5.2. 12:00:00;2,46
5.2. 13:00:00;2,65
5.2. 14:00:00;2,4
5.2. 15:00:00;3,97
5.2. 16:00:00;2,58
5.2. 17:00:00;3,85
5.2. 18:00:00;4,09
5.2. 19:00:00;4,88
5.2. 20:00:00;4,78
5.2. 21:00:00;3,18
5.2. 22:00:00;2,99
5.2. 23:00:00;2,32
6.2. 00:00:00;3,62
6.2. 01:00:00;2,58
6.2. 02:00:00;2,03
6.2. 03:00:00;3,38
6.2. 04:00:00;1,87
6.2. 05:00:00;2,74
6.2. 06:00:00;1,89
6.2. 07:00:00;3,53
6.2. 08:00:00;2,07
6.2. 09:00:00;2,96
6.2. 10:00:00;2,53
6.2. 11:00:00;3,3
6.2. 12:00:00;2,79
6.2. 13:00:00;5,76
6.2. 14:00:00;4,04
6.2. 15:00:00;5,18
6.2. 16:00:00;5,24
6.2. 17:00:00;4,88
6.2. 18:00:00;5,61
6.2. 19:00:00;6,2
6.2. 20:00:00;6,1
6.2. 21:00:00;5,91
6.2. 22:00:00;4,08
6.2. 23:00:00;3,43
7.2. 00:00:00;3,15
7.2. 01:00:00;2,56
7.2. 02:00:00;2,47
7.2. 03:00:00;2,98
7.2. 04:00:00;1,7
7.2. 05:00:00;2,7
7.2. 06:00:00;1,94
7.2. 07:00:00;3,19
7.2. 08:00:00;2,34
7.2. 09:00:00;2,96
7.2. 10:00:00;1,63
7.2. 11:00:00;2,63
7.2. 12:00:00;1,96
7.2. 13:00:00;2,37
7.2. 14:00:00;1,76
7.2. 15:00:00;4,01
7.2. 16:00:00;4,44
7.2. 17:00:00;3,61
7.2. 18:00:00;4,79
7.2. 19:00:00;4,69
7.2. 20:00:00;6,14
7.2. 21:00:00;4,52
7.2. 22:00:00;4,09
7.2. 23:00:00;3,04
8.2. 00:00:00;2,35
8.2. 01:00:00;3,46
8.2. 02:00:00;2,35
8.2. 03:00:00;2,26
8.2. 04:00:00;2,02
8.2. 05:00:00;3,33
8.2. 06:00:00;2,66
8.2. 07:00:00;2,45
8.2. 08:00:00;1,98
8.2. 09:00:00;3,16
8.2. 10:00:00;0,81
8.2. 11:00:00;2,34
8.2. 12:00:00;2,11
8.2. 13:00:00;2,9
8.2. 14:00:00;2,76
8.2. 15:00:00;3,24
8.2. 16:00:00;3,14
8.2. 17:00:00;4,53
8.2. 18:00:00;2,43
8.2. 19:00:00;4,08
8.2. 20:00:00;5,1
8.2. 21:00:00;5,56
8.2. 22:00:00;5,21
8.2. 23:00:00;2,93
9.2. 00:00:00;2,67
9.2. 01:00:00;1,73
9.2. 02:00:00;2,22
9.2. 03:00:00;2,52
9.2. 04:00:00;0,89
9.2. 05:00:00;2,88
9.2. 06:00:00;1,59
9.2. 07:00:00;2,68
9.2. 08:00:00;3,67
9.2. 09:00:00;0,74
9.2. 10:00:00;2,59
9.2. 11:00:00;1,27
9.2. 12:00:00;2,34
9.2. 13:00:00;3,51
9.2. 14:00:00;0,99
9.2. 15:00:00;2,82
9.2. 16:00:00;3,26
9.2. 17:00:00;1,87
9.2. 18:00:00;3,85
9.2. 19:00:00;3,57
9.2. 20:00:00;2,45
9.2. 21:00:00;4,14
9.2. 22:00:00;4,08
9.2. 23:00:00;1,78
10.2. 00:00:00;2,81
10.2. 01:00:00;1,8
10.2. 02:00:00;2,26
10.2. 03:00:00;1,67
10.2. 04:00:00;2,19
10.2. 05:00:00;2,39
10.2. 06:00:00;2,62
10.2. 07:00:00;1,34
10.2. 08:00:00;2,76
10.2. 09:00:00;3,56
10.2. 10:00:00;3,74
10.2. 11:00:00;3,41
10.2. 12:00:00;2,62
10.2. 13:00:00;3,34
10.2. 14:00:00;3,76
10.2. 15:00:00;3,79
10.2. 16:00:00;2,53
10.2. 17:00:00;4,96
10.2. 18:00:00;3,71
10.2. 19:00:00;6,05
10.2. 20:00:00;1,38
10.2. 21:00:00;3,44
10.2. 22:00:00;2,75
10.2. 23:00:00;1,51
11.2. 00:00:00;1,72
11.2. 01:00:00;1,57
11.2. 02:00:00;1,78
11.2. 03:00:00;1,38
11.2. 04:00:00;2,66
11.2. 05:00:00;1,34
11.2. 06:00:00;1,97
11.2. 07:00:00;1,87
11.2. 08:00:00;1,7
11.2. 09:00:00;2,43
11.2. 10:00:00;3,91
11.2. 11:00:00;4,29
11.2. 12:00:00;3,35
11.2. 13:00:00;3,43
11.2. 14:00:00;3,02
11.2. 15:00:00;2,6
11.2. 16:00:00;2,78
11.2. 17:00:00;4,68
11.2. 18:00:00;3,28
11.2. 19:00:00;5,7
11.2. 20:00:00;4,55
11.2. 21:00:00;2,24
11.2. 22:00:00;3,85
11.2. 23:00:00;2,32
12.2. 00:00:00;0,75
12.2. 01:00:00;3,36
12.2. 02:00:00;0,91
12.2. 03:00:00;1,88
12.2. 04:00:00;2,92
12.2. 05:00:00;0,54
12.2. 06:00:00;2,55
12.2. 07:00:00;2,38
12.2. 08:00:00;2,45
12.2. 09:00:00;2,3
12.2. 10:00:00;2,66
12.2. 11:00:00;2,42
12.2. 12:00:00;2,2
12.2. 13:00:00;1,22
12.2. 14:00:00;2,81
12.2. 15:00:00;1,32
12.2. 16:00:00;2,97
12.2. 17:00:00;5,34
12.2. 18:00:00;2,72
12.2. 19:00:00;4,95
12.2. 20:00:00;5,99
12.2. 21:00:00;1,66
12.2. 22:00:00;4,86
12.2. 23:00:00;1,36
13.2. 00:00:00;3,08
13.2. 01:00:00;1,19
13.2. 02:00:00;2,41
13.2. 03:00:00;2,73
13.2. 04:00:00;1,95
13.2. 05:00:00;0,94
