Time;Power
1.8. 00:00:00;0,69
1.8. 01:00:00;0,34
1.8. 02:00:00;0,32
1.8. 03:00:00;0,67
1.8. 04:00:00;0,33
1.8. 05:00:00;0,63
1.8. 06:00:00;1,39
1.8. 07:00:00;0,54
1.8. 08:00:00;0,81
1.8. 09:00:00;1,01
1.8. 10:00:00;0,65
1.8. 11:00:00;0,63
1.8. 12:00:00;0,32
1.8. 13:00:00;0,68
1.8. 14:00:00;0,32
1.8. 15:00:00;0,33
1.8. 16:00:00;0,65
1.8. 17:00:00;0,33
1.8. 18:00:00;1,6
1.8. 19:00:00;1,32
1.8. 20:00:00;1,3
1.8. 21:00:00;2,89
1.8. 22:00:00;0,78
1.8. 23:00:00;0,81
2.8. 00:00:00;0,37
2.8. 01:00:00;0,34
2.8. 02:00:00;0,7
2.8. 03:00:00;0,38
2.8. 04:00:00;0,71
2.8. 05:00:00;0,36
2.8. 06:00:00;0,33
2.8. 07:00:00;0,71
2.8. 08:00:00;0,58
2.8. 09:00:00;0,77
2.8. 10:00:00;2,07
2.8. 11:00:00;2,99
2.8. 12:00:00;2,28
2.8. 13:00:00;0,82
2.8. 14:00:00;0,71
2.8. 15:00:00;1,05
2.8. 16:00:00;0,74
2.8. 17:00:00;1,08
2.8. 18:00:00;1,27
2.8. 19:00:00;2,78
2.8. 20:00:00;1,03
2.8. 21:00:00;2
2.8. 22:00:00;1,07
2.8. 23:00:00;0,73
3.8. 00:00:00;0,37
3.8. 01:00:00;0,4
3.8. 02:00:00;0,63
3.8. 03:00:00;0,33
3.8. 04:00:00;0,68
3.8. 05:00:00;0,34
3.8. 06:00:00;0,55
3.8. 07:00:00;0,84
3.8. 08:00:00;0,36
3.8. 09:00:00;0,77
3.8. 10:00:00;0,37
3.8. 11:00:00;1,03
3.8. 12:00:00;0,46
3.8. 13:00:00;0,46
3.8. 14:00:00;0,59
3.8. 15:00:00;0,62
3.8. 16:00:00;0,5
3.8. 17:00:00;0,41
3.8. 18:00:00;0,71
3.8. 19:00:00;0,82
3.8. 20:00:00;2,74
3.8. 21:00:00;0,95
3.8. 22:00:00;0,37
3.8. 23:00:00;0,35
4.8. 00:00:00;0,7
4.8. 01:00:00;0,34
4.8. 02:00:00;0,68
4.8. 03:00:00;0,33
4.8. 04:00:00;0,31
4.8. 05:00:00;0,67
4.8. 06:00:00;1,6
4.8. 07:00:00;0,84
4.8. 08:00:00;1,86
