Time;Power
1.5. 00:00:00;2,18
1.5. 01:00:00;2,08
1.5. 02:00:00;3,32
1.5. 03:00:00;2,82
1.5. 04:00:00;3,29
1.5. 05:00:00;2,19
1.5. 06:00:00;2,47
1.5. 07:00:00;2,7
1.5. 08:00:00;2,4
1.5. 09:00:00;2,06
1.5. 10:00:00;1,89
1.5. 11:00:00;3,09
1.5. 12:00:00;1,04
1.5. 13:00:00;2,29
1.5. 14:00:00;0,34
1.5. 15:00:00;0,68
1.5. 16:00:00;0,34
1.5. 17:00:00;3,96
1.5. 18:00:00;1,22
1.5. 19:00:00;0,81
1.5. 20:00:00;1,93
1.5. 21:00:00;1,02
1.5. 22:00:00;2,04
1.5. 23:00:00;1,18
2.5. 00:00:00;1,96
2.5. 01:00:00;1,46
2.5. 02:00:00;0,99
2.5. 03:00:00;1,89
2.5. 04:00:00;0,66
2.5. 05:00:00;1,67
2.5. 06:00:00;2,27
2.5. 07:00:00;2,02
2.5. 08:00:00;0,96
2.5. 09:00:00;1,98
2.5. 10:00:00;0,87
2.5. 11:00:00;1,84
2.5. 12:00:00;0,66
2.5. 13:00:00;0,66
2.5. 14:00:00;0,43
2.5. 15:00:00;1
2.5. 16:00:00;0,88
2.5. 17:00:00;0,73
2.5. 18:00:00;1,75
2.5. 19:00:00;0,74
2.5. 20:00:00;0,53
2.5. 21:00:00;2,76
2.5. 22:00:00;2,21
2.5. 23:00:00;1,14
3.5. 00:00:00;1,92
3.5. 01:00:00;0,36
3.5. 02:00:00;1,66
3.5. 03:00:00;0,88
3.5. 04:00:00;2,08
3.5. 05:00:00;0,33
3.5. 06:00:00;2,15
3.5. 07:00:00;0,69
3.5. 08:00:00;2,16
3.5. 09:00:00;0,47
3.5. 10:00:00;1,85
3.5. 11:00:00;0,84
3.5. 12:00:00;0,67
3.5. 13:00:00;2,01
3.5. 14:00:00;0,4
3.5. 15:00:00;0,77
3.5. 16:00:00;0,35
3.5. 17:00:00;0,36
3.5. 18:00:00;0,69
3.5. 19:00:00;2,93
3.5. 20:00:00;1,03
3.5. 21:00:00;1,08
3.5. 22:00:00;2,04
3.5. 23:00:00;0,84
4.5. 00:00:00;1,84
4.5. 01:00:00;0,36
4.5. 02:00:00;2,15
4.5. 03:00:00;0,36
4.5. 04:00:00;2,02
4.5. 05:00:00;0,54
4.5. 06:00:00;2,1
4.5. 07:00:00;0,54
4.5. 08:00:00;2,22
4.5. 09:00:00;0,34
4.5. 10:00:00;1,69
4.5. 11:00:00;0,61
4.5. 12:00:00;0,34
4.5. 13:00:00;2,04
4.5. 14:00:00;0,41
4.5. 15:00:00;0,81
4.5. 16:00:00;0,36
4.5. 17:00:00;0,38
4.5. 18:00:00;0,72
4.5. 19:00:00;0,32
4.5. 20:00:00;1,91
4.5. 21:00:00;1,09
4.5. 22:00:00;2,58
4.5. 23:00:00;3,43
5.5. 00:00:00;0,36
5.5. 01:00:00;2,21
5.5. 02:00:00;0,36
5.5. 03:00:00;0,96
5.5. 04:00:00;1,5
5.5. 05:00:00;0,34
5.5. 06:00:00;2,27
5.5. 07:00:00;0,57
5.5. 08:00:00;2,49
5.5. 09:00:00;0,51
5.5. 10:00:00;1,21
5.5. 11:00:00;1,31
5.5. 12:00:00;1,84
5.5. 13:00:00;0,93
5.5. 14:00:00;0,47
5.5. 15:00:00;4,2
5.5. 16:00:00;2,59
5.5. 17:00:00;0,43
5.5. 18:00:00;0,78
5.5. 19:00:00;0,51
5.5. 20:00:00;1,29
5.5. 21:00:00;1,26
5.5. 22:00:00;2,81
5.5. 23:00:00;0,39
6.5. 00:00:00;0,75
