Time;Power
1.7. 00:00:00;0,7
1.7. 01:00:00;0,39
1.7. 02:00:00;0,71
1.7. 03:00:00;0,36
1.7. 04:00:00;0,36
1.7. 05:00:00;0,69
1.7. 06:00:00;0,33
1.7. 07:00:00;0,79
1.7. 08:00:00;0,54
1.7. 09:00:00;1,85
1.7. 10:00:00;0,35
1.7. 11:00:00;0,69
1.7. 12:00:00;0,34
1.7. 13:00:00;0,35
1.7. 14:00:00;0,69
1.7. 15:00:00;0,34
1.7. 16:00:00;0,6
1.7. 17:00:00;0,42
1.7. 18:00:00;0,47
1.7. 19:00:00;0,82
1.7. 20:00:00;1,27
1.7. 21:00:00;1,92
1.7. 22:00:00;0,96
1.7. 23:00:00;0,39
2.7. 00:00:00;0,7
2.7. 01:00:00;0,65
2.7. 02:00:00;1,16
2.7. 03:00:00;0,72
2.7. 04:00:00;0,37
2.7. 05:00:00;0,72
2.7. 06:00:00;0,35
2.7. 07:00:00;0,36
2.7. 08:00:00;0,78
2.7. 09:00:00;1,71
2.7. 10:00:00;1,14
2.7. 11:00:00;1,16
2.7. 12:00:00;3
2.7. 13:00:00;1,37
2.7. 14:00:00;1,09
2.7. 15:00:00;0,76
2.7. 16:00:00;0,93
2.7. 17:00:00;0,83
2.7. 18:00:00;0,4
2.7. 19:00:00;1,03
2.7. 20:00:00;0,43
2.7. 21:00:00;1,12
2.7. 22:00:00;1,83
2.7. 23:00:00;1,13
3.7. 00:00:00;0,5
3.7. 01:00:00;0,7
3.7. 02:00:00;0,35
3.7. 03:00:00;0,35
3.7. 04:00:00;0,68
3.7. 05:00:00;0,36
3.7. 06:00:00;0,35
3.7. 07:00:00;0,68
3.7. 08:00:00;0,49
3.7. 09:00:00;0,92
3.7. 10:00:00;1,61
3.7. 11:00:00;1,15
3.7. 12:00:00;1,04
3.7. 13:00:00;0,43
3.7. 14:00:00;0,78
3.7. 15:00:00;1,39
3.7. 16:00:00;0,81
3.7. 17:00:00;0,62
3.7. 18:00:00;0,96
3.7. 19:00:00;0,62
3.7. 20:00:00;0,76
3.7. 21:00:00;2,7
3.7. 22:00:00;1,17
3.7. 23:00:00;0,55
4.7. 00:00:00;0,74
4.7. 01:00:00;0,37
4.7. 02:00:00;0,71
4.7. 03:00:00;0,37
4.7. 04:00:00;0,36
4.7. 05:00:00;0,71
4.7. 06:00:00;0,36
