Time;Power
1.5. 00:00:00;2,13
1.5. 01:00:00;1,09
1.5. 02:00:00;1,72
1.5. 03:00:00;2,56
1.5. 04:00:00;2,37
1.5. 05:00:00;2,06
1.5. 06:00:00;2,01
1.5. 07:00:00;1,67
1.5. 08:00:00;2,69
1.5. 09:00:00;3,48
1.5. 10:00:00;4,94
1.5. 11:00:00;2,49
1.5. 12:00:00;3,02
1.5. 13:00:00;2,89
1.5. 14:00:00;2,8
1.5. 15:00:00;3,02
1.5. 16:00:00;2,73
1.5. 17:00:00;2,04
1.5. 18:00:00;2,82
1.5. 19:00:00;2,76
1.5. 20:00:00;3,49
1.5. 21:00:00;3,11
1.5. 22:00:00;0,96
1.5. 23:00:00;2,44
2.5. 00:00:00;1,97
2.5. 01:00:00;2,65
2.5. 02:00:00;1,48
2.5. 03:00:00;1,66
2.5. 04:00:00;2,38
2.5. 05:00:00;2,66
2.5. 06:00:00;2,74
2.5. 07:00:00;1,35
2.5. 08:00:00;2,11
2.5. 09:00:00;2,53
2.5. 10:00:00;2,72
2.5. 11:00:00;1,78
2.5. 12:00:00;2,22
2.5. 13:00:00;1,29
2.5. 14:00:00;2,1
2.5. 15:00:00;1,66
2.5. 16:00:00;2,34
2.5. 17:00:00;2,18
2.5. 18:00:00;3,15
2.5. 19:00:00;1,89
2.5. 20:00:00;3,18
2.5. 21:00:00;2,66
2.5. 22:00:00;1,22
2.5. 23:00:00;2,83
3.5. 00:00:00;0,57
3.5. 01:00:00;2,22
3.5. 02:00:00;1,72
3.5. 03:00:00;1,52
3.5. 04:00:00;3,1
3.5. 05:00:00;1,99
3.5. 06:00:00;2,82
3.5. 07:00:00;3,28
3.5. 08:00:00;2,99
3.5. 09:00:00;1,68
3.5. 10:00:00;2,03
3.5. 11:00:00;4,03
3.5. 12:00:00;0,68
3.5. 13:00:00;0,9
3.5. 14:00:00;0,56
3.5. 15:00:00;3,26
3.5. 16:00:00;1,3
3.5. 17:00:00;2,22
3.5. 18:00:00;0,37
3.5. 19:00:00;3,23
3.5. 20:00:00;3,81
3.5. 21:00:00;0,74
3.5. 22:00:00;2,84
3.5. 23:00:00;2,12
4.5. 00:00:00;2,25
4.5. 01:00:00;0,51
4.5. 02:00:00;2,29
4.5. 03:00:00;2,19
4.5. 04:00:00;2,05
4.5. 05:00:00;2,16
4.5. 06:00:00;0,89
4.5. 07:00:00;3,46
4.5. 08:00:00;3,37
