Time;Power
1.10. 00:00:00;2,61
1.10. 01:00:00;2,56
1.10. 02:00:00;3,12
1.10. 03:00:00;2,54
1.10. 04:00:00;2,97
1.10. 05:00:00;2,59
1.10. 06:00:00;2,84
1.10. 07:00:00;2,49
1.10. 08:00:00;2,87
1.10. 09:00:00;2,42
1.10. 10:00:00;2,83
1.10. 11:00:00;2,24
1.10. 12:00:00;0,9
1.10. 13:00:00;2,01
1.10. 14:00:00;2,28
1.10. 15:00:00;2,19
1.10. 16:00:00;0,65
1.10. 17:00:00;2,86
1.10. 18:00:00;0,51
1.10. 19:00:00;2,53
1.10. 20:00:00;3,69
1.10. 21:00:00;0,98
1.10. 22:00:00;1,39
1.10. 23:00:00;1,8
2.10. 00:00:00;0,53
2.10. 01:00:00;0,6
2.10. 02:00:00;1,84
2.10. 03:00:00;0,73
2.10. 04:00:00;0,32
2.10. 05:00:00;2,16
2.10. 06:00:00;0,51
2.10. 07:00:00;1,13
2.10. 08:00:00;1,76
2.10. 09:00:00;0,32
2.10. 10:00:00;0,71
2.10. 11:00:00;1,76
2.10. 12:00:00;0,74
2.10. 13:00:00;1,48
2.10. 14:00:00;2,41
2.10. 15:00:00;0,91
2.10. 16:00:00;0,59
2.10. 17:00:00;2,1
2.10. 18:00:00;0,38
2.10. 19:00:00;1,16
2.10. 20:00:00;3,08
2.10. 21:00:00;0,74
2.10. 22:00:00;0,86
2.10. 23:00:00;1,87
3.10. 00:00:00;0,73
3.10. 01:00:00;0,34
3.10. 02:00:00;2,23
3.10. 03:00:00;0,55
3.10. 04:00:00;0,33
3.10. 05:00:00;2,19
3.10. 06:00:00;0,51
3.10. 07:00:00;2,76
3.10. 08:00:00;0,35
3.10. 09:00:00;2,34
3.10. 10:00:00;0,32
3.10. 11:00:00;2,39
3.10. 12:00:00;0,42
3.10. 13:00:00;2,63
3.10. 14:00:00;2,5
3.10. 15:00:00;1,4
3.10. 16:00:00;2,39
3.10. 17:00:00;2,4
3.10. 18:00:00;2,65
3.10. 19:00:00;1,9
3.10. 20:00:00;3,32
3.10. 21:00:00;2,86
3.10. 22:00:00;0,36
3.10. 23:00:00;0,71
4.10. 00:00:00;1,85
4.10. 01:00:00;0,7
4.10. 02:00:00;1,83
4.10. 03:00:00;0,71
4.10. 04:00:00;0,34
4.10. 05:00:00;1,83
4.10. 06:00:00;0,81
4.10. 07:00:00;1,29
4.10. 08:00:00;1,89
4.10. 09:00:00;0,6
4.10. 10:00:00;0,45
4.10. 11:00:00;0,32
4.10. 12:00:00;1,51
4.10. 13:00:00;0,97
4.10. 14:00:00;0,73
4.10. 15:00:00;0,84
4.10. 16:00:00;1,89
4.10. 17:00:00;0,48
4.10. 18:00:00;0,62
4.10. 19:00:00;2
4.10. 20:00:00;1,17
4.10. 21:00:00;3,42
4.10. 22:00:00;1,92
4.10. 23:00:00;1,16
5.10. 00:00:00;1,28
5.10. 01:00:00;0,63
5.10. 02:00:00;1,95
5.10. 03:00:00;0,42
