Time;Power
1.12. 00:00:00;2,68
1.12. 01:00:00;3
1.12. 02:00:00;3,3
1.12. 03:00:00;2,18
1.12. 04:00:00;3,14
1.12. 05:00:00;3,17
1.12. 06:00:00;3,43
1.12. 07:00:00;4,33
1.12. 08:00:00;3,97
1.12. 09:00:00;2,77
1.12. 10:00:00;4,9
1.12. 11:00:00;3,23
1.12. 12:00:00;3,09
1.12. 13:00:00;3,18
1.12. 14:00:00;2,96
1.12. 15:00:00;4,76
1.12. 16:00:00;4,84
1.12. 17:00:00;2,24
1.12. 18:00:00;3,02
1.12. 19:00:00;3,54
1.12. 20:00:00;4,25
1.12. 21:00:00;7,44
1.12. 22:00:00;4,55
1.12. 23:00:00;3,85
2.12. 00:00:00;3,11
2.12. 01:00:00;3,58
2.12. 02:00:00;3,64
2.12. 03:00:00;3,35
2.12. 04:00:00;1,84
2.12. 05:00:00;4,12
2.12. 06:00:00;3,32
2.12. 07:00:00;2,65
2.12. 08:00:00;5,85
2.12. 09:00:00;4,26
2.12. 10:00:00;3,85
2.12. 11:00:00;3,91
2.12. 12:00:00;2,64
2.12. 13:00:00;3,21
2.12. 14:00:00;2,93
2.12. 15:00:00;2,78
2.12. 16:00:00;3,79
2.12. 17:00:00;3,94
2.12. 18:00:00;4,89
2.12. 19:00:00;4,26
2.12. 20:00:00;3,91
2.12. 21:00:00;4,37
2.12. 22:00:00;5,96
2.12. 23:00:00;4,09
3.12. 00:00:00;3,71
3.12. 01:00:00;4,89
3.12. 02:00:00;2,72
3.12. 03:00:00;3,52
3.12. 04:00:00;3,84
3.12. 05:00:00;2,5
3.12. 06:00:00;4,49
3.12. 07:00:00;2,95
3.12. 08:00:00;4,84
3.12. 09:00:00;4,75
3.12. 10:00:00;6,07
3.12. 11:00:00;4,33
3.12. 12:00:00;4,32
3.12. 13:00:00;3,44
3.12. 14:00:00;3,09
3.12. 15:00:00;3,91
3.12. 16:00:00;3,74
3.12. 17:00:00;2,78
3.12. 18:00:00;3,49
3.12. 19:00:00;4,66
3.12. 20:00:00;4,3
3.12. 21:00:00;3
3.12. 22:00:00;4,32
3.12. 23:00:00;1,88
4.12. 00:00:00;2,61
4.12. 01:00:00;3,1
4.12. 02:00:00;1,84
4.12. 03:00:00;2,29
4.12. 04:00:00;2,53
4.12. 05:00:00;4,19
4.12. 06:00:00;2,89
4.12. 07:00:00;4,29
4.12. 08:00:00;4,22
4.12. 09:00:00;3,3
4.12. 10:00:00;4,79
4.12. 11:00:00;4,31
4.12. 12:00:00;4,74
4.12. 13:00:00;3,94
4.12. 14:00:00;3,88
4.12. 15:00:00;4,05
4.12. 16:00:00;5,36
4.12. 17:00:00;3,29
4.12. 18:00:00;4,53
4.12. 19:00:00;5,03
4.12. 20:00:00;6,12
4.12. 21:00:00;6,12
4.12. 22:00:00;3,63
4.12. 23:00:00;4,07
5.12. 00:00:00;3,89
5.12. 01:00:00;3,7
5.12. 02:00:00;4,15
5.12. 03:00:00;3,33
5.12. 04:00:00;3,01
5.12. 05:00:00;4,06
5.12. 06:00:00;3,61
5.12. 07:00:00;3,46
5.12. 08:00:00;5,88
5.12. 09:00:00;4,26
5.12. 10:00:00;7,25
5.12. 11:00:00;3,76
5.12. 12:00:00;5,18
5.12. 13:00:00;3,75
5.12. 14:00:00;6
5.12. 15:00:00;5,07
5.12. 16:00:00;4,3
5.12. 17:00:00;7,24
5.12. 18:00:00;6
5.12. 19:00:00;4,51
5.12. 20:00:00;5,59
5.12. 21:00:00;4,03
5.12. 22:00:00;5,04
5.12. 23:00:00;5,2
6.12. 00:00:00;3,12
6.12. 01:00:00;4,95
6.12. 02:00:00;3,05
6.12. 03:00:00;3,81
6.12. 04:00:00;3,54
6.12. 05:00:00;4,12
6.12. 06:00:00;3,18
6.12. 07:00:00;5,21
6.12. 08:00:00;3,43
6.12. 09:00:00;4,91
6.12. 10:00:00;5,3
6.12. 11:00:00;5,73
6.12. 12:00:00;3,63
6.12. 13:00:00;4,42
6.12. 14:00:00;3,81
6.12. 15:00:00;4,08
6.12. 16:00:00;2,99
6.12. 17:00:00;3,02
6.12. 18:00:00;4,46
6.12. 19:00:00;5,98
6.12. 20:00:00;4,38
6.12. 21:00:00;4,53
6.12. 22:00:00;4,4
6.12. 23:00:00;3,58
7.12. 00:00:00;3,32
7.12. 01:00:00;4,52
7.12. 02:00:00;3,33
7.12. 03:00:00;5,06
7.12. 04:00:00;2,96
7.12. 05:00:00;3,18
7.12. 06:00:00;4,25
7.12. 07:00:00;3,89
7.12. 08:00:00;6,42
7.12. 09:00:00;4,62
7.12. 10:00:00;4,15
7.12. 11:00:00;4,55
7.12. 12:00:00;3,41
7.12. 13:00:00;5,4
7.12. 14:00:00;4,18
7.12. 15:00:00;4,88
7.12. 16:00:00;5
7.12. 17:00:00;4,46
7.12. 18:00:00;3,7
7.12. 19:00:00;4,27
7.12. 20:00:00;7,33
7.12. 21:00:00;5,94
7.12. 22:00:00;3,44
7.12. 23:00:00;4,27
8.12. 00:00:00;4,05
8.12. 01:00:00;3,43
8.12. 02:00:00;4,69
8.12. 03:00:00;3,15
8.12. 04:00:00;3,52
8.12. 05:00:00;3,76
8.12. 06:00:00;4,3
8.12. 07:00:00;5,05
8.12. 08:00:00;5,51
8.12. 09:00:00;4,14
8.12. 10:00:00;4,95
8.12. 11:00:00;4,46
8.12. 12:00:00;3,93
8.12. 13:00:00;4,84
8.12. 14:00:00;5,48
8.12. 15:00:00;5,07
8.12. 16:00:00;4,66
8.12. 17:00:00;4,06
8.12. 18:00:00;6,05
8.12. 19:00:00;4,62
8.12. 20:00:00;7,99
8.12. 21:00:00;4,6
8.12. 22:00:00;3,64
8.12. 23:00:00;4,36
9.12. 00:00:00;3,26
9.12. 01:00:00;3,63
9.12. 02:00:00;4,27
9.12. 03:00:00;3,16
9.12. 04:00:00;5,05
9.12. 05:00:00;3,14
9.12. 06:00:00;4,73
9.12. 07:00:00;4,95
9.12. 08:00:00;4,37
9.12. 09:00:00;3,22
9.12. 10:00:00;4,82
9.12. 11:00:00;3,61
9.12. 12:00:00;4,75
9.12. 13:00:00;4,37
9.12. 14:00:00;2,76
9.12. 15:00:00;4,63
9.12. 16:00:00;4,62
9.12. 17:00:00;3,38
9.12. 18:00:00;5,56
9.12. 19:00:00;2,56
9.12. 20:00:00;7,58
9.12. 21:00:00;3,82
9.12. 22:00:00;4,12
9.12. 23:00:00;5,63
10.12. 00:00:00;2,38
10.12. 01:00:00;4,19
10.12. 02:00:00;2,35
10.12. 03:00:00;2,79
10.12. 04:00:00;1,99
10.12. 05:00:00;3,14
10.12. 06:00:00;3,91
10.12. 07:00:00;2,6
10.12. 08:00:00;4,8
10.12. 09:00:00;2,64
10.12. 10:00:00;3,63
10.12. 11:00:00;3,89
10.12. 12:00:00;2,46
10.12. 13:00:00;4,64
10.12. 14:00:00;3,96
10.12. 15:00:00;4,08
10.12. 16:00:00;4,31
10.12. 17:00:00;3,1
10.12. 18:00:00;1,73
10.12. 19:00:00;3,44
10.12. 20:00:00;2,25
10.12. 21:00:00;2,35
10.12. 22:00:00;3,39
10.12. 23:00:00;1,91
11.12. 00:00:00;2,96
11.12. 01:00:00;2,77
11.12. 02:00:00;1,95
11.12. 03:00:00;3,07
11.12. 04:00:00;2,86
11.12. 05:00:00;2,88
11.12. 06:00:00;3,88
11.12. 07:00:00;3,03
11.12. 08:00:00;3,81
11.12. 09:00:00;4,12
11.12. 10:00:00;1,1
11.12. 11:00:00;2,91
11.12. 12:00:00;3,53
11.12. 13:00:00;2,52
11.12. 14:00:00;2,87
11.12. 15:00:00;3,23
11.12. 16:00:00;3,22
11.12. 17:00:00;2,91
11.12. 18:00:00;2,49
11.12. 19:00:00;4,01
11.12. 20:00:00;3,03
11.12. 21:00:00;2,91
11.12. 22:00:00;2,64
11.12. 23:00:00;3,83
12.12. 00:00:00;3,19
12.12. 01:00:00;2,72
12.12. 02:00:00;2,88
12.12. 03:00:00;3,72
12.12. 04:00:00;3,09
12.12. 05:00:00;2,46
12.12. 06:00:00;2,63
12.12. 07:00:00;3,74
