Time;Power
1.12. 00:00:00;2,94
1.12. 01:00:00;0,46
1.12. 02:00:00;2,35
1.12. 03:00:00;1,56
1.12. 04:00:00;1,97
1.12. 05:00:00;0,46
1.12. 06:00:00;2,46
1.12. 07:00:00;0,84
1.12. 08:00:00;3,17
1.12. 09:00:00;3,38
1.12. 10:00:00;1,33
1.12. 11:00:00;2,81
1.12. 12:00:00;2,55
1.12. 13:00:00;1,11
1.12. 14:00:00;1,34
1.12. 15:00:00;1,2
1.12. 16:00:00;3,83
1.12. 17:00:00;1,78
1.12. 18:00:00;4,26
1.12. 19:00:00;4,6
1.12. 20:00:00;4,06
1.12. 21:00:00;3,4
1.12. 22:00:00;4,04
1.12. 23:00:00;2,93
2.12. 00:00:00;1,92
2.12. 01:00:00;1,49
2.12. 02:00:00;2,18
2.12. 03:00:00;2,51
2.12. 04:00:00;2,01
2.12. 05:00:00;1,24
2.12. 06:00:00;2,5
2.12. 07:00:00;2,4
2.12. 08:00:00;2,7
2.12. 09:00:00;1,96
2.12. 10:00:00;2,49
2.12. 11:00:00;2,65
2.12. 12:00:00;3,28
2.12. 13:00:00;2,44
2.12. 14:00:00;2,3
2.12. 15:00:00;3,77
2.12. 16:00:00;2,43
2.12. 17:00:00;3,17
2.12. 18:00:00;4,07
2.12. 19:00:00;3,95
2.12. 20:00:00;5,24
2.12. 21:00:00;2,33
2.12. 22:00:00;2,47
2.12. 23:00:00;1,88
3.12. 00:00:00;1,74
3.12. 01:00:00;1,82
3.12. 02:00:00;1,16
3.12. 03:00:00;2,66
3.12. 04:00:00;1,24
3.12. 05:00:00;2,37
3.12. 06:00:00;1,83
3.12. 07:00:00;2,43
3.12. 08:00:00;3,77
3.12. 09:00:00;4,02
3.12. 10:00:00;2,06
3.12. 11:00:00;3,91
3.12. 12:00:00;2,73
3.12. 13:00:00;2,21
3.12. 14:00:00;1,8
3.12. 15:00:00;3,57
3.12. 16:00:00;3,49
3.12. 17:00:00;1,5
3.12. 18:00:00;3,48
3.12. 19:00:00;3,54
3.12. 20:00:00;3,02
3.12. 21:00:00;2,89
3.12. 22:00:00;2,07
3.12. 23:00:00;2,25
4.12. 00:00:00;1,86
4.12. 01:00:00;1,74
4.12. 02:00:00;1,57
4.12. 03:00:00;1,84
4.12. 04:00:00;2,51
4.12. 05:00:00;2,7
4.12. 06:00:00;2,72
4.12. 07:00:00;3,56
4.12. 08:00:00;2,33
4.12. 09:00:00;3,62
4.12. 10:00:00;2,23
4.12. 11:00:00;1,93
4.12. 12:00:00;3,7
4.12. 13:00:00;4,24
4.12. 14:00:00;3,65
4.12. 15:00:00;2,87
4.12. 16:00:00;5,64
4.12. 17:00:00;5,84
4.12. 18:00:00;3,85
4.12. 19:00:00;4,62
4.12. 20:00:00;3,77
4.12. 21:00:00;5,87
4.12. 22:00:00;2,21
4.12. 23:00:00;3,04
5.12. 00:00:00;1,74
5.12. 01:00:00;0,4
5.12. 02:00:00;2,63
5.12. 03:00:00;1,09
5.12. 04:00:00;1,72
5.12. 05:00:00;2,77
5.12. 06:00:00;1,02
