Time;Power
1.3. 00:00:00;3,1
1.3. 01:00:00;3,41
1.3. 02:00:00;2,84
1.3. 03:00:00;3,78
1.3. 04:00:00;1,96
1.3. 05:00:00;3,27
1.3. 06:00:00;3,74
1.3. 07:00:00;2,96
1.3. 08:00:00;5,85
1.3. 09:00:00;5,45
1.3. 10:00:00;6,15
1.3. 11:00:00;3,84
1.3. 12:00:00;3,89
1.3. 13:00:00;5,16
1.3. 14:00:00;4,61
1.3. 15:00:00;4,12
1.3. 16:00:00;4,6
1.3. 17:00:00;3,59
1.3. 18:00:00;3,76
1.3. 19:00:00;5,48
1.3. 20:00:00;6,43
1.3. 21:00:00;2,96
1.3. 22:00:00;4,96
1.3. 23:00:00;2,71
2.3. 00:00:00;2,03
2.3. 01:00:00;2,49
2.3. 02:00:00;2,84
2.3. 03:00:00;2,46
2.3. 04:00:00;2,05
2.3. 05:00:00;2,45
2.3. 06:00:00;2,72
2.3. 07:00:00;2,56
2.3. 08:00:00;2,45
2.3. 09:00:00;3,45
2.3. 10:00:00;3,15
2.3. 11:00:00;2,37
2.3. 12:00:00;1,96
2.3. 13:00:00;3,28
2.3. 14:00:00;4,4
2.3. 15:00:00;3,27
2.3. 16:00:00;4,83
2.3. 17:00:00;3,27
2.3. 18:00:00;2,09
2.3. 19:00:00;3,72
2.3. 20:00:00;4,97
2.3. 21:00:00;4,54
2.3. 22:00:00;4,59
2.3. 23:00:00;4,65
3.3. 00:00:00;2,07
3.3. 01:00:00;2,88
3.3. 02:00:00;1,79
3.3. 03:00:00;3,77
3.3. 04:00:00;2,65
3.3. 05:00:00;2,45
3.3. 06:00:00;2,85
3.3. 07:00:00;3,97
3.3. 08:00:00;4,3
3.3. 09:00:00;3,18
3.3. 10:00:00;6,14
3.3. 11:00:00;1,67
3.3. 12:00:00;3,34
3.3. 13:00:00;2,75
3.3. 14:00:00;2,92
3.3. 15:00:00;2,16
3.3. 16:00:00;3,61
3.3. 17:00:00;4,71
3.3. 18:00:00;7,87
3.3. 19:00:00;8,7
3.3. 20:00:00;5,1
3.3. 21:00:00;3,66
3.3. 22:00:00;2,54
3.3. 23:00:00;2,79
4.3. 00:00:00;4,36
4.3. 01:00:00;3,35
4.3. 02:00:00;1,45
4.3. 03:00:00;3,23
4.3. 04:00:00;2,93
4.3. 05:00:00;2,7
4.3. 06:00:00;2,81
4.3. 07:00:00;3,14
4.3. 08:00:00;3,78
4.3. 09:00:00;3,44
4.3. 10:00:00;3,13
4.3. 11:00:00;3,22
4.3. 12:00:00;2,58
4.3. 13:00:00;2,1
4.3. 14:00:00;1,95
4.3. 15:00:00;1,8
4.3. 16:00:00;2,46
4.3. 17:00:00;4,85
4.3. 18:00:00;2,05
4.3. 19:00:00;3,77
4.3. 20:00:00;3,4
4.3. 21:00:00;4,65
4.3. 22:00:00;3,27
4.3. 23:00:00;2,7
5.3. 00:00:00;3,11
5.3. 01:00:00;2,75
5.3. 02:00:00;2,34
5.3. 03:00:00;2,54
5.3. 04:00:00;1,71
5.3. 05:00:00;3,19
5.3. 06:00:00;2,94
5.3. 07:00:00;2,69
5.3. 08:00:00;2,11
5.3. 09:00:00;2,66
5.3. 10:00:00;2,69
5.3. 11:00:00;2,41
5.3. 12:00:00;0,91
5.3. 13:00:00;3,26
5.3. 14:00:00;2,46
5.3. 15:00:00;2,98
5.3. 16:00:00;3,15
5.3. 17:00:00;6,11
5.3. 18:00:00;4,62
5.3. 19:00:00;3,69
5.3. 20:00:00;8,38
5.3. 21:00:00;4,33
5.3. 22:00:00;4,44
5.3. 23:00:00;2,53
6.3. 00:00:00;2,79
6.3. 01:00:00;3,48
6.3. 02:00:00;3,57
6.3. 03:00:00;2,47
6.3. 04:00:00;2,62
6.3. 05:00:00;2,48
6.3. 06:00:00;3,82
6.3. 07:00:00;3,72
6.3. 08:00:00;3,7
6.3. 09:00:00;2,67
6.3. 10:00:00;2,66
6.3. 11:00:00;4,13
6.3. 12:00:00;2,21
6.3. 13:00:00;3,17
6.3. 14:00:00;2,02
6.3. 15:00:00;3,99
6.3. 16:00:00;3,9
6.3. 17:00:00;4,79
6.3. 18:00:00;2,98
6.3. 19:00:00;3,58
6.3. 20:00:00;4,58
6.3. 21:00:00;6,16
6.3. 22:00:00;4,99
6.3. 23:00:00;3,38
7.3. 00:00:00;4,73
7.3. 01:00:00;2,73
7.3. 02:00:00;4,64
7.3. 03:00:00;4,42
7.3. 04:00:00;4,73
7.3. 05:00:00;3,77
7.3. 06:00:00;5,25
7.3. 07:00:00;5,89
7.3. 08:00:00;4,3
7.3. 09:00:00;5,15
7.3. 10:00:00;3,83
7.3. 11:00:00;2,35
7.3. 12:00:00;2,27
7.3. 13:00:00;3,65
7.3. 14:00:00;2,36
7.3. 15:00:00;4,26
7.3. 16:00:00;2,18
7.3. 17:00:00;3,14
7.3. 18:00:00;2,81
7.3. 19:00:00;4,07
7.3. 20:00:00;3,65
7.3. 21:00:00;3,85
7.3. 22:00:00;2,84
7.3. 23:00:00;1,65
8.3. 00:00:00;2,83
8.3. 01:00:00;2,5
8.3. 02:00:00;3,94
8.3. 03:00:00;1,59
8.3. 04:00:00;5,1
8.3. 05:00:00;2,42
8.3. 06:00:00;4,93
8.3. 07:00:00;2,24
8.3. 08:00:00;4,6
8.3. 09:00:00;3,9
8.3. 10:00:00;3,61
8.3. 11:00:00;3,69
8.3. 12:00:00;4,64
8.3. 13:00:00;4,2
8.3. 14:00:00;4,68
8.3. 15:00:00;3,78
8.3. 16:00:00;5,92
8.3. 17:00:00;3,74
8.3. 18:00:00;5,23
8.3. 19:00:00;5,16
8.3. 20:00:00;5,78
8.3. 21:00:00;4,03
8.3. 22:00:00;5,16
8.3. 23:00:00;2,16
9.3. 00:00:00;3,9
9.3. 01:00:00;2,73
9.3. 02:00:00;2,94
9.3. 03:00:00;1,77
9.3. 04:00:00;2,71
