Time;Power
1.4. 00:00:00;0,43
1.4. 01:00:00;2,18
1.4. 02:00:00;1,61
1.4. 03:00:00;1,79
1.4. 04:00:00;1,73
1.4. 05:00:00;1,6
1.4. 06:00:00;2,65
1.4. 07:00:00;1,13
1.4. 08:00:00;2,95
1.4. 09:00:00;0,6
1.4. 10:00:00;2,82
1.4. 11:00:00;0,82
1.4. 12:00:00;2,39
1.4. 13:00:00;1,92
1.4. 14:00:00;1,33
1.4. 15:00:00;2,59
1.4. 16:00:00;1,49
1.4. 17:00:00;1,98
1.4. 18:00:00;1,38
1.4. 19:00:00;4,67
1.4. 20:00:00;1,54
1.4. 21:00:00;3,42
1.4. 22:00:00;3,01
1.4. 23:00:00;1,57
2.4. 00:00:00;1,78
2.4. 01:00:00;1,88
2.4. 02:00:00;1,93
2.4. 03:00:00;1,88
2.4. 04:00:00;2,16
2.4. 05:00:00;2,41
2.4. 06:00:00;3
2.4. 07:00:00;3,02
2.4. 08:00:00;3,22
2.4. 09:00:00;4,03
2.4. 10:00:00;2,61
2.4. 11:00:00;3,03
2.4. 12:00:00;2,61
2.4. 13:00:00;0,66
2.4. 14:00:00;1,84
2.4. 15:00:00;3,33
2.4. 16:00:00;1,06
2.4. 17:00:00;2,75
2.4. 18:00:00;1,54
2.4. 19:00:00;1,69
2.4. 20:00:00;3,02
2.4. 21:00:00;4,43
2.4. 22:00:00;2,7
2.4. 23:00:00;1,15
3.4. 00:00:00;2,55
3.4. 01:00:00;0,81
3.4. 02:00:00;1,77
3.4. 03:00:00;1,66
3.4. 04:00:00;2,56
3.4. 05:00:00;2,02
3.4. 06:00:00;1,89
3.4. 07:00:00;3,09
3.4. 08:00:00;1,5
3.4. 09:00:00;1,23
3.4. 10:00:00;1,88
3.4. 11:00:00;0,38
3.4. 12:00:00;2,58
3.4. 13:00:00;1,25
3.4. 14:00:00;0,73
3.4. 15:00:00;1,22
3.4. 16:00:00;2,01
3.4. 17:00:00;0,35
3.4. 18:00:00;0,72
3.4. 19:00:00;2,07
3.4. 20:00:00;1,72
3.4. 21:00:00;3,33
3.4. 22:00:00;3,13
3.4. 23:00:00;1
4.4. 00:00:00;1,84
