Time;Power
1.10. 00:00:00;0,37
1.10. 01:00:00;2,14
1.10. 02:00:00;0,35
1.10. 03:00:00;0,7
1.10. 04:00:00;1,78
1.10. 05:00:00;0,65
1.10. 06:00:00;2,18
1.10. 07:00:00;1,79
1.10. 08:00:00;1,88
1.10. 09:00:00;1,41
1.10. 10:00:00;0,66
1.10. 11:00:00;2,1
1.10. 12:00:00;0,82
1.10. 13:00:00;0,96
1.10. 14:00:00;2,01
1.10. 15:00:00;1,04
1.10. 16:00:00;1,61
1.10. 17:00:00;1,55
1.10. 18:00:00;0,89
1.10. 19:00:00;3,28
1.10. 20:00:00;1,34
1.10. 21:00:00;1,71
1.10. 22:00:00;1,27
1.10. 23:00:00;0,38
2.10. 00:00:00;2,12
2.10. 01:00:00;0,35
2.10. 02:00:00;0,73
2.10. 03:00:00;1,76
2.10. 04:00:00;0,33
2.10. 05:00:00;0,72
2.10. 06:00:00;1,97
2.10. 07:00:00;0,75
2.10. 08:00:00;0,59
2.10. 09:00:00;2,84
2.10. 10:00:00;1,06
2.10. 11:00:00;1,61
2.10. 12:00:00;2,49
2.10. 13:00:00;1,08
2.10. 14:00:00;1,71
2.10. 15:00:00;2,78
2.10. 16:00:00;0,88
2.10. 17:00:00;1,84
2.10. 18:00:00;2,41
2.10. 19:00:00;3,33
2.10. 20:00:00;2,48
2.10. 21:00:00;1,9
2.10. 22:00:00;1,05
2.10. 23:00:00;0,51
3.10. 00:00:00;2,27
3.10. 01:00:00;0,4
3.10. 02:00:00;0,68
3.10. 03:00:00;1,77
3.10. 04:00:00;0,37
3.10. 05:00:00;0,72
3.10. 06:00:00;1,91
3.10. 07:00:00;0,72
3.10. 08:00:00;0,56
3.10. 09:00:00;2,32
3.10. 10:00:00;1,36
3.10. 11:00:00;0,65
3.10. 12:00:00;0,95
3.10. 13:00:00;0,91
3.10. 14:00:00;1,02
3.10. 15:00:00;0,75
3.10. 16:00:00;1,31
3.10. 17:00:00;1
3.10. 18:00:00;0,65
3.10. 19:00:00;2,4
3.10. 20:00:00;1,94
3.10. 21:00:00;2,69
3.10. 22:00:00;1,1
3.10. 23:00:00;0,66
4.10. 00:00:00;0,39
4.10. 01:00:00;0,77
