Time;Power
1.1. 00:00:00;4,31
1.1. 01:00:00;2,72
1.1. 02:00:00;2,36
1.1. 03:00:00;3,08
1.1. 04:00:00;2,75
1.1. 05:00:00;2,33
1.1. 06:00:00;2,25
1.1. 07:00:00;2,23
1.1. 08:00:00;3,41
1.1. 09:00:00;3,86
1.1. 10:00:00;3,71
1.1. 11:00:00;3,27
1.1. 12:00:00;3,29
1.1. 13:00:00;4,13
1.1. 14:00:00;2,8
1.1. 15:00:00;3,11
1.1. 16:00:00;2,41
1.1. 17:00:00;7,47
1.1. 18:00:00;5,42
1.1. 19:00:00;4,79
1.1. 20:00:00;6,22
1.1. 21:00:00;4,83
1.1. 22:00:00;4,52
1.1. 23:00:00;3,52
2.1. 00:00:00;3,65
2.1. 01:00:00;2,98
2.1. 02:00:00;2,07
2.1. 03:00:00;3
2.1. 04:00:00;2,95
2.1. 05:00:00;2,95
2.1. 06:00:00;2,98
2.1. 07:00:00;2,78
2.1. 08:00:00;3,3
2.1. 09:00:00;2,02
2.1. 10:00:00;4,24
2.1. 11:00:00;3,8
2.1. 12:00:00;4,87
2.1. 13:00:00;3,19
2.1. 14:00:00;3,89
2.1. 15:00:00;4,47
2.1. 16:00:00;3,21
2.1. 17:00:00;4,72
2.1. 18:00:00;5,54
2.1. 19:00:00;4,15
2.1. 20:00:00;5,39
2.1. 21:00:00;4,73
2.1. 22:00:00;5,73
2.1. 23:00:00;2,83
3.1. 00:00:00;2,94
3.1. 01:00:00;2,8
3.1. 02:00:00;2,51
3.1. 03:00:00;2,92
3.1. 04:00:00;4,2
3.1. 05:00:00;2,43
3.1. 06:00:00;2,09
3.1. 07:00:00;2,59
3.1. 08:00:00;3,2
3.1. 09:00:00;5,03
3.1. 10:00:00;3,77
3.1. 11:00:00;2,76
3.1. 12:00:00;2,75
3.1. 13:00:00;4,44
3.1. 14:00:00;3,72
3.1. 15:00:00;5,22
3.1. 16:00:00;4,33
3.1. 17:00:00;3,98
3.1. 18:00:00;2,9
3.1. 19:00:00;4,74
3.1. 20:00:00;4,18
3.1. 21:00:00;5,8
3.1. 22:00:00;4,32
3.1. 23:00:00;3,09
4.1. 00:00:00;3,31
4.1. 01:00:00;2,86
4.1. 02:00:00;3,23
4.1. 03:00:00;3,09
4.1. 04:00:00;3,13
4.1. 05:00:00;3,09
4.1. 06:00:00;3,52
4.1. 07:00:00;4,26
4.1. 08:00:00;3,29
4.1. 09:00:00;3,52
4.1. 10:00:00;2,35
4.1. 11:00:00;3,43
4.1. 12:00:00;3,42
4.1. 13:00:00;4,13
4.1. 14:00:00;2,78
4.1. 15:00:00;2,5
4.1. 16:00:00;5,86
4.1. 17:00:00;5,05
4.1. 18:00:00;5,36
4.1. 19:00:00;2,78
4.1. 20:00:00;2,69
4.1. 21:00:00;3,98
4.1. 22:00:00;3,88
4.1. 23:00:00;2,24
5.1. 00:00:00;2,59
5.1. 01:00:00;2,88
5.1. 02:00:00;2,9
5.1. 03:00:00;2,6
5.1. 04:00:00;2,19
5.1. 05:00:00;2,63
5.1. 06:00:00;3,26
5.1. 07:00:00;3,23
5.1. 08:00:00;2,32
5.1. 09:00:00;2,32
5.1. 10:00:00;2,89
5.1. 11:00:00;2,88
5.1. 12:00:00;2,64
5.1. 13:00:00;2,97
5.1. 14:00:00;2,53
5.1. 15:00:00;3,66
5.1. 16:00:00;2,38
5.1. 17:00:00;2,21
5.1. 18:00:00;2,85
5.1. 19:00:00;5,9
5.1. 20:00:00;6,06
5.1. 21:00:00;2,33
5.1. 22:00:00;2,55
5.1. 23:00:00;2,51
6.1. 00:00:00;2,71
6.1. 01:00:00;3,28
6.1. 02:00:00;2,24
6.1. 03:00:00;2,21
6.1. 04:00:00;3,75
6.1. 05:00:00;3,19
6.1. 06:00:00;3,24
6.1. 07:00:00;2,09
6.1. 08:00:00;3,6
6.1. 09:00:00;3,2
6.1. 10:00:00;4,65
6.1. 11:00:00;3,74
6.1. 12:00:00;2,85
6.1. 13:00:00;3,06
6.1. 14:00:00;3,54
6.1. 15:00:00;3,75
6.1. 16:00:00;4,56
6.1. 17:00:00;5,79
6.1. 18:00:00;3,91
6.1. 19:00:00;3,91
6.1. 20:00:00;5,1
6.1. 21:00:00;6,02
6.1. 22:00:00;4,37
6.1. 23:00:00;4,5
7.1. 00:00:00;4,09
7.1. 01:00:00;4,6
7.1. 02:00:00;2,85
7.1. 03:00:00;4,09
7.1. 04:00:00;4
7.1. 05:00:00;3,28
7.1. 06:00:00;3,08
7.1. 07:00:00;4,55
7.1. 08:00:00;2,82
7.1. 09:00:00;4,14
7.1. 10:00:00;5,26
