Time;Power
1.1. 00:00:00;1,96
1.1. 01:00:00;1,61
1.1. 02:00:00;2,39
1.1. 03:00:00;0,83
1.1. 04:00:00;2,36
1.1. 05:00:00;1,1
1.1. 06:00:00;1,75
1.1. 07:00:00;0,46
1.1. 08:00:00;2,43
1.1. 09:00:00;0,55
1.1. 10:00:00;3,26
1.1. 11:00:00;2,21
1.1. 12:00:00;2,51
1.1. 13:00:00;3,74
1.1. 14:00:00;2,87
1.1. 15:00:00;3,6
1.1. 16:00:00;2,04
1.1. 17:00:00;3,98
1.1. 18:00:00;3,6
1.1. 19:00:00;2,85
1.1. 20:00:00;3,14
1.1. 21:00:00;2,51
1.1. 22:00:00;4,72
1.1. 23:00:00;3,35
2.1. 00:00:00;2,43
2.1. 01:00:00;0,78
2.1. 02:00:00;2,3
2.1. 03:00:00;1,03
2.1. 04:00:00;1,97
2.1. 05:00:00;0,49
2.1. 06:00:00;2,73
2.1. 07:00:00;1,31
2.1. 08:00:00;2,4
2.1. 09:00:00;2,85
2.1. 10:00:00;1,68
2.1. 11:00:00;2,45
2.1. 12:00:00;1,79
2.1. 13:00:00;1,64
2.1. 14:00:00;2,33
2.1. 15:00:00;2,11
2.1. 16:00:00;3,52
2.1. 17:00:00;3,01
2.1. 18:00:00;2,87
2.1. 19:00:00;3,1
2.1. 20:00:00;2,97
2.1. 21:00:00;2,97
2.1. 22:00:00;3,9
2.1. 23:00:00;4,28
3.1. 00:00:00;3,13
3.1. 01:00:00;2,92
3.1. 02:00:00;3,33
3.1. 03:00:00;4,76
3.1. 04:00:00;3,36
3.1. 05:00:00;3,68
3.1. 06:00:00;3,66
3.1. 07:00:00;3,17
3.1. 08:00:00;3,44
3.1. 09:00:00;3,46
3.1. 10:00:00;3,75
3.1. 11:00:00;3,15
3.1. 12:00:00;2,67
3.1. 13:00:00;3,14
3.1. 14:00:00;3,98
3.1. 15:00:00;2,92
3.1. 16:00:00;2,9
3.1. 17:00:00;2,72
3.1. 18:00:00;3,5
3.1. 19:00:00;3,61
3.1. 20:00:00;3,32
3.1. 21:00:00;2,36
3.1. 22:00:00;2,68
3.1. 23:00:00;4,67
4.1. 00:00:00;3
4.1. 01:00:00;3,17
4.1. 02:00:00;2,61
4.1. 03:00:00;4,2
4.1. 04:00:00;3,77
4.1. 05:00:00;2,97
4.1. 06:00:00;2,16
4.1. 07:00:00;3,57
4.1. 08:00:00;4,09
4.1. 09:00:00;3,06
4.1. 10:00:00;3,15
4.1. 11:00:00;2,24
4.1. 12:00:00;2,75
4.1. 13:00:00;4,57
4.1. 14:00:00;3,08
4.1. 15:00:00;2,14
4.1. 16:00:00;3,46
4.1. 17:00:00;3,27
4.1. 18:00:00;3,61
4.1. 19:00:00;3,28
4.1. 20:00:00;3,15
4.1. 21:00:00;4,73
4.1. 22:00:00;3,01
4.1. 23:00:00;3,85
5.1. 00:00:00;3,29
5.1. 01:00:00;4,97
5.1. 02:00:00;2,74
5.1. 03:00:00;4,35
5.1. 04:00:00;3,09
5.1. 05:00:00;3,37
5.1. 06:00:00;4,69
5.1. 07:00:00;2,65
5.1. 08:00:00;4,38
5.1. 09:00:00;6,37
5.1. 10:00:00;3,39
5.1. 11:00:00;5,17
5.1. 12:00:00;3,37
5.1. 13:00:00;3,22
5.1. 14:00:00;4,63
5.1. 15:00:00;2,67
5.1. 16:00:00;4,62
5.1. 17:00:00;3,2
5.1. 18:00:00;4,68
5.1. 19:00:00;2,94
5.1. 20:00:00;5,18
5.1. 21:00:00;3,37
5.1. 22:00:00;3,74
5.1. 23:00:00;4,49
6.1. 00:00:00;3,26
6.1. 01:00:00;4,16
6.1. 02:00:00;4,05
6.1. 03:00:00;3,39
6.1. 04:00:00;4,42
6.1. 05:00:00;3,25
6.1. 06:00:00;3,86
6.1. 07:00:00;3,97
6.1. 08:00:00;4,81
6.1. 09:00:00;5,4
6.1. 10:00:00;2,92
6.1. 11:00:00;4,11
6.1. 12:00:00;2,44
6.1. 13:00:00;2,99
6.1. 14:00:00;3,5
6.1. 15:00:00;3,33
6.1. 16:00:00;2,02
6.1. 17:00:00;4,02
6.1. 18:00:00;2,91
6.1. 19:00:00;3,36
6.1. 20:00:00;3,05
6.1. 21:00:00;2,89
6.1. 22:00:00;4,03
6.1. 23:00:00;2,95
7.1. 00:00:00;2,79
7.1. 01:00:00;3,45
7.1. 02:00:00;3,38
7.1. 03:00:00;3,73
7.1. 04:00:00;4,75
7.1. 05:00:00;3,54
7.1. 06:00:00;4,6
7.1. 07:00:00;3,71
7.1. 08:00:00;4,24
7.1. 09:00:00;4,04
7.1. 10:00:00;4,48
7.1. 11:00:00;3,99
7.1. 12:00:00;2,98
7.1. 13:00:00;5,65
7.1. 14:00:00;3,02
7.1. 15:00:00;3,23
7.1. 16:00:00;6,1
7.1. 17:00:00;5,31
7.1. 18:00:00;5,26
7.1. 19:00:00;3,77
7.1. 20:00:00;6,88
7.1. 21:00:00;6,09
7.1. 22:00:00;4,45
7.1. 23:00:00;3,7
8.1. 00:00:00;4,81
8.1. 01:00:00;3,14
8.1. 02:00:00;3,71
8.1. 03:00:00;4,36
8.1. 04:00:00;2,44
8.1. 05:00:00;5,19
8.1. 06:00:00;3,63
8.1. 07:00:00;4,02
8.1. 08:00:00;4,21
8.1. 09:00:00;3,93
8.1. 10:00:00;3,44
8.1. 11:00:00;3,33
8.1. 12:00:00;3,66
8.1. 13:00:00;2,39
8.1. 14:00:00;3,48
8.1. 15:00:00;3,07
8.1. 16:00:00;4,14
8.1. 17:00:00;2,96
8.1. 18:00:00;2,81
8.1. 19:00:00;4,19
8.1. 20:00:00;6,41
8.1. 21:00:00;6,01
8.1. 22:00:00;4,67
8.1. 23:00:00;2,68
9.1. 00:00:00;4,26
9.1. 01:00:00;2,42
9.1. 02:00:00;2,74
9.1. 03:00:00;3,56
9.1. 04:00:00;2,4
9.1. 05:00:00;2,79
9.1. 06:00:00;2,3
9.1. 07:00:00;1,88
9.1. 08:00:00;3,07
9.1. 09:00:00;2,13
9.1. 10:00:00;4
9.1. 11:00:00;3,14
9.1. 12:00:00;3,76
9.1. 13:00:00;4,38
