Time;Power
1.8. 00:00:00;0,39
1.8. 01:00:00;0,39
1.8. 02:00:00;0,72
1.8. 03:00:00;0,37
1.8. 04:00:00;0,7
1.8. 05:00:00;0,36
1.8. 06:00:00;0,34
1.8. 07:00:00;0,69
1.8. 08:00:00;0,62
1.8. 09:00:00;1,9
1.8. 10:00:00;2,46
1.8. 11:00:00;1,76
1.8. 12:00:00;1,04
1.8. 13:00:00;0,67
1.8. 14:00:00;0,48
1.8. 15:00:00;0,79
1.8. 16:00:00;1
1.8. 17:00:00;0,41
1.8. 18:00:00;0,43
1.8. 19:00:00;0,83
1.8. 20:00:00;0,91
1.8. 21:00:00;2,48
1.8. 22:00:00;1,1
1.8. 23:00:00;0,51
2.8. 00:00:00;0,73
2.8. 01:00:00;0,4
2.8. 02:00:00;0,4
2.8. 03:00:00;0,71
2.8. 04:00:00;0,38
2.8. 05:00:00;0,54
2.8. 06:00:00;0,65
2.8. 07:00:00;0,66
2.8. 08:00:00;0,7
2.8. 09:00:00;0,69
2.8. 10:00:00;0,39
2.8. 11:00:00;1,22
2.8. 12:00:00;0,7
2.8. 13:00:00;0,47
2.8. 14:00:00;1,45
2.8. 15:00:00;1,09
2.8. 16:00:00;0,8
2.8. 17:00:00;0,5
2.8. 18:00:00;1,25
2.8. 19:00:00;1,24
2.8. 20:00:00;0,89
2.8. 21:00:00;1,03
2.8. 22:00:00;1,16
2.8. 23:00:00;0,45
3.8. 00:00:00;0,77
3.8. 01:00:00;0,37
3.8. 02:00:00;0,38
3.8. 03:00:00;0,7
3.8. 04:00:00;0,36
3.8. 05:00:00;0,56
3.8. 06:00:00;0,47
3.8. 07:00:00;0,35
3.8. 08:00:00;0,71
3.8. 09:00:00;0,64
3.8. 10:00:00;1,7
3.8. 11:00:00;0,73
3.8. 12:00:00;0,91
3.8. 13:00:00;0,83
3.8. 14:00:00;0,73
3.8. 15:00:00;0,76
3.8. 16:00:00;1,65
3.8. 17:00:00;1,54
3.8. 18:00:00;1,91
3.8. 19:00:00;0,81
3.8. 20:00:00;0,51
3.8. 21:00:00;2,64
3.8. 22:00:00;0,78
3.8. 23:00:00;1,01
4.8. 00:00:00;0,42
4.8. 01:00:00;0,73
4.8. 02:00:00;0,37
4.8. 03:00:00;0,35
4.8. 04:00:00;0,7
4.8. 05:00:00;0,38
4.8. 06:00:00;0,39
4.8. 07:00:00;0,7
4.8. 08:00:00;0,38
4.8. 09:00:00;0,75
4.8. 10:00:00;0,58
4.8. 11:00:00;1,24
4.8. 12:00:00;0,5
4.8. 13:00:00;1,29
4.8. 14:00:00;0,87
4.8. 15:00:00;1,08
4.8. 16:00:00;1,25
4.8. 17:00:00;0,82
4.8. 18:00:00;0,41
4.8. 19:00:00;2,85
4.8. 20:00:00;0,7
4.8. 21:00:00;1,04
4.8. 22:00:00;0,83
4.8. 23:00:00;0,75
5.8. 00:00:00;0,38
5.8. 01:00:00;0,37
5.8. 02:00:00;0,71
5.8. 03:00:00;0,37
5.8. 04:00:00;0,35
5.8. 05:00:00;0,66
5.8. 06:00:00;0,36
5.8. 07:00:00;0,68
5.8. 08:00:00;0,41
5.8. 09:00:00;0,56
5.8. 10:00:00;1,14
5.8. 11:00:00;1,12
5.8. 12:00:00;0,99
5.8. 13:00:00;0,75
5.8. 14:00:00;0,77
5.8. 15:00:00;0,47
5.8. 16:00:00;0,77
5.8. 17:00:00;0,39
5.8. 18:00:00;0,4
5.8. 19:00:00;1,16
5.8. 20:00:00;1,54
5.8. 21:00:00;1,26
5.8. 22:00:00;2,4
5.8. 23:00:00;0,79
6.8. 00:00:00;0,44
6.8. 01:00:00;0,43
6.8. 02:00:00;0,75
6.8. 03:00:00;0,39
6.8. 04:00:00;0,74
6.8. 05:00:00;0,39
6.8. 06:00:00;0,48
6.8. 07:00:00;0,75
6.8. 08:00:00;0,43
6.8. 09:00:00;0,57
6.8. 10:00:00;1,5
6.8. 11:00:00;0,47
6.8. 12:00:00;0,9
6.8. 13:00:00;0,9
6.8. 14:00:00;0,99
6.8. 15:00:00;0,93
6.8. 16:00:00;1,03
6.8. 17:00:00;1,45
6.8. 18:00:00;1,06
6.8. 19:00:00;0,87
6.8. 20:00:00;0,79
6.8. 21:00:00;0,73
6.8. 22:00:00;2,71
6.8. 23:00:00;0,43
