Time;Power
1.6. 00:00:00;0,36
1.6. 01:00:00;0,7
1.6. 02:00:00;0,34
1.6. 03:00:00;0,68
1.6. 04:00:00;0,32
1.6. 05:00:00;1,71
1.6. 06:00:00;0,83
1.6. 07:00:00;0,47
1.6. 08:00:00;0,7
1.6. 09:00:00;0,91
1.6. 10:00:00;0,79
1.6. 11:00:00;2,08
1.6. 12:00:00;1,02
1.6. 13:00:00;0,91
1.6. 14:00:00;1,59
1.6. 15:00:00;0,59
1.6. 16:00:00;0,68
1.6. 17:00:00;0,37
1.6. 18:00:00;0,43
1.6. 19:00:00;0,79
1.6. 20:00:00;3,17
1.6. 21:00:00;1,61
1.6. 22:00:00;0,79
1.6. 23:00:00;0,34
2.6. 00:00:00;0,68
2.6. 01:00:00;0,34
2.6. 02:00:00;0,34
2.6. 03:00:00;2,17
2.6. 04:00:00;0,31
2.6. 05:00:00;0,69
2.6. 06:00:00;1,92
2.6. 07:00:00;0,73
2.6. 08:00:00;0,56
2.6. 09:00:00;0,76
2.6. 10:00:00;1,5
2.6. 11:00:00;0,78
2.6. 12:00:00;0,42
2.6. 13:00:00;2,41
2.6. 14:00:00;0,96
2.6. 15:00:00;0,62
2.6. 16:00:00;0,87
2.6. 17:00:00;0,84
2.6. 18:00:00;0,8
2.6. 19:00:00;1,42
2.6. 20:00:00;2,97
2.6. 21:00:00;0,79
2.6. 22:00:00;0,63
2.6. 23:00:00;0,52
3.6. 00:00:00;0,36
3.6. 01:00:00;0,71
3.6. 02:00:00;0,34
3.6. 03:00:00;0,66
3.6. 04:00:00;0,37
3.6. 05:00:00;0,96
3.6. 06:00:00;1,57
3.6. 07:00:00;0,62
3.6. 08:00:00;0,7
3.6. 09:00:00;1,67
3.6. 10:00:00;2,92
3.6. 11:00:00;1,23
3.6. 12:00:00;0,81
3.6. 13:00:00;1,69
3.6. 14:00:00;0,68
3.6. 15:00:00;2,14
3.6. 16:00:00;0,86
3.6. 17:00:00;0,34
3.6. 18:00:00;0,35
3.6. 19:00:00;0,72
3.6. 20:00:00;0,78
3.6. 21:00:00;2,52
3.6. 22:00:00;0,69
3.6. 23:00:00;0,68
4.6. 00:00:00;0,34
4.6. 01:00:00;0,59
4.6. 02:00:00;1,96
4.6. 03:00:00;0,31
4.6. 04:00:00;0,7
4.6. 05:00:00;1,82
4.6. 06:00:00;0,78
4.6. 07:00:00;0,65
4.6. 08:00:00;0,53
4.6. 09:00:00;1,85
4.6. 10:00:00;1,02
4.6. 11:00:00;1,73
4.6. 12:00:00;1,2
4.6. 13:00:00;0,86
4.6. 14:00:00;0,5
4.6. 15:00:00;1,18
4.6. 16:00:00;0,45
4.6. 17:00:00;0,76
4.6. 18:00:00;0,41
4.6. 19:00:00;0,88
4.6. 20:00:00;4,78
4.6. 21:00:00;1,19
4.6. 22:00:00;0,57
4.6. 23:00:00;0,8
5.6. 00:00:00;0,35
5.6. 01:00:00;0,66
5.6. 02:00:00;0,31
5.6. 03:00:00;0,67
5.6. 04:00:00;0,34
5.6. 05:00:00;0,34
5.6. 06:00:00;0,64
5.6. 07:00:00;0,48
5.6. 08:00:00;0,78
5.6. 09:00:00;0,53
5.6. 10:00:00;0,92
5.6. 11:00:00;0,63
5.6. 12:00:00;1,6
5.6. 13:00:00;1,14
5.6. 14:00:00;1
5.6. 15:00:00;1,8
5.6. 16:00:00;2,13
5.6. 17:00:00;1,35
5.6. 18:00:00;1,74
5.6. 19:00:00;0,91
5.6. 20:00:00;0,67
5.6. 21:00:00;0,82
5.6. 22:00:00;0,51
5.6. 23:00:00;1,79
6.6. 00:00:00;0,33
6.6. 01:00:00;0,69
6.6. 02:00:00;0,32
6.6. 03:00:00;0,67
6.6. 04:00:00;0,33
6.6. 05:00:00;0,33
6.6. 06:00:00;0,64
6.6. 07:00:00;0,32
6.6. 08:00:00;1,12
6.6. 09:00:00;0,6
6.6. 10:00:00;1,73
6.6. 11:00:00;0,89
6.6. 12:00:00;0,91
6.6. 13:00:00;1,48
6.6. 14:00:00;1,72
