Time;Power
1.9. 00:00:00;0,7
1.9. 01:00:00;1,67
1.9. 02:00:00;0,35
1.9. 03:00:00;0,68
1.9. 04:00:00;0,34
1.9. 05:00:00;0,68
1.9. 06:00:00;0,31
1.9. 07:00:00;0,6
1.9. 08:00:00;0,47
1.9. 09:00:00;2,5
1.9. 10:00:00;1,21
1.9. 11:00:00;1,14
1.9. 12:00:00;0,8
1.9. 13:00:00;0,71
1.9. 14:00:00;1,33
1.9. 15:00:00;1,17
1.9. 16:00:00;0,93
1.9. 17:00:00;1,55
1.9. 18:00:00;1,16
1.9. 19:00:00;1
1.9. 20:00:00;2,8
1.9. 21:00:00;1,43
1.9. 22:00:00;1,17
1.9. 23:00:00;0,81
2.9. 00:00:00;0,35
2.9. 01:00:00;0,34
2.9. 02:00:00;0,67
2.9. 03:00:00;0,33
2.9. 04:00:00;0,68
2.9. 05:00:00;0,33
2.9. 06:00:00;0,3
2.9. 07:00:00;0,83
2.9. 08:00:00;0,6
2.9. 09:00:00;1
2.9. 10:00:00;1,61
2.9. 11:00:00;0,44
2.9. 12:00:00;1,28
2.9. 13:00:00;0,98
2.9. 14:00:00;0,41
2.9. 15:00:00;2,27
2.9. 16:00:00;1,78
2.9. 17:00:00;0,85
2.9. 18:00:00;0,82
2.9. 19:00:00;0,86
2.9. 20:00:00;1,67
2.9. 21:00:00;2,46
2.9. 22:00:00;1,07
2.9. 23:00:00;0,7
3.9. 00:00:00;0,37
3.9. 01:00:00;0,7
3.9. 02:00:00;0,34
3.9. 03:00:00;0,34
3.9. 04:00:00;0,7
3.9. 05:00:00;0,34
3.9. 06:00:00;0,99
3.9. 07:00:00;1,91
3.9. 08:00:00;0,88
3.9. 09:00:00;0,5
3.9. 10:00:00;0,93
3.9. 11:00:00;0,52
3.9. 12:00:00;0,73
3.9. 13:00:00;0,66
3.9. 14:00:00;0,61
3.9. 15:00:00;0,85
3.9. 16:00:00;0,48
3.9. 17:00:00;0,63
3.9. 18:00:00;0,34
3.9. 19:00:00;0,98
3.9. 20:00:00;1,19
3.9. 21:00:00;2,32
3.9. 22:00:00;1,09
3.9. 23:00:00;0,69
4.9. 00:00:00;0,35
4.9. 01:00:00;0,33
4.9. 02:00:00;0,67
4.9. 03:00:00;0,35
4.9. 04:00:00;0,73
4.9. 05:00:00;0,79
4.9. 06:00:00;1,62
4.9. 07:00:00;0,95
4.9. 08:00:00;0,46
4.9. 09:00:00;0,32
4.9. 10:00:00;0,67
4.9. 11:00:00;0,38
4.9. 12:00:00;0,9
4.9. 13:00:00;0,91
4.9. 14:00:00;1,33
4.9. 15:00:00;0,55
4.9. 16:00:00;0,53
4.9. 17:00:00;0,96
4.9. 18:00:00;0,54
4.9. 19:00:00;0,43
4.9. 20:00:00;1
4.9. 21:00:00;2,18
4.9. 22:00:00;0,36
4.9. 23:00:00;0,41
5.9. 00:00:00;0,65
5.9. 01:00:00;0,31
5.9. 02:00:00;0,68
5.9. 03:00:00;0,35
5.9. 04:00:00;0,33
5.9. 05:00:00;0,68
5.9. 06:00:00;0,63
5.9. 07:00:00;1,15
5.9. 08:00:00;1,4
5.9. 09:00:00;1,54
5.9. 10:00:00;2,05
5.9. 11:00:00;0,77
5.9. 12:00:00;0,68
5.9. 13:00:00;0,37
5.9. 14:00:00;1,15
5.9. 15:00:00;1,05
5.9. 16:00:00;0,83
5.9. 17:00:00;0,83
5.9. 18:00:00;0,41
5.9. 19:00:00;0,87
5.9. 20:00:00;1,05
5.9. 21:00:00;0,95
5.9. 22:00:00;0,35
5.9. 23:00:00;0,72
6.9. 00:00:00;0,38
6.9. 01:00:00;1,42
6.9. 02:00:00;0,77
6.9. 03:00:00;0,36
6.9. 04:00:00;0,69
6.9. 05:00:00;0,32
6.9. 06:00:00;0,59
6.9. 07:00:00;1,19
6.9. 08:00:00;0,82
6.9. 09:00:00;0,31
6.9. 10:00:00;0,62
6.9. 11:00:00;1,11
6.9. 12:00:00;1,06
6.9. 13:00:00;0,68
6.9. 14:00:00;0,83
6.9. 15:00:00;0,97
6.9. 16:00:00;0,85
6.9. 17:00:00;0,57
6.9. 18:00:00;1,92
6.9. 19:00:00;1,1
6.9. 20:00:00;1,24
6.9. 21:00:00;2,83
6.9. 22:00:00;1,07
6.9. 23:00:00;0,67
7.9. 00:00:00;0,33
7.9. 01:00:00;0,7
7.9. 02:00:00;0,36
7.9. 03:00:00;0,67
7.9. 04:00:00;1,72
7.9. 05:00:00;0,35
7.9. 06:00:00;1,06
7.9. 07:00:00;1,09
7.9. 08:00:00;1,94
7.9. 09:00:00;1,97
7.9. 10:00:00;1,43
7.9. 11:00:00;1,25
7.9. 12:00:00;1,25
7.9. 13:00:00;0,78
7.9. 14:00:00;0,39
7.9. 15:00:00;1,34
7.9. 16:00:00;1,48
7.9. 17:00:00;0,42
7.9. 18:00:00;2,13
7.9. 19:00:00;2,27
7.9. 20:00:00;1,72
7.9. 21:00:00;1,81
7.9. 22:00:00;2,16
7.9. 23:00:00;0,68
8.9. 00:00:00;0,39
8.9. 01:00:00;0,35
8.9. 02:00:00;0,69
8.9. 03:00:00;0,34
8.9. 04:00:00;0,68
8.9. 05:00:00;0,36
8.9. 06:00:00;0,32
8.9. 07:00:00;0,69
8.9. 08:00:00;1,22
8.9. 09:00:00;2,07
8.9. 10:00:00;1,99
8.9. 11:00:00;0,76
8.9. 12:00:00;0,35
8.9. 13:00:00;0,68
8.9. 14:00:00;3,61
8.9. 15:00:00;0,92
8.9. 16:00:00;1,3
8.9. 17:00:00;1,94
8.9. 18:00:00;0,94
8.9. 19:00:00;1,04
8.9. 20:00:00;1,39
8.9. 21:00:00;3,06
8.9. 22:00:00;0,81
8.9. 23:00:00;0,37
9.9. 00:00:00;0,72
9.9. 01:00:00;0,34
9.9. 02:00:00;0,33
9.9. 03:00:00;0,69
9.9. 04:00:00;0,35
9.9. 05:00:00;0,62
9.9. 06:00:00;0,39
9.9. 07:00:00;0,31
9.9. 08:00:00;0,72
9.9. 09:00:00;1,35
9.9. 10:00:00;1,84
9.9. 11:00:00;1,58
9.9. 12:00:00;1,16
9.9. 13:00:00;1,45
9.9. 14:00:00;1,14
9.9. 15:00:00;0,41
9.9. 16:00:00;0,34
9.9. 17:00:00;0,68
9.9. 18:00:00;0,31
9.9. 19:00:00;2,64
9.9. 20:00:00;0,9
9.9. 21:00:00;0,95
9.9. 22:00:00;0,63
9.9. 23:00:00;0,71
10.9. 00:00:00;0,36
10.9. 01:00:00;0,68
10.9. 02:00:00;0,35
10.9. 03:00:00;0,35
10.9. 04:00:00;0,66
10.9. 05:00:00;0,32
10.9. 06:00:00;1,05
10.9. 07:00:00;1,35
10.9. 08:00:00;1,54
10.9. 09:00:00;0,56
10.9. 10:00:00;1,36
10.9. 11:00:00;2,09
10.9. 12:00:00;0,4
10.9. 13:00:00;0,81
10.9. 14:00:00;0,59
10.9. 15:00:00;0,8
10.9. 16:00:00;0,82
10.9. 17:00:00;0,87
10.9. 18:00:00;0,53
10.9. 19:00:00;0,97
10.9. 20:00:00;1,38
10.9. 21:00:00;2,42
10.9. 22:00:00;1,41
10.9. 23:00:00;0,42
11.9. 00:00:00;0,66
11.9. 01:00:00;0,34
11.9. 02:00:00;0,67
11.9. 03:00:00;0,35
11.9. 04:00:00;0,59
11.9. 05:00:00;0,6
11.9. 06:00:00;1,07
11.9. 07:00:00;1,54
11.9. 08:00:00;1,17
11.9. 09:00:00;0,83
11.9. 10:00:00;0,55
11.9. 11:00:00;3,73
11.9. 12:00:00;1,09
11.9. 13:00:00;0,47
11.9. 14:00:00;0,67
11.9. 15:00:00;0,51
11.9. 16:00:00;0,57
11.9. 17:00:00;0,89
11.9. 18:00:00;0,65
11.9. 19:00:00;1,12
11.9. 20:00:00;2,79
11.9. 21:00:00;0,5
11.9. 22:00:00;0,71
11.9. 23:00:00;0,35
