Time;Power
1.11. 00:00:00;2,69
1.11. 01:00:00;0,34
1.11. 02:00:00;0,71
1.11. 03:00:00;2,12
1.11. 04:00:00;0,8
1.11. 05:00:00;1,58
1.11. 06:00:00;1,02
1.11. 07:00:00;1,27
1.11. 08:00:00;2,13
1.11. 09:00:00;0,38
1.11. 10:00:00;1,44
1.11. 11:00:00;1,85
1.11. 12:00:00;1,18
1.11. 13:00:00;0,38
1.11. 14:00:00;1,81
1.11. 15:00:00;1,76
1.11. 16:00:00;2,33
1.11. 17:00:00;3,13
1.11. 18:00:00;1,88
1.11. 19:00:00;3,85
1.11. 20:00:00;3,22
1.11. 21:00:00;0,81
1.11. 22:00:00;2,14
1.11. 23:00:00;1,69
2.11. 00:00:00;2
2.11. 01:00:00;0,33
2.11. 02:00:00;1,96
2.11. 03:00:00;1,06
2.11. 04:00:00;1,63
2.11. 05:00:00;2,11
2.11. 06:00:00;1,02
2.11. 07:00:00;4,56
2.11. 08:00:00;2,54
2.11. 09:00:00;1,25
2.11. 10:00:00;1,82
2.11. 11:00:00;2,54
2.11. 12:00:00;2,54
2.11. 13:00:00;0,76
2.11. 14:00:00;3,24
2.11. 15:00:00;1,98
2.11. 16:00:00;3,45
2.11. 17:00:00;1,39
2.11. 18:00:00;2,63
2.11. 19:00:00;4,77
2.11. 20:00:00;1,54
2.11. 21:00:00;3,24
2.11. 22:00:00;1,37
2.11. 23:00:00;2,54
3.11. 00:00:00;1,16
3.11. 01:00:00;0,98
3.11. 02:00:00;0,34
3.11. 03:00:00;1,88
3.11. 04:00:00;0,53
3.11. 05:00:00;0,96
3.11. 06:00:00;2,25
3.11. 07:00:00;0,51
3.11. 08:00:00;1,01
3.11. 09:00:00;2,34
3.11. 10:00:00;1,17
3.11. 11:00:00;1,7
3.11. 12:00:00;3,12
3.11. 13:00:00;1,89
3.11. 14:00:00;4,98
3.11. 15:00:00;2,82
3.11. 16:00:00;2,57
3.11. 17:00:00;2,72
3.11. 18:00:00;2,87
3.11. 19:00:00;3,23
3.11. 20:00:00;2,35
3.11. 21:00:00;3,63
3.11. 22:00:00;0,69
3.11. 23:00:00;2,76
4.11. 00:00:00;1,24
4.11. 01:00:00;1,99
4.11. 02:00:00;0,32
4.11. 03:00:00;1,29
4.11. 04:00:00;2,47
4.11. 05:00:00;0,34
4.11. 06:00:00;2,05
4.11. 07:00:00;2,35
4.11. 08:00:00;1,72
4.11. 09:00:00;2,36
4.11. 10:00:00;4,27
4.11. 11:00:00;1,02
4.11. 12:00:00;4,39
4.11. 13:00:00;1,46
4.11. 14:00:00;2,94
4.11. 15:00:00;1,45
4.11. 16:00:00;2,91
4.11. 17:00:00;1,13
4.11. 18:00:00;4,94
4.11. 19:00:00;2,08
4.11. 20:00:00;4,24
4.11. 21:00:00;2,39
4.11. 22:00:00;2,68
4.11. 23:00:00;0,75
5.11. 00:00:00;2,21
5.11. 01:00:00;1,63
5.11. 02:00:00;1,21
5.11. 03:00:00;1,59
5.11. 04:00:00;0,82
5.11. 05:00:00;2,21
5.11. 06:00:00;3,26
5.11. 07:00:00;2,75
5.11. 08:00:00;1,88
5.11. 09:00:00;2,25
5.11. 10:00:00;2,49
5.11. 11:00:00;2,24
5.11. 12:00:00;3,53
5.11. 13:00:00;3
5.11. 14:00:00;2,82
5.11. 15:00:00;3,36
5.11. 16:00:00;3,46
5.11. 17:00:00;2,35
5.11. 18:00:00;3,05
5.11. 19:00:00;2,96
5.11. 20:00:00;4,75
5.11. 21:00:00;2,9
5.11. 22:00:00;2,6
5.11. 23:00:00;2,32
6.11. 00:00:00;1,6
6.11. 01:00:00;0,83
6.11. 02:00:00;2,9
6.11. 03:00:00;1,95
6.11. 04:00:00;2,45
6.11. 05:00:00;1,47
6.11. 06:00:00;1,77
6.11. 07:00:00;4,59
6.11. 08:00:00;3,73
6.11. 09:00:00;2,56
6.11. 10:00:00;1,84
6.11. 11:00:00;2,93
6.11. 12:00:00;2,06
6.11. 13:00:00;2,61
6.11. 14:00:00;2,09
6.11. 15:00:00;1,21
6.11. 16:00:00;3,8
6.11. 17:00:00;1,97
6.11. 18:00:00;2,17
6.11. 19:00:00;3,2
6.11. 20:00:00;4,65
6.11. 21:00:00;2,66
6.11. 22:00:00;1,84
6.11. 23:00:00;2,69
7.11. 00:00:00;1,11
7.11. 01:00:00;1,94
7.11. 02:00:00;1,06
7.11. 03:00:00;0,71
7.11. 04:00:00;2,39
7.11. 05:00:00;0,73
7.11. 06:00:00;3,35
7.11. 07:00:00;0,79
7.11. 08:00:00;1,85
7.11. 09:00:00;2,59
7.11. 10:00:00;1,63
7.11. 11:00:00;1,71
7.11. 12:00:00;0,81
7.11. 13:00:00;3,27
7.11. 14:00:00;1,03
7.11. 15:00:00;2,24
7.11. 16:00:00;2,21
7.11. 17:00:00;1,95
7.11. 18:00:00;2,36
7.11. 19:00:00;0,58
7.11. 20:00:00;1,33
7.11. 21:00:00;3,24
7.11. 22:00:00;1,59
7.11. 23:00:00;2,09
8.11. 00:00:00;0,31
8.11. 01:00:00;0,68
8.11. 02:00:00;1,67
8.11. 03:00:00;0,46
8.11. 04:00:00;3,31
8.11. 05:00:00;0,33
8.11. 06:00:00;2,42
8.11. 07:00:00;0,77
8.11. 08:00:00;2,1
8.11. 09:00:00;1,85
8.11. 10:00:00;1,52
8.11. 11:00:00;2,3
8.11. 12:00:00;2,36
8.11. 13:00:00;2,12
8.11. 14:00:00;2,41
8.11. 15:00:00;2,65
8.11. 16:00:00;3,06
8.11. 17:00:00;2,92
8.11. 18:00:00;2,59
8.11. 19:00:00;3,08
8.11. 20:00:00;3,93
8.11. 21:00:00;4,26
8.11. 22:00:00;2,66
8.11. 23:00:00;0,55
9.11. 00:00:00;1,98
9.11. 01:00:00;0,5
9.11. 02:00:00;2,44
9.11. 03:00:00;1,83
9.11. 04:00:00;0,65
9.11. 05:00:00;2,22
9.11. 06:00:00;1,81
9.11. 07:00:00;2,8
9.11. 08:00:00;3,48
9.11. 09:00:00;0,93
9.11. 10:00:00;2,21
9.11. 11:00:00;0,53
9.11. 12:00:00;2,36
9.11. 13:00:00;2,47
9.11. 14:00:00;2,52
9.11. 15:00:00;1,82
9.11. 16:00:00;2,27
9.11. 17:00:00;1,33
9.11. 18:00:00;2,62
9.11. 19:00:00;2,26
9.11. 20:00:00;0,43
9.11. 21:00:00;3,2
9.11. 22:00:00;4,68
9.11. 23:00:00;1,72
10.11. 00:00:00;0,94
10.11. 01:00:00;1,78
10.11. 02:00:00;1,59
10.11. 03:00:00;2,18
10.11. 04:00:00;2,05
10.11. 05:00:00;0,4
10.11. 06:00:00;2,82
10.11. 07:00:00;2,56
10.11. 08:00:00;2,24
10.11. 09:00:00;1,29
10.11. 10:00:00;3,02
10.11. 11:00:00;2,19
10.11. 12:00:00;1,39
10.11. 13:00:00;3,29
10.11. 14:00:00;1,79
10.11. 15:00:00;2,17
10.11. 16:00:00;2,52
10.11. 17:00:00;3,41
10.11. 18:00:00;2,98
10.11. 19:00:00;4,39
10.11. 20:00:00;6,63
10.11. 21:00:00;2,73
10.11. 22:00:00;3,38
10.11. 23:00:00;2,23
11.11. 00:00:00;2,13
11.11. 01:00:00;1,85
