Time;Power
1.2. 00:00:00;3,6
1.2. 01:00:00;3,08
1.2. 02:00:00;3,17
1.2. 03:00:00;2,95
1.2. 04:00:00;2,4
1.2. 05:00:00;3,81
1.2. 06:00:00;2,96
1.2. 07:00:00;5,16
1.2. 08:00:00;4,37
1.2. 09:00:00;3,52
1.2. 10:00:00;4,35
1.2. 11:00:00;3,44
1.2. 12:00:00;3,03
1.2. 13:00:00;2,41
1.2. 14:00:00;3,25
1.2. 15:00:00;3,05
1.2. 16:00:00;4,67
1.2. 17:00:00;4,54
1.2. 18:00:00;3,04
1.2. 19:00:00;7
1.2. 20:00:00;5,49
1.2. 21:00:00;4,47
1.2. 22:00:00;3,58
1.2. 23:00:00;3,42
2.2. 00:00:00;3,48
2.2. 01:00:00;3,15
2.2. 02:00:00;3,2
2.2. 03:00:00;2,59
2.2. 04:00:00;3,17
2.2. 05:00:00;3,71
2.2. 06:00:00;3,02
2.2. 07:00:00;3,45
2.2. 08:00:00;3,34
2.2. 09:00:00;4,77
2.2. 10:00:00;2,34
2.2. 11:00:00;4,96
2.2. 12:00:00;2,36
2.2. 13:00:00;4,48
2.2. 14:00:00;2,49
2.2. 15:00:00;4,99
2.2. 16:00:00;4,71
2.2. 17:00:00;6,3
2.2. 18:00:00;3,89
2.2. 19:00:00;4,52
2.2. 20:00:00;8,4
2.2. 21:00:00;5,86
2.2. 22:00:00;4,33
2.2. 23:00:00;5,29
3.2. 00:00:00;3,34
3.2. 01:00:00;4,14
3.2. 02:00:00;4,12
3.2. 03:00:00;3,93
3.2. 04:00:00;4,12
3.2. 05:00:00;3,57
3.2. 06:00:00;3,93
3.2. 07:00:00;5,41
3.2. 08:00:00;4,23
3.2. 09:00:00;3,64
3.2. 10:00:00;4,2
3.2. 11:00:00;3,29
3.2. 12:00:00;2,78
3.2. 13:00:00;3,78
3.2. 14:00:00;3,25
3.2. 15:00:00;3,15
3.2. 16:00:00;4,89
3.2. 17:00:00;4,61
3.2. 18:00:00;5,59
3.2. 19:00:00;5,67
3.2. 20:00:00;7,24
3.2. 21:00:00;5,58
3.2. 22:00:00;3,97
3.2. 23:00:00;3,67
4.2. 00:00:00;3,82
4.2. 01:00:00;4,62
4.2. 02:00:00;3,22
4.2. 03:00:00;4,8
4.2. 04:00:00;3,46
4.2. 05:00:00;3,21
4.2. 06:00:00;4,42
4.2. 07:00:00;3,59
4.2. 08:00:00;4,12
4.2. 09:00:00;4,01
4.2. 10:00:00;4,35
4.2. 11:00:00;3,49
4.2. 12:00:00;3,93
4.2. 13:00:00;3,15
4.2. 14:00:00;2,61
4.2. 15:00:00;3,71
4.2. 16:00:00;2,21
4.2. 17:00:00;2,97
4.2. 18:00:00;3,3
4.2. 19:00:00;3,02
4.2. 20:00:00;3,14
4.2. 21:00:00;3,42
4.2. 22:00:00;2,71
4.2. 23:00:00;4,61
5.2. 00:00:00;3,52
5.2. 01:00:00;3,59
5.2. 02:00:00;4,05
5.2. 03:00:00;2,86
5.2. 04:00:00;3,76
5.2. 05:00:00;3,41
5.2. 06:00:00;2,46
5.2. 07:00:00;3,94
5.2. 08:00:00;2,38
5.2. 09:00:00;4,11
5.2. 10:00:00;2,77
5.2. 11:00:00;3,82
5.2. 12:00:00;3,49
5.2. 13:00:00;3,44
5.2. 14:00:00;2,34
5.2. 15:00:00;1,86
5.2. 16:00:00;3,32
5.2. 17:00:00;2,22
5.2. 18:00:00;3,51
5.2. 19:00:00;5,97
5.2. 20:00:00;5,1
5.2. 21:00:00;3
5.2. 22:00:00;3,25
5.2. 23:00:00;2,46
6.2. 00:00:00;1,84
6.2. 01:00:00;1,96
6.2. 02:00:00;3,75
6.2. 03:00:00;2,01
6.2. 04:00:00;2,05
6.2. 05:00:00;2,44
6.2. 06:00:00;2,06
6.2. 07:00:00;3,21
6.2. 08:00:00;2,54
6.2. 09:00:00;3,68
6.2. 10:00:00;1,89
6.2. 11:00:00;1,72
6.2. 12:00:00;3,39
6.2. 13:00:00;2,59
6.2. 14:00:00;5,04
6.2. 15:00:00;5,09
6.2. 16:00:00;4,21
6.2. 17:00:00;2,18
6.2. 18:00:00;1,83
6.2. 19:00:00;5,07
6.2. 20:00:00;5,03
6.2. 21:00:00;4,61
6.2. 22:00:00;3,54
6.2. 23:00:00;2,6
7.2. 00:00:00;0,65
7.2. 01:00:00;2,5
7.2. 02:00:00;2,23
7.2. 03:00:00;3,23
7.2. 04:00:00;2,21
7.2. 05:00:00;2,91
7.2. 06:00:00;3
7.2. 07:00:00;3,04
7.2. 08:00:00;2,2
7.2. 09:00:00;2,24
7.2. 10:00:00;3,09
7.2. 11:00:00;2,56
7.2. 12:00:00;1,31
7.2. 13:00:00;1,63
7.2. 14:00:00;2,39
7.2. 15:00:00;2,08
7.2. 16:00:00;5,16
