Time;Power
1.9. 00:00:00;1,43
1.9. 01:00:00;0,71
1.9. 02:00:00;0,49
1.9. 03:00:00;0,4
1.9. 04:00:00;0,76
1.9. 05:00:00;0,41
1.9. 06:00:00;1
1.9. 07:00:00;0,68
1.9. 08:00:00;0,74
1.9. 09:00:00;0,66
1.9. 10:00:00;0,57
1.9. 11:00:00;0,42
1.9. 12:00:00;0,91
1.9. 13:00:00;2,11
1.9. 14:00:00;2,66
1.9. 15:00:00;1,24
1.9. 16:00:00;1,92
1.9. 17:00:00;1,5
1.9. 18:00:00;0,85
1.9. 19:00:00;0,48
1.9. 20:00:00;0,94
1.9. 21:00:00;0,69
1.9. 22:00:00;2,17
1.9. 23:00:00;0,42
2.9. 00:00:00;0,7
2.9. 01:00:00;0,35
2.9. 02:00:00;2,25
2.9. 03:00:00;0,36
2.9. 04:00:00;0,45
2.9. 05:00:00;2,04
2.9. 06:00:00;0,41
2.9. 07:00:00;0,83
2.9. 08:00:00;2,05
2.9. 09:00:00;0,86
2.9. 10:00:00;0,64
2.9. 11:00:00;2,56
2.9. 12:00:00;1,53
2.9. 13:00:00;1,29
2.9. 14:00:00;1,55
2.9. 15:00:00;0,93
2.9. 16:00:00;3,06
2.9. 17:00:00;1,94
2.9. 18:00:00;0,81
2.9. 19:00:00;2,3
2.9. 20:00:00;1,85
2.9. 21:00:00;0,6
2.9. 22:00:00;0,93
2.9. 23:00:00;0,44
3.9. 00:00:00;1,95
3.9. 01:00:00;0,64
3.9. 02:00:00;0,74
3.9. 03:00:00;0,34
3.9. 04:00:00;2,06
3.9. 05:00:00;0,48
3.9. 06:00:00;1,85
3.9. 07:00:00;0,68
3.9. 08:00:00;0,34
3.9. 09:00:00;2,51
3.9. 10:00:00;1,25
3.9. 11:00:00;1,62
3.9. 12:00:00;1,68
3.9. 13:00:00;0,86
3.9. 14:00:00;1,48
3.9. 15:00:00;1
3.9. 16:00:00;2,93
3.9. 17:00:00;1,16
3.9. 18:00:00;0,5
3.9. 19:00:00;1,77
3.9. 20:00:00;2,57
3.9. 21:00:00;1,61
3.9. 22:00:00;0,83
3.9. 23:00:00;3,29
4.9. 00:00:00;0,38
4.9. 01:00:00;1,96
4.9. 02:00:00;0,6
4.9. 03:00:00;0,74
4.9. 04:00:00;1,86
4.9. 05:00:00;0,49
4.9. 06:00:00;2,25
4.9. 07:00:00;0,98
4.9. 08:00:00;0,62
4.9. 09:00:00;2,44
4.9. 10:00:00;0,49
4.9. 11:00:00;0,86
4.9. 12:00:00;0,47
4.9. 13:00:00;0,81
4.9. 14:00:00;0,53
4.9. 15:00:00;0,85
4.9. 16:00:00;0,61
4.9. 17:00:00;0,71
4.9. 18:00:00;0,33
4.9. 19:00:00;2,15
4.9. 20:00:00;1,41
