Time;Power
1.4. 00:00:00;3,54
1.4. 01:00:00;0,36
1.4. 02:00:00;2,02
1.4. 03:00:00;0,4
1.4. 04:00:00;2,16
1.4. 05:00:00;2,28
1.4. 06:00:00;0,57
1.4. 07:00:00;2,04
1.4. 08:00:00;2,97
1.4. 09:00:00;2,87
1.4. 10:00:00;1,06
1.4. 11:00:00;1,92
1.4. 12:00:00;2,21
1.4. 13:00:00;4,16
1.4. 14:00:00;5,15
1.4. 15:00:00;2,07
1.4. 16:00:00;4,43
1.4. 17:00:00;2,42
1.4. 18:00:00;2,65
1.4. 19:00:00;2,89
1.4. 20:00:00;3,25
1.4. 21:00:00;2,72
1.4. 22:00:00;1,44
1.4. 23:00:00;2,93
2.4. 00:00:00;0,67
2.4. 01:00:00;1,89
2.4. 02:00:00;1,08
2.4. 03:00:00;1,84
2.4. 04:00:00;0,73
2.4. 05:00:00;1,7
2.4. 06:00:00;0,74
2.4. 07:00:00;2,31
2.4. 08:00:00;0,5
2.4. 09:00:00;3,07
2.4. 10:00:00;1,9
2.4. 11:00:00;3,1
2.4. 12:00:00;3,19
2.4. 13:00:00;1,22
2.4. 14:00:00;2,71
2.4. 15:00:00;1,53
2.4. 16:00:00;2,55
2.4. 17:00:00;1,21
2.4. 18:00:00;1,41
2.4. 19:00:00;4,45
2.4. 20:00:00;5,8
2.4. 21:00:00;0,81
2.4. 22:00:00;2,53
2.4. 23:00:00;0,79
3.4. 00:00:00;2,6
3.4. 01:00:00;0,34
3.4. 02:00:00;2,52
3.4. 03:00:00;0,61
3.4. 04:00:00;2,02
3.4. 05:00:00;1,07
3.4. 06:00:00;1,78
3.4. 07:00:00;1,06
3.4. 08:00:00;2,16
3.4. 09:00:00;1,85
3.4. 10:00:00;2,85
3.4. 11:00:00;0,35
3.4. 12:00:00;1,92
3.4. 13:00:00;2,01
3.4. 14:00:00;0,77
3.4. 15:00:00;3,31
3.4. 16:00:00;2,36
3.4. 17:00:00;2,46
3.4. 18:00:00;1,4
3.4. 19:00:00;1,63
3.4. 20:00:00;6,24
3.4. 21:00:00;2,55
3.4. 22:00:00;2,86
