Time;Power
1.9. 00:00:00;0,49
1.9. 01:00:00;0,56
1.9. 02:00:00;0,37
1.9. 03:00:00;0,7
1.9. 04:00:00;0,34
1.9. 05:00:00;1,36
1.9. 06:00:00;0,88
1.9. 07:00:00;0,33
1.9. 08:00:00;1,14
1.9. 09:00:00;1,89
1.9. 10:00:00;2,21
1.9. 11:00:00;1,02
1.9. 12:00:00;0,42
1.9. 13:00:00;0,55
1.9. 14:00:00;0,47
1.9. 15:00:00;0,35
1.9. 16:00:00;0,72
1.9. 17:00:00;0,33
1.9. 18:00:00;0,98
1.9. 19:00:00;2,82
1.9. 20:00:00;2,89
1.9. 21:00:00;2,39
1.9. 22:00:00;0,99
1.9. 23:00:00;0,8
2.9. 00:00:00;0,36
2.9. 01:00:00;0,49
2.9. 02:00:00;0,56
2.9. 03:00:00;0,34
2.9. 04:00:00;0,69
2.9. 05:00:00;0,35
2.9. 06:00:00;1,45
2.9. 07:00:00;1,26
2.9. 08:00:00;0,85
2.9. 09:00:00;1,3
2.9. 10:00:00;0,49
2.9. 11:00:00;0,81
2.9. 12:00:00;0,34
2.9. 13:00:00;0,71
2.9. 14:00:00;0,48
2.9. 15:00:00;0,75
2.9. 16:00:00;0,47
2.9. 17:00:00;0,34
2.9. 18:00:00;0,67
2.9. 19:00:00;2,96
2.9. 20:00:00;1,88
2.9. 21:00:00;1,5
2.9. 22:00:00;0,91
2.9. 23:00:00;0,35
3.9. 00:00:00;0,7
3.9. 01:00:00;0,34
3.9. 02:00:00;0,34
3.9. 03:00:00;0,68
3.9. 04:00:00;0,33
3.9. 05:00:00;0,47
3.9. 06:00:00;0,69
3.9. 07:00:00;0,96
3.9. 08:00:00;0,56
3.9. 09:00:00;0,73
3.9. 10:00:00;0,34
3.9. 11:00:00;0,34
3.9. 12:00:00;0,68
3.9. 13:00:00;0,38
3.9. 14:00:00;0,71
3.9. 15:00:00;0,69
3.9. 16:00:00;0,54
3.9. 17:00:00;0,67
3.9. 18:00:00;1,26
3.9. 19:00:00;1,01
3.9. 20:00:00;2,74
3.9. 21:00:00;1,53
3.9. 22:00:00;1,8
3.9. 23:00:00;2,34
4.9. 00:00:00;0,44
4.9. 01:00:00;0,43
4.9. 02:00:00;1,74
4.9. 03:00:00;0,87
4.9. 04:00:00;0,76
4.9. 05:00:00;0,33
4.9. 06:00:00;2,21
4.9. 07:00:00;0,54
4.9. 08:00:00;0,94
4.9. 09:00:00;1,27
4.9. 10:00:00;0,96
4.9. 11:00:00;0,47
4.9. 12:00:00;0,34
4.9. 13:00:00;0,83
4.9. 14:00:00;3,01
4.9. 15:00:00;0,64
4.9. 16:00:00;1,21
4.9. 17:00:00;0,67
4.9. 18:00:00;0,68
4.9. 19:00:00;0,69
4.9. 20:00:00;0,96
4.9. 21:00:00;0,89
4.9. 22:00:00;1,09
4.9. 23:00:00;0,56
5.9. 00:00:00;1,59
5.9. 01:00:00;0,71
5.9. 02:00:00;0,34
5.9. 03:00:00;2,23
5.9. 04:00:00;0,33
5.9. 05:00:00;0,34
5.9. 06:00:00;0,78
5.9. 07:00:00;2,04
5.9. 08:00:00;1,81
5.9. 09:00:00;0,72
5.9. 10:00:00;1,01
5.9. 11:00:00;0,49
5.9. 12:00:00;0,57
5.9. 13:00:00;0,82
5.9. 14:00:00;0,48
5.9. 15:00:00;0,83
5.9. 16:00:00;0,6
5.9. 17:00:00;0,49
5.9. 18:00:00;0,5
5.9. 19:00:00;0,58
5.9. 20:00:00;1,4
5.9. 21:00:00;1,28
5.9. 22:00:00;2,45
5.9. 23:00:00;1,43
6.9. 00:00:00;0,37
6.9. 01:00:00;0,4
6.9. 02:00:00;0,64
6.9. 03:00:00;0,37
6.9. 04:00:00;0,71
6.9. 05:00:00;0,33
6.9. 06:00:00;1,08
6.9. 07:00:00;0,47
6.9. 08:00:00;1,86
6.9. 09:00:00;0,33
6.9. 10:00:00;0,4
6.9. 11:00:00;0,61
6.9. 12:00:00;0,32
6.9. 13:00:00;0,81
6.9. 14:00:00;1,22
6.9. 15:00:00;2,97
6.9. 16:00:00;0,67
6.9. 17:00:00;0,7
6.9. 18:00:00;0,32
6.9. 19:00:00;0,99
6.9. 20:00:00;1,89
6.9. 21:00:00;2,44
6.9. 22:00:00;1,02
6.9. 23:00:00;0,49
7.9. 00:00:00;1,96
