Time;Power
1.12. 00:00:00;3,58
1.12. 01:00:00;3,24
1.12. 02:00:00;3,03
1.12. 03:00:00;3,92
1.12. 04:00:00;2,81
1.12. 05:00:00;2,56
1.12. 06:00:00;4,27
1.12. 07:00:00;2,12
1.12. 08:00:00;2,77
1.12. 09:00:00;3,11
1.12. 10:00:00;2,72
1.12. 11:00:00;1,92
1.12. 12:00:00;2,43
1.12. 13:00:00;3,53
1.12. 14:00:00;2,13
1.12. 15:00:00;3,1
1.12. 16:00:00;2,06
1.12. 17:00:00;3,13
1.12. 18:00:00;3,22
1.12. 19:00:00;6,11
1.12. 20:00:00;6,16
1.12. 21:00:00;7,52
1.12. 22:00:00;5,08
1.12. 23:00:00;4,55
2.12. 00:00:00;1,46
2.12. 01:00:00;1,87
2.12. 02:00:00;2,78
2.12. 03:00:00;2,55
2.12. 04:00:00;2,21
2.12. 05:00:00;2,9
2.12. 06:00:00;2,89
2.12. 07:00:00;3,79
2.12. 08:00:00;0,92
2.12. 09:00:00;2,98
2.12. 10:00:00;2,26
2.12. 11:00:00;3,49
2.12. 12:00:00;2,55
2.12. 13:00:00;3,01
2.12. 14:00:00;2,61
2.12. 15:00:00;3,08
2.12. 16:00:00;3,94
2.12. 17:00:00;4,46
2.12. 18:00:00;4,17
2.12. 19:00:00;4,49
2.12. 20:00:00;6,35
2.12. 21:00:00;6,15
2.12. 22:00:00;3,57
2.12. 23:00:00;2,56
3.12. 00:00:00;3,21
3.12. 01:00:00;1,93
3.12. 02:00:00;3,18
3.12. 03:00:00;2,13
3.12. 04:00:00;3,22
3.12. 05:00:00;2,45
3.12. 06:00:00;3,24
3.12. 07:00:00;2,19
3.12. 08:00:00;3,26
3.12. 09:00:00;1,97
3.12. 10:00:00;3,02
3.12. 11:00:00;2,6
3.12. 12:00:00;1,37
3.12. 13:00:00;2,46
3.12. 14:00:00;3,16
3.12. 15:00:00;2,36
3.12. 16:00:00;4,92
3.12. 17:00:00;4,7
3.12. 18:00:00;2,99
3.12. 19:00:00;3,62
3.12. 20:00:00;5,7
3.12. 21:00:00;3,23
3.12. 22:00:00;3,26
3.12. 23:00:00;1,07
4.12. 00:00:00;1,76
4.12. 01:00:00;1,12
4.12. 02:00:00;1,51
4.12. 03:00:00;1,52
4.12. 04:00:00;2,82
4.12. 05:00:00;0,86
4.12. 06:00:00;2,13
4.12. 07:00:00;2,45
4.12. 08:00:00;2,89
4.12. 09:00:00;3,46
4.12. 10:00:00;1,4
4.12. 11:00:00;3,27
4.12. 12:00:00;1,23
4.12. 13:00:00;2,55
4.12. 14:00:00;0,92
4.12. 15:00:00;1,99
4.12. 16:00:00;1,95
4.12. 17:00:00;2,83
4.12. 18:00:00;3,82
4.12. 19:00:00;4,65
4.12. 20:00:00;1,63
4.12. 21:00:00;4,98
4.12. 22:00:00;1,51
4.12. 23:00:00;2,16
5.12. 00:00:00;1,06
5.12. 01:00:00;1,69
5.12. 02:00:00;1,08
5.12. 03:00:00;2,36
5.12. 04:00:00;0,62
5.12. 05:00:00;2,54
5.12. 06:00:00;0,63
5.12. 07:00:00;1,71
5.12. 08:00:00;1,73
5.12. 09:00:00;1,32
5.12. 10:00:00;1,81
5.12. 11:00:00;0,34
5.12. 12:00:00;2,74
5.12. 13:00:00;0,48
5.12. 14:00:00;3
5.12. 15:00:00;1,41
5.12. 16:00:00;4,04
5.12. 17:00:00;3,7
5.12. 18:00:00;1,64
5.12. 19:00:00;2,58
5.12. 20:00:00;3,29
5.12. 21:00:00;5,32
5.12. 22:00:00;2,99
5.12. 23:00:00;3,12
6.12. 00:00:00;0,52
6.12. 01:00:00;2,31
6.12. 02:00:00;0,71
6.12. 03:00:00;2,57
6.12. 04:00:00;0,74
6.12. 05:00:00;1,74
6.12. 06:00:00;1,43
6.12. 07:00:00;0,38
6.12. 08:00:00;1,78
6.12. 09:00:00;1,79
6.12. 10:00:00;2,28
6.12. 11:00:00;0,43
6.12. 12:00:00;2,99
6.12. 13:00:00;3,14
6.12. 14:00:00;4,26
6.12. 15:00:00;2,71
6.12. 16:00:00;2,67
6.12. 17:00:00;3,37
6.12. 18:00:00;2,89
6.12. 19:00:00;4,31
6.12. 20:00:00;1,57
6.12. 21:00:00;2,57
6.12. 22:00:00;1,37
6.12. 23:00:00;2,04
7.12. 00:00:00;2,22
7.12. 01:00:00;1,61
7.12. 02:00:00;1,33
7.12. 03:00:00;2,03
7.12. 04:00:00;0,39
7.12. 05:00:00;2,86
7.12. 06:00:00;0,38
7.12. 07:00:00;2,52
7.12. 08:00:00;0,89
7.12. 09:00:00;3,71
7.12. 10:00:00;2,09
7.12. 11:00:00;3,94
7.12. 12:00:00;2,75
7.12. 13:00:00;1
7.12. 14:00:00;2,46
7.12. 15:00:00;2,13
7.12. 16:00:00;3,71
7.12. 17:00:00;2,12
7.12. 18:00:00;3,05
7.12. 19:00:00;2,82
7.12. 20:00:00;5,81
7.12. 21:00:00;5,68
7.12. 22:00:00;1,81
7.12. 23:00:00;2,92
8.12. 00:00:00;2,46
8.12. 01:00:00;0,82
8.12. 02:00:00;1,93
8.12. 03:00:00;2,39
8.12. 04:00:00;1,08
8.12. 05:00:00;2,2
8.12. 06:00:00;1,08
8.12. 07:00:00;2,18
8.12. 08:00:00;1,92
8.12. 09:00:00;1,84
8.12. 10:00:00;5,57
8.12. 11:00:00;3,47
8.12. 12:00:00;4,14
8.12. 13:00:00;2,34
8.12. 14:00:00;2,59
8.12. 15:00:00;2,51
8.12. 16:00:00;3,68
8.12. 17:00:00;3,21
8.12. 18:00:00;5,53
8.12. 19:00:00;4,41
8.12. 20:00:00;1,69
8.12. 21:00:00;2,93
8.12. 22:00:00;0,87
8.12. 23:00:00;2,71
9.12. 00:00:00;0,45
9.12. 01:00:00;2,16
9.12. 02:00:00;1,14
9.12. 03:00:00;2,6
9.12. 04:00:00;0,97
9.12. 05:00:00;1,26
9.12. 06:00:00;1,61
9.12. 07:00:00;2,23
9.12. 08:00:00;1,44
9.12. 09:00:00;1,57
9.12. 10:00:00;1,79
9.12. 11:00:00;1,53
9.12. 12:00:00;1,84
9.12. 13:00:00;0,67
9.12. 14:00:00;2,85
9.12. 15:00:00;0,97
9.12. 16:00:00;4,84
9.12. 17:00:00;3,11
9.12. 18:00:00;0,8
9.12. 19:00:00;4,03
9.12. 20:00:00;3,92
9.12. 21:00:00;5,98
9.12. 22:00:00;3,26
9.12. 23:00:00;1,45
10.12. 00:00:00;2,04
10.12. 01:00:00;2,44
10.12. 02:00:00;1,5
10.12. 03:00:00;2,83
10.12. 04:00:00;2,38
10.12. 05:00:00;2,72
10.12. 06:00:00;1,03
10.12. 07:00:00;3,18
10.12. 08:00:00;2,77
10.12. 09:00:00;2,52
10.12. 10:00:00;1,9
10.12. 11:00:00;2,3
10.12. 12:00:00;3,3
10.12. 13:00:00;0,85
10.12. 14:00:00;3,59
10.12. 15:00:00;1,05
10.12. 16:00:00;3,27
10.12. 17:00:00;2,29
10.12. 18:00:00;1,56
10.12. 19:00:00;3,73
10.12. 20:00:00;4,9
10.12. 21:00:00;4,68
10.12. 22:00:00;4,72
10.12. 23:00:00;4,27
11.12. 00:00:00;0,94
11.12. 01:00:00;2,85
11.12. 02:00:00;2,5
11.12. 03:00:00;1,61
11.12. 04:00:00;2,74
11.12. 05:00:00;3,22
11.12. 06:00:00;2,39
11.12. 07:00:00;3,19
11.12. 08:00:00;2,07
11.12. 09:00:00;2,59
11.12. 10:00:00;2,62
11.12. 11:00:00;2,42
11.12. 12:00:00;2,93
11.12. 13:00:00;2,67
11.12. 14:00:00;3,21
11.12. 15:00:00;3,03
11.12. 16:00:00;5,89
11.12. 17:00:00;4,05
11.12. 18:00:00;3,8
11.12. 19:00:00;2,31
11.12. 20:00:00;2,99
11.12. 21:00:00;5,55
11.12. 22:00:00;3,52
11.12. 23:00:00;3,09
12.12. 00:00:00;0,45
12.12. 01:00:00;2,58
12.12. 02:00:00;2,16
12.12. 03:00:00;0,93
12.12. 04:00:00;2,41
12.12. 05:00:00;0,46
12.12. 06:00:00;3,03
12.12. 07:00:00;1,47
12.12. 08:00:00;3,59
12.12. 09:00:00;2,15
12.12. 10:00:00;1,55
12.12. 11:00:00;2,3
12.12. 12:00:00;1,09
12.12. 13:00:00;2,58
12.12. 14:00:00;0,66
12.12. 15:00:00;4,47
12.12. 16:00:00;5,04
12.12. 17:00:00;2,84
12.12. 18:00:00;4,23
12.12. 19:00:00;3,36
12.12. 20:00:00;5,32
12.12. 21:00:00;4,84
12.12. 22:00:00;2,88
12.12. 23:00:00;1,31
13.12. 00:00:00;2,04
13.12. 01:00:00;1,05
13.12. 02:00:00;1,66
13.12. 03:00:00;0,8
13.12. 04:00:00;2,22
13.12. 05:00:00;2,07
