Time;Power
1.1. 00:00:00;1,39
1.1. 01:00:00;3,08
1.1. 02:00:00;0,84
1.1. 03:00:00;1,66
1.1. 04:00:00;0,76
1.1. 05:00:00;1,77
1.1. 06:00:00;0,39
1.1. 07:00:00;2,74
1.1. 08:00:00;0,57
1.1. 09:00:00;2,51
1.1. 10:00:00;3,97
1.1. 11:00:00;1,54
1.1. 12:00:00;3,08
1.1. 13:00:00;3,58
1.1. 14:00:00;1,94
1.1. 15:00:00;2,41
1.1. 16:00:00;0,57
1.1. 17:00:00;3,85
1.1. 18:00:00;2,15
1.1. 19:00:00;3,86
1.1. 20:00:00;5,81
1.1. 21:00:00;1,23
1.1. 22:00:00;2,09
1.1. 23:00:00;1,15
2.1. 00:00:00;1,66
2.1. 01:00:00;0,48
2.1. 02:00:00;2,73
2.1. 03:00:00;0,47
2.1. 04:00:00;2,19
2.1. 05:00:00;0,44
2.1. 06:00:00;2,2
2.1. 07:00:00;2,15
2.1. 08:00:00;1,59
2.1. 09:00:00;3,21
2.1. 10:00:00;3,01
2.1. 11:00:00;2,61
2.1. 12:00:00;3,8
2.1. 13:00:00;1,18
2.1. 14:00:00;3,4
2.1. 15:00:00;3,8
2.1. 16:00:00;4,44
2.1. 17:00:00;2,8
2.1. 18:00:00;1,12
2.1. 19:00:00;4,46
2.1. 20:00:00;3,68
2.1. 21:00:00;2,4
2.1. 22:00:00;2,74
2.1. 23:00:00;2,68
3.1. 00:00:00;0,89
3.1. 01:00:00;1,75
3.1. 02:00:00;2,88
3.1. 03:00:00;0,5
3.1. 04:00:00;2,38
3.1. 05:00:00;2,41
3.1. 06:00:00;1,23
3.1. 07:00:00;3,1
3.1. 08:00:00;2,86
3.1. 09:00:00;3,75
3.1. 10:00:00;4,08
3.1. 11:00:00;4,49
3.1. 12:00:00;4,61
3.1. 13:00:00;3,29
3.1. 14:00:00;2,39
3.1. 15:00:00;3,75
3.1. 16:00:00;4,87
3.1. 17:00:00;3,63
3.1. 18:00:00;3,99
3.1. 19:00:00;3,34
3.1. 20:00:00;4,48
3.1. 21:00:00;5,15
3.1. 22:00:00;3,85
3.1. 23:00:00;3,3
4.1. 00:00:00;3,36
4.1. 01:00:00;2,44
4.1. 02:00:00;2,79
4.1. 03:00:00;3,76
4.1. 04:00:00;2,72
4.1. 05:00:00;2,28
4.1. 06:00:00;4,04
4.1. 07:00:00;2,75
4.1. 08:00:00;3,52
4.1. 09:00:00;5,37
4.1. 10:00:00;5,55
4.1. 11:00:00;4,15
4.1. 12:00:00;6,42
4.1. 13:00:00;5,25
4.1. 14:00:00;5,51
4.1. 15:00:00;6,98
4.1. 16:00:00;3,11
4.1. 17:00:00;4,7
4.1. 18:00:00;5,08
4.1. 19:00:00;3,56
4.1. 20:00:00;5,93
4.1. 21:00:00;2,87
4.1. 22:00:00;4,87
4.1. 23:00:00;4,9
5.1. 00:00:00;4,33
5.1. 01:00:00;3,74
5.1. 02:00:00;2,55
5.1. 03:00:00;3,56
5.1. 04:00:00;3,63
5.1. 05:00:00;2,98
5.1. 06:00:00;3,44
5.1. 07:00:00;3,94
5.1. 08:00:00;3,51
5.1. 09:00:00;4,46
5.1. 10:00:00;4,15
5.1. 11:00:00;5,83
5.1. 12:00:00;4,74
5.1. 13:00:00;4,96
5.1. 14:00:00;3,42
5.1. 15:00:00;4,11
