Time;Power
1.11. 00:00:00;1,07
1.11. 01:00:00;2,04
1.11. 02:00:00;0,32
1.11. 03:00:00;2,8
1.11. 04:00:00;0,43
1.11. 05:00:00;1,88
1.11. 06:00:00;2,7
1.11. 07:00:00;2,6
1.11. 08:00:00;0,83
1.11. 09:00:00;2,3
1.11. 10:00:00;0,98
1.11. 11:00:00;1,64
1.11. 12:00:00;1,49
1.11. 13:00:00;1,46
1.11. 14:00:00;2,02
1.11. 15:00:00;0,64
1.11. 16:00:00;3,14
1.11. 17:00:00;2,67
1.11. 18:00:00;3,06
1.11. 19:00:00;5,11
1.11. 20:00:00;2,46
1.11. 21:00:00;4,25
1.11. 22:00:00;2,18
1.11. 23:00:00;2,33
2.11. 00:00:00;2,52
2.11. 01:00:00;1,16
2.11. 02:00:00;1,84
2.11. 03:00:00;2,35
2.11. 04:00:00;2,44
2.11. 05:00:00;2,08
2.11. 06:00:00;2,64
2.11. 07:00:00;3,06
2.11. 08:00:00;1,49
2.11. 09:00:00;2,07
2.11. 10:00:00;2,88
2.11. 11:00:00;1,97
2.11. 12:00:00;2,51
2.11. 13:00:00;3,14
2.11. 14:00:00;2,47
2.11. 15:00:00;2,08
2.11. 16:00:00;5,55
2.11. 17:00:00;3,87
2.11. 18:00:00;2,99
2.11. 19:00:00;4,6
2.11. 20:00:00;4,77
2.11. 21:00:00;4,54
2.11. 22:00:00;2,69
2.11. 23:00:00;3,01
3.11. 00:00:00;2,09
3.11. 01:00:00;2,35
3.11. 02:00:00;2,56
3.11. 03:00:00;2,31
3.11. 04:00:00;2,03
3.11. 05:00:00;2,2
3.11. 06:00:00;3,34
3.11. 07:00:00;3,02
3.11. 08:00:00;2,54
3.11. 09:00:00;3,28
3.11. 10:00:00;5,21
3.11. 11:00:00;2,95
3.11. 12:00:00;2,59
3.11. 13:00:00;3,61
3.11. 14:00:00;3,28
3.11. 15:00:00;3,06
3.11. 16:00:00;1,16
3.11. 17:00:00;3,31
3.11. 18:00:00;3,28
3.11. 19:00:00;3,78
3.11. 20:00:00;4,26
3.11. 21:00:00;7,49
3.11. 22:00:00;0,89
3.11. 23:00:00;2,32
4.11. 00:00:00;0,35
4.11. 01:00:00;2,74
4.11. 02:00:00;0,34
4.11. 03:00:00;2,04
4.11. 04:00:00;0,33
4.11. 05:00:00;1,92
4.11. 06:00:00;2,03
4.11. 07:00:00;0,81
4.11. 08:00:00;2,28
4.11. 09:00:00;1,15
4.11. 10:00:00;2,67
4.11. 11:00:00;0,98
4.11. 12:00:00;2,88
4.11. 13:00:00;1,3
4.11. 14:00:00;2,05
4.11. 15:00:00;3,81
4.11. 16:00:00;1,17
4.11. 17:00:00;3,36
4.11. 18:00:00;1,86
4.11. 19:00:00;2,47
4.11. 20:00:00;1,3
4.11. 21:00:00;2,67
4.11. 22:00:00;1,41
4.11. 23:00:00;1,75
5.11. 00:00:00;0,37
5.11. 01:00:00;2,06
5.11. 02:00:00;0,34
5.11. 03:00:00;1,25
5.11. 04:00:00;1,18
5.11. 05:00:00;0,71
5.11. 06:00:00;1,96
5.11. 07:00:00;0,36
5.11. 08:00:00;2,11
5.11. 09:00:00;0,65
5.11. 10:00:00;2,07
5.11. 11:00:00;3,04
5.11. 12:00:00;2,68
5.11. 13:00:00;2,27
5.11. 14:00:00;1,37
