Time;Power
1.1. 00:00:00;3,29
1.1. 01:00:00;0,73
1.1. 02:00:00;2,31
1.1. 03:00:00;3,23
1.1. 04:00:00;0,88
1.1. 05:00:00;2,56
1.1. 06:00:00;2,27
1.1. 07:00:00;0,47
1.1. 08:00:00;3,27
1.1. 09:00:00;2,32
1.1. 10:00:00;1,48
1.1. 11:00:00;4,5
1.1. 12:00:00;3,75
1.1. 13:00:00;4,75
1.1. 14:00:00;1,29
1.1. 15:00:00;2,62
1.1. 16:00:00;2,82
1.1. 17:00:00;2,42
1.1. 18:00:00;1,83
1.1. 19:00:00;2,68
1.1. 20:00:00;1,39
1.1. 21:00:00;3,99
1.1. 22:00:00;2
1.1. 23:00:00;2,65
2.1. 00:00:00;0,69
2.1. 01:00:00;2,77
2.1. 02:00:00;0,33
2.1. 03:00:00;1,69
2.1. 04:00:00;0,74
2.1. 05:00:00;2,26
2.1. 06:00:00;0,85
2.1. 07:00:00;1,28
2.1. 08:00:00;1,42
2.1. 09:00:00;1,71
2.1. 10:00:00;2,16
2.1. 11:00:00;2,56
2.1. 12:00:00;2,3
2.1. 13:00:00;2,48
2.1. 14:00:00;2,19
2.1. 15:00:00;3,36
2.1. 16:00:00;2,33
2.1. 17:00:00;1,98
2.1. 18:00:00;3,13
2.1. 19:00:00;1,14
2.1. 20:00:00;4,36
2.1. 21:00:00;3,38
2.1. 22:00:00;2,9
2.1. 23:00:00;1,57
3.1. 00:00:00;1,73
3.1. 01:00:00;1,29
3.1. 02:00:00;1,15
3.1. 03:00:00;1,45
3.1. 04:00:00;1,64
3.1. 05:00:00;0,7
3.1. 06:00:00;1,5
3.1. 07:00:00;2,54
3.1. 08:00:00;2,05
3.1. 09:00:00;0,68
3.1. 10:00:00;2,19
3.1. 11:00:00;1,45
3.1. 12:00:00;2,8
3.1. 13:00:00;4,11
3.1. 14:00:00;1,22
3.1. 15:00:00;2,47
3.1. 16:00:00;2,79
3.1. 17:00:00;0,96
3.1. 18:00:00;4,36
3.1. 19:00:00;5,37
3.1. 20:00:00;5,84
3.1. 21:00:00;0,95
3.1. 22:00:00;2,53
3.1. 23:00:00;1,04
4.1. 00:00:00;1,33
4.1. 01:00:00;1,64
4.1. 02:00:00;2,07
4.1. 03:00:00;0,41
4.1. 04:00:00;2,72
4.1. 05:00:00;0,57
4.1. 06:00:00;2,25
4.1. 07:00:00;1,58
4.1. 08:00:00;1,98
4.1. 09:00:00;2,57
4.1. 10:00:00;3,35
4.1. 11:00:00;1,94
4.1. 12:00:00;2,91
4.1. 13:00:00;5,48
4.1. 14:00:00;2,45
4.1. 15:00:00;3,19
4.1. 16:00:00;2,55
4.1. 17:00:00;3,49
4.1. 18:00:00;1,35
4.1. 19:00:00;3,21
4.1. 20:00:00;1,96
4.1. 21:00:00;3,79
4.1. 22:00:00;4,63
4.1. 23:00:00;2,11
5.1. 00:00:00;2,28
5.1. 01:00:00;2,58
5.1. 02:00:00;0,78
5.1. 03:00:00;2,75
5.1. 04:00:00;0,94
5.1. 05:00:00;2,76
5.1. 06:00:00;2,25
5.1. 07:00:00;1,5
5.1. 08:00:00;3,33
5.1. 09:00:00;3,04
5.1. 10:00:00;2,72
5.1. 11:00:00;3,77
5.1. 12:00:00;3,76
5.1. 13:00:00;4,1
5.1. 14:00:00;2,56
5.1. 15:00:00;3,19
5.1. 16:00:00;2,2
5.1. 17:00:00;3,66
5.1. 18:00:00;3,88
5.1. 19:00:00;3,42
5.1. 20:00:00;4,49
5.1. 21:00:00;2,75
5.1. 22:00:00;2,09
5.1. 23:00:00;3,71
6.1. 00:00:00;2,04
6.1. 01:00:00;1,87
6.1. 02:00:00;2,52
6.1. 03:00:00;0,92
6.1. 04:00:00;2,6
6.1. 05:00:00;0,88
6.1. 06:00:00;2,8
6.1. 07:00:00;1,39
6.1. 08:00:00;1,92
6.1. 09:00:00;2,56
6.1. 10:00:00;3,28
6.1. 11:00:00;3,63
6.1. 12:00:00;3,94
6.1. 13:00:00;0,97
6.1. 14:00:00;2,34
6.1. 15:00:00;2,76
6.1. 16:00:00;6,25
6.1. 17:00:00;4,59
6.1. 18:00:00;5,58
6.1. 19:00:00;4,82
6.1. 20:00:00;4,72
6.1. 21:00:00;2,98
6.1. 22:00:00;5,16
6.1. 23:00:00;0,65
7.1. 00:00:00;1,84
7.1. 01:00:00;1,05
7.1. 02:00:00;2,17
7.1. 03:00:00;0,35
7.1. 04:00:00;1,64
7.1. 05:00:00;1,6
7.1. 06:00:00;1,2
7.1. 07:00:00;2,12
7.1. 08:00:00;3,99
7.1. 09:00:00;1,73
7.1. 10:00:00;1,56
7.1. 11:00:00;2,65
7.1. 12:00:00;3,16
7.1. 13:00:00;1,31
7.1. 14:00:00;2,32
7.1. 15:00:00;3,47
7.1. 16:00:00;2,51
7.1. 17:00:00;2,67
7.1. 18:00:00;4,39
7.1. 19:00:00;3,11
7.1. 20:00:00;5,22
7.1. 21:00:00;3,36
7.1. 22:00:00;1,66
7.1. 23:00:00;2,33
8.1. 00:00:00;0,41
8.1. 01:00:00;2,8
8.1. 02:00:00;0,41
8.1. 03:00:00;2,47
8.1. 04:00:00;0,71
8.1. 05:00:00;2,39
8.1. 06:00:00;0,81
8.1. 07:00:00;2,36
8.1. 08:00:00;2,65
8.1. 09:00:00;2,33
8.1. 10:00:00;0,99
8.1. 11:00:00;3,55
8.1. 12:00:00;2,24
8.1. 13:00:00;1,73
8.1. 14:00:00;0,92
8.1. 15:00:00;2,05
8.1. 16:00:00;2,79
8.1. 17:00:00;2
8.1. 18:00:00;0,88
8.1. 19:00:00;4,09
8.1. 20:00:00;3,72
8.1. 21:00:00;2,27
8.1. 22:00:00;2,72
8.1. 23:00:00;1,22
9.1. 00:00:00;2,14
9.1. 01:00:00;0,41
9.1. 02:00:00;2,25
9.1. 03:00:00;1,08
9.1. 04:00:00;2,46
9.1. 05:00:00;1,25
9.1. 06:00:00;2,65
9.1. 07:00:00;2,37
9.1. 08:00:00;0,96
9.1. 09:00:00;2,62
9.1. 10:00:00;1,51
9.1. 11:00:00;2,11
9.1. 12:00:00;2,69
9.1. 13:00:00;2,2
9.1. 14:00:00;1,59
9.1. 15:00:00;2,57
9.1. 16:00:00;4,14
9.1. 17:00:00;3,47
9.1. 18:00:00;3,47
9.1. 19:00:00;2,58
9.1. 20:00:00;8,24
9.1. 21:00:00;3,75
9.1. 22:00:00;3,83
9.1. 23:00:00;3,7
10.1. 00:00:00;2,77
10.1. 01:00:00;3,23
10.1. 02:00:00;3,38
10.1. 03:00:00;2,5
10.1. 04:00:00;2,47
10.1. 05:00:00;2,17
10.1. 06:00:00;1,76
10.1. 07:00:00;4,05
10.1. 08:00:00;3,1
10.1. 09:00:00;2,83
10.1. 10:00:00;2,93
10.1. 11:00:00;1,01
10.1. 12:00:00;2,77
10.1. 13:00:00;4,25
10.1. 14:00:00;2,13
10.1. 15:00:00;2,1
10.1. 16:00:00;3,04
10.1. 17:00:00;2,71
10.1. 18:00:00;1,29
10.1. 19:00:00;2,78
10.1. 20:00:00;2,66
10.1. 21:00:00;0,72
10.1. 22:00:00;2,84
10.1. 23:00:00;2,78
11.1. 00:00:00;2,51
11.1. 01:00:00;0,99
11.1. 02:00:00;1,97
